id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
4677,德宽路281-106号小区,安庆,大观,安庆八佰伴,2000,多层,德宽路281-106号,117.0285242,30.51526568,,30.0,,20,公寓住宅,民用,7.4,12,0.0,8000.0,Anhui,Anqing,Daguan,Anhui-Anqing
4674,市府路87号小区,安庆,大观,安庆八佰伴,2000,多层,市府路87号,117.0447152,30.526213,,30.0,,20,公寓住宅,民用,7.9,12,0.0,6000.0,Anhui,Anqing,Daguan,Anhui-Anqing
4703,广播局宿舍,安庆,大观,安庆八佰伴,1998,多层,"集贤路,近菱湖南路",117.0378571,30.51813007,,20.0,,5,公寓住宅,民用,7.9,12,0.0,7600.0,Anhui,Anqing,Daguan,Anhui-Anqing
4702,玉琳路6号区,安庆,大观,安庆八佰伴,2000,多层,"玉琳路,近程良路",117.0273743,30.50633559,,30.0,,14,公寓住宅,民用,7.3,12,0.0,15919.0,Anhui,Anqing,Daguan,Anhui-Anqing
4701,电信局宿舍,安庆,大观,安庆八佰伴,1998,多层,孝肃路190号,117.0356861,30.5131053,,20.0,,36,公寓住宅,民用,7.2,12,0.0,8000.0,Anhui,Anqing,Daguan,Anhui-Anqing
4675,德宽路161号小区,安庆,大观,安庆八佰伴,1998,多层,德宽路161号,117.034408,30.51830478,,20.0,,30,公寓住宅,民用,7.4,12,0.0,8000.0,Anhui,Anqing,Daguan,Anhui-Anqing
4700,德宽路142号综合楼,安庆,大观,安庆八佰伴,1995,多层,德宽路142号,117.0314218,30.51638854,,20.0,,80,公寓住宅,民用,7.4,12,0.0,6161.0,Anhui,Anqing,Daguan,Anhui-Anqing
4698,潘家巷小区,安庆,大观,安庆八佰伴,1995,多层,水上公园路61号,117.0400676,30.53081157,2.0,20.0,,154,公寓住宅,民用,7.8,12,0.0,5454.0,Anhui,Anqing,Daguan,Anhui-Anqing
4697,工农街西小区,安庆,大观,安庆八佰伴,2015,多层,工农街,117.0357556,30.52314878,,30.0,,315,公寓住宅,民用,7.7,12,0.0,6500.0,Anhui,Anqing,Daguan,Anhui-Anqing
4696,人才市场综合楼,安庆,大观,安庆八佰伴,1998,多层,市府路7号,117.0499363,30.52608389,,20.0,,36,公寓住宅,民用,7.7,12,0.0,7600.0,Anhui,Anqing,Daguan,Anhui-Anqing
4695,三泰商住楼,安庆,大观,安庆八佰伴,2000,小高层,集贤南路26号,117.037811,30.52047598,,30.0,,70,公寓住宅,民用,8.0,12,0.0,7060.0,Anhui,Anqing,Daguan,Anhui-Anqing
4694,茅岭佳苑,安庆,大观,安庆八佰伴,2005,多层,"皇冠路,近茅清路",117.0082547,30.55205987,1.0,30.0,,642,公寓住宅,民用,7.3,12,0.0,5200.0,Anhui,Anqing,Daguan,Anhui-Anqing
4693,蔡山路2号小区,安庆,大观,安庆八佰伴,1995,多层,蔡山路2号,117.0368978,30.52393319,2.0,20.0,,110,公寓住宅,民用,7.7,12,0.0,6600.0,Anhui,Anqing,Daguan,Anhui-Anqing
4692,王家塘小区,安庆,大观,安庆八佰伴,1995,多层,"龙山路,近荣升街",117.0360306,30.51426243,,20.0,,38,公寓住宅,民用,7.4,12,0.0,7909.0,Anhui,Anqing,Daguan,Anhui-Anqing
4691,怡庭公寓,安庆,大观,安庆八佰伴,2005,高层,"德宽路,近工农街",117.0339633,30.51814068,,30.0,,54,公寓住宅,民用,7.7,12,0.0,7000.0,Anhui,Anqing,Daguan,Anhui-Anqing
4690,千禧楼,安庆,大观,安庆八佰伴,2000,多层,黄土坑西路,117.0336642,30.5361027,,30.0,,40,公寓住宅,民用,7.4,12,0.0,6600.0,Anhui,Anqing,Daguan,Anhui-Anqing
4689,纺织南路11号小区,安庆,大观,安庆八佰伴,1995,多层,纺织南路11号,117.0405512,30.51787484,,20.0,,248,公寓住宅,民用,7.5,12,0.0,8300.0,Anhui,Anqing,Daguan,Anhui-Anqing
4688,市府路53号小区,安庆,大观,安庆八佰伴,2000,多层,市府路53号,117.0418473,30.52604276,,30.0,,16,公寓住宅,民用,7.8,12,0.0,8000.0,Anhui,Anqing,Daguan,Anhui-Anqing
4705,白云巷157号小区,安庆,大观,安庆八佰伴,1995,多层,白云巷157号,117.0267751,30.51034772,2.0,20.0,,40,公寓住宅,民用,7.6,12,0.0,7548.0,Anhui,Anqing,Daguan,Anhui-Anqing
4687,戏校南路75号小区,安庆,大观,安庆八佰伴,1990,多层,戏校南路75号,117.04007,30.52064425,,20.0,,30,公寓住宅,民用,7.6,12,0.0,6000.0,Anhui,Anqing,Daguan,Anhui-Anqing
4686,马山香樟苑东区,安庆,大观,安庆八佰伴,2005,小高层,壕梗街,117.0314807,30.51860386,,30.0,,132,公寓住宅,民用,7.5,12,0.0,7200.0,Anhui,Anqing,Daguan,Anhui-Anqing
4685,热电新村西区,安庆,大观,安庆八佰伴,1998,多层,德宽路,117.0312453,30.51711972,,20.0,,72,公寓住宅,民用,7.5,12,0.0,6800.0,Anhui,Anqing,Daguan,Anhui-Anqing
4684,"壕埂街10,12号小区",安庆,大观,安庆八佰伴,1995,多层,"壕埂街10,12号",117.0334782,30.51875675,,20.0,,72,公寓住宅,民用,7.3,12,0.0,5000.0,Anhui,Anqing,Daguan,Anhui-Anqing
4683,壕埂街11号小区,安庆,大观,安庆八佰伴,1990,多层,壕埂街11号,117.0329541,30.51838739,,20.0,,28,公寓住宅,民用,7.4,12,0.0,5000.0,Anhui,Anqing,Daguan,Anhui-Anqing
4682,集贤南路19号小区,安庆,大观,安庆八佰伴,2000,多层,集贤南路19号,117.0351794,30.51911402,,30.0,,16,公寓住宅,民用,7.7,12,0.0,5000.0,Anhui,Anqing,Daguan,Anhui-Anqing
4681,碟子塘社区,安庆,大观,安庆八佰伴,2000,小高层,壕梗街,117.0353011,30.52085725,,30.0,,66,公寓住宅,民用,7.8,12,0.0,7000.0,Anhui,Anqing,Daguan,Anhui-Anqing
4680,工农街6-4号小区,安庆,大观,安庆八佰伴,1995,多层,工农街6-4号,117.0356668,30.51877853,,20.0,,40,公寓住宅,民用,7.6,12,0.0,6300.0,Anhui,Anqing,Daguan,Anhui-Anqing
4679,工农街2-7号小区,安庆,大观,安庆八佰伴,1995,多层,工农街2-7号,117.0347934,30.51933778,,20.0,,113,公寓住宅,民用,7.6,12,0.0,6300.0,Anhui,Anqing,Daguan,Anhui-Anqing
4678,工农街9-6号小区,安庆,大观,安庆八佰伴,1995,多层,工农街9-6号,117.0354305,30.51879942,,20.0,,56,公寓住宅,民用,7.6,12,0.0,6300.0,Anhui,Anqing,Daguan,Anhui-Anqing
