id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
129844,三里花园,滁州,南谯,金鹏99广场,2010,高层,"三里亭路,近丰乐大道",118.3018893,32.30271867,2.0,30.0,,0,公寓住宅,民用,8.4,12,0.0,7090.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129966,金鹏林溪书院(北苑),滁州,琅琊,国际商城,2018,多层|小高层|高层,苏州南路819号,118.3703976,32.29111782,,30.0,,1795,公寓住宅,民用,7.1,12,-0.71,6941.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129965,珑樾华府,滁州,琅琊,国际商城,2020,高层,"上海北路,近清流东路",118.3629058,32.31086692,2.0,35.0,,1988,公寓住宅,民用,7.7,12,-0.93,6878.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129964,金鹏珑璟台,滁州,琅琊,国际商城,2022,高层,"清流路,近菱溪路",118.3401141,32.3116936,2.0,40.0,428828.0,0,公寓住宅,民用,8.0,12,-0.04,6081.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129963,金鹏林溪书院南苑,滁州,琅琊,国际商城,2006,高层,苏州路,118.3709424,32.29127719,2.0,30.0,,1223,公寓住宅,民用,6.9,12,-1.16,7122.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129962,皖新翡翠庄园,滁州,琅琊,国际商城,2018,多层,"清流中路,近南京路",118.353972,32.30757967,2.0,30.0,,1736,公寓住宅,民用,7.5,12,-1.89,7702.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129960,中州国际花园,滁州,琅琊,国际商城,2012,多层|高层,苏州路,118.3658597,32.32056761,2.0,30.2,,1079,公寓住宅,民用,7.8,12,-1.16,6500.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129959,金域豪庭,滁州,琅琊,国际商城,2012,高层,清流中路,118.3412744,32.31076777,2.0,30.0,,2020,公寓住宅,民用,7.6,12,0.94,6732.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129957,华宇一村,滁州,南谯,紫金广场,2000,多层,南谯中路,118.3211065,32.2899091,,30.0,,0,公寓住宅,民用,7.5,12,0.0,6060.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129956,锦绣家园(龙蟠街道),滁州,南谯,紫金广场,2010,多层,清流西路288号,118.3163011,32.29344796,2.0,30.0,,0,公寓住宅,民用,7.9,12,0.0,7763.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129955,银花新村榴园,滁州,南谯,紫金广场,1998,多层,湖心东路176号,118.3200639,32.28816451,2.0,20.0,,190,公寓住宅,民用,7.4,12,0.0,6582.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129954,和谐园,滁州,南谯,紫金广场,2010,多层,凤谯路199-1号,118.318937,32.29156178,2.0,30.0,,0,公寓住宅,民用,7.9,12,0.0,8057.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129953,银花新村梅园,滁州,南谯,紫金广场,2010,多层,湖心西路166号,118.3181277,32.28722012,2.0,30.0,,158,公寓住宅,民用,7.8,12,0.0,7375.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129950,豪景苑(别墅),滁州,南谯,紫金广场,2005,低层,湖心西路168号,118.3189013,32.28741448,,50.0,,0,别墅,民用,8.1,12,0.0,8842.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
130061,泰鑫现代城二期(商住楼),滁州,琅琊,金光大道广场,2011,高层,南谯北路,118.3102264,32.3021886,2.0,30.0,,0,商住楼,商用,8.6,12,0.0,9900.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129905,地质家园,滁州,南谯,紫金广场,1998,多层,天长东路60号,118.3116142,32.3065187,2.0,20.0,,190,公寓住宅,民用,8.3,12,0.0,9041.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
129951,豪景苑(公寓住宅),滁州,南谯,紫金广场,2005,多层,湖心西路168号,118.3189171,32.28758348,2.0,30.0,,0,公寓住宅,民用,7.8,12,0.0,8891.0,Anhui,Chuzhou,Langya,Anhui-Chuzhou
