id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
253841,葛大店恢复楼,合肥,包河,包河周边,1995,多层,葛大路,117.304237,31.81343247,2.0,20.0,,72,公寓住宅,民用,7.5,12,0.0,11300.0,Anhui,Hefei,Baohe,Anhui-Hefei
252502,依爱城市花园(别墅),合肥,包河,大钟楼,2000,低层,宣城路85号,117.2886909,31.85428136,,50.0,,0,别墅,民用,8.1,12,0.0,25000.0,Anhui,Hefei,Baohe,Anhui-Hefei
252508,宁国路菜市场,合肥,包河,大钟楼,2003,低层,宁国路231号,117.2852127,31.85437011,2.0,30.0,,0,公寓住宅,民用,7.7,12,0.0,15500.0,Anhui,Hefei,Baohe,Anhui-Hefei
252509,新鑫综合小区,合肥,包河,大钟楼,2000,多层,宣城路25号,117.289356,31.85100734,2.0,30.0,,302,公寓住宅,民用,7.6,12,0.0,15500.0,Anhui,Hefei,Baohe,Anhui-Hefei
252510,桐城路39号小区,合肥,包河,大钟楼,2000,多层,桐城路39号,117.2757282,31.85242049,2.0,30.0,,40,公寓住宅,民用,7.7,12,0.0,21818.0,Anhui,Hefei,Baohe,Anhui-Hefei
252511,屯溪路256号小区,合肥,包河,大钟楼,1998,多层,屯溪路256号,117.2878633,31.85093135,,20.0,,24,公寓住宅,民用,7.5,12,0.0,34433.0,Anhui,Hefei,Baohe,Anhui-Hefei
252512,广播器材宿舍,合肥,包河,大钟楼,2000,多层,徽州大道460号(原美菱大道382号),117.2810262,31.84868734,2.0,30.0,,78,公寓住宅,民用,7.6,12,0.0,20285.0,Anhui,Hefei,Baohe,Anhui-Hefei
252513,芜湖路357号小区,合肥,包河,大钟楼,2006,多层,芜湖路357号,117.2757605,31.85302621,2.0,30.0,,60,公寓住宅,民用,7.7,12,0.0,29508.0,Anhui,Hefei,Baohe,Anhui-Hefei
253691,芜湖路120号小区,合肥,包河,巢湖路,2000,多层,芜湖路120号,117.2762897,31.85463936,2.0,30.0,,72,公寓住宅,民用,8.1,12,0.0,27631.0,Anhui,Hefei,Baohe,Anhui-Hefei
253690,药检局宿舍,合肥,包河,巢湖路,1991,多层,宁国路181号,117.284723,31.8520605,2.0,20.0,,55,公寓住宅,民用,7.6,12,0.0,25000.0,Anhui,Hefei,Baohe,Anhui-Hefei
253689,馨园住宅楼,合肥,包河,巢湖路,1998,多层,芜湖路195号,117.2878982,31.85707822,2.0,20.0,,28,公寓住宅,民用,7.9,12,0.0,26515.0,Anhui,Hefei,Baohe,Anhui-Hefei
253688,工业设备安装公司宿舍,合肥,包河,巢湖路,2000,多层,徽州大道789号,117.2760741,31.83350722,2.0,30.0,,130,公寓住宅,民用,8.0,12,0.0,14666.0,Anhui,Hefei,Baohe,Anhui-Hefei
253687,纺织设计院宿舍,合肥,包河,巢湖路,1982,多层,宣城路89号,117.2892727,31.8540964,2.0,20.0,,69,公寓住宅,民用,7.9,12,0.0,30952.0,Anhui,Hefei,Baohe,Anhui-Hefei
253686,航运西村,合肥,包河,巢湖路,1995,多层,巢湖路45号,117.2978152,31.85316293,2.0,10.0,,350,公寓住宅,民用,7.9,12,0.0,23634.0,Anhui,Hefei,Baohe,Anhui-Hefei
253685,安徽省电力设计院金寨路生活小区,合肥,包河,巢湖路,2005,多层,金寨路122号,117.2661419,31.84529028,2.0,45.0,,318,公寓住宅,民用,8.6,12,0.0,15267.0,Anhui,Hefei,Baohe,Anhui-Hefei
