id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
738144,绿地镜湖世纪城阳光花寓,芜湖,镜湖,师范附小,2002,高层,黄山东路,118.4123331,31.33007018,2.0,40.0,,1760,公寓住宅,民用,7.8,12,6.02,11507.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738143,滨江山庄,芜湖,镜湖,师范附小,1995,多层,长江中路1号,118.3554523,31.36787419,2.0,40.0,,2223,公寓住宅,民用,7.7,12,-1.55,11573.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738142,官山翰林(西区),芜湖,镜湖,师范附小,2018,多层|高层,长江中路142号,118.3616822,31.34886201,2.0,40.0,,2343,公寓住宅,民用,8.4,12,-1.64,18893.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738141,天置山庄北区,芜湖,镜湖,师范附小,2014,多层,工农路60号,118.3643165,31.34955919,2.0,30.0,,648,公寓住宅,民用,8.6,12,1.15,14159.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738139,伟基公寓,芜湖,镜湖,八佰伴,2006,多层,国货路27号,118.3639028,31.32861426,,30.0,,50,公寓住宅,民用,8.3,12,0.0,12497.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738134,土地局宿舍,芜湖,镜湖,八佰伴,1998,多层,黄山路17号,118.381387,31.3274406,2.0,20.0,,68,公寓住宅,民用,8.2,12,0.0,8409.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738137,新安花园一期,芜湖,镜湖,八佰伴,2004,多层,中二街,118.3662302,31.32644434,2.0,30.0,,410,公寓住宅,民用,8.6,12,0.0,11549.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738136,青山园小区,芜湖,镜湖,八佰伴,2011,多层,新芜路,118.3612165,31.32986764,2.0,30.0,,363,公寓住宅,民用,8.3,12,0.0,14545.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738135,花园二村,芜湖,镜湖,八佰伴,2000,多层,"花园路,近长江中路",118.3627165,31.36111467,2.0,30.0,,380,公寓住宅,民用,8.0,12,0.0,12464.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738145,春江花园,芜湖,镜湖,师范附小,1996,多层,天门山西路3号,118.3505437,31.36820706,2.0,41.0,,1233,公寓住宅,民用,7.6,12,0.69,11871.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738133,省煤田二队小区,芜湖,镜湖,八佰伴,2017,多层,天门山东路33号,118.3766374,31.37086461,,30.0,,36,公寓住宅,民用,7.5,12,0.0,9649.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738138,新华文沁苑,芜湖,镜湖,八佰伴,2010,多层,黄山东路,118.384224,31.32811032,2.0,30.0,,266,公寓住宅,民用,8.4,12,0.0,10616.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738146,云龙阳光地带,芜湖,镜湖,师范附小,2001,多层,银湖北路,118.3671798,31.37241745,2.0,30.0,,396,公寓住宅,民用,8.1,12,0.0,14744.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738320,南梗小区,芜湖,镜湖,弋矶山,2017,多层,长江路59号,118.3569394,31.35532331,2.0,30.0,,0,公寓住宅,民用,7.5,12,0.0,11486.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738323,轮渡宿舍,芜湖,镜湖,弋矶山,2008,多层,轮渡路,118.3559735,31.35322172,2.0,30.0,,48,公寓住宅,民用,7.7,12,0.0,9972.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738322,弋矶山庄,芜湖,镜湖,弋矶山,1993,多层,赭山西路,118.3549115,31.35346153,2.0,70.0,,395,公寓住宅,民用,7.8,12,0.0,13461.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738321,医苑小区,芜湖,镜湖,弋矶山,2011,多层,赭山西路4号,118.3537462,31.35284452,2.0,30.0,,262,公寓住宅,民用,7.4,12,0.0,10136.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738132,公交小区,芜湖,镜湖,八佰伴,2001,多层,长江路59号,118.3586147,31.35378142,2.0,30.0,,130,公寓住宅,民用,7.7,12,0.0,10188.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738319,黄家院,芜湖,镜湖,弋矶山,2005,低层,轮渡路7号,118.3540713,31.35385606,,30.0,,0,公寓住宅,民用,8.0,12,0.0,10500.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738318,建筑设计研究院宿舍,芜湖,镜湖,弋矶山,1998,多层,"轮渡路,近赭山西路",118.3556115,31.3530107,2.0,20.0,,40,公寓住宅,民用,7.6,12,0.0,10500.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738317,南埂小区,芜湖,镜湖,弋矶山,2016,多层,长江路59号,118.3569463,31.35527042,2.0,30.0,,200,公寓住宅,民用,7.7,12,0.0,11787.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738316,土产公司宿舍,芜湖,镜湖,弋矶山,1982,多层,赭山西路,118.3549115,31.35250184,,20.0,,10,公寓住宅,民用,7.3,12,0.0,10000.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738315,健美小区,芜湖,镜湖,弋矶山,1993,多层,赭山西路16号,118.3572338,31.35286398,2.0,70.0,,290,公寓住宅,民用,8.2,12,0.0,13006.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738314,滨江翠竹园,芜湖,镜湖,弋矶山,1990,多层,轮渡路78号,118.3530304,31.35478005,2.0,15.0,,592,公寓住宅,民用,7.7,12,0.0,13861.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738313,太阳宫小区,芜湖,镜湖,北门,2009,多层,二街324号,118.3728045,31.3257831,2.0,30.0,,72,公寓住宅,民用,8.3,12,0.0,10033.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738312,淳良里28号院,芜湖,镜湖,北门,2011,多层,"环城西路,近上二街",118.3741114,31.32455496,2.0,30.0,,60,公寓住宅,民用,8.6,12,0.0,9892.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738311,来凤市场,芜湖,镜湖,北门,2006,多层,九华中路297-1号,118.3747585,31.32588557,2.0,30.0,,0,公寓住宅,民用,8.1,12,0.0,8888.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738147,团结三村,芜湖,镜湖,师范附小,2000,多层,赭山西路36号,118.3649299,31.35464939,2.0,30.0,,1274,公寓住宅,民用,8.3,12,-0.45,16345.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738131,兴芜新村,芜湖,镜湖,八佰伴,2011,多层,吉和北路25号,118.3562016,31.33816123,2.0,30.0,,242,公寓住宅,民用,7.9,12,0.0,12620.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738125,黄山西路4号楼,芜湖,镜湖,八佰伴,1996,多层,黄山西路4号,118.3539802,31.33933863,2.0,20.0,,36,公寓住宅,民用,7.5,12,0.0,12970.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738129,锦天花苑北区,芜湖,镜湖,八佰伴,2014,多层,华兴街22号,118.3601127,31.33160144,2.0,30.0,,107,公寓住宅,民用,8.3,12,0.0,15528.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
737739,荣盛华府,芜湖,镜湖,万达广场,2018,高层,赭山东路33号,118.3932612,31.34153189,2.0,36.0,,1145,公寓住宅,民用,8.4,12,0.0,17131.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
737740,万达广场,芜湖,镜湖,万达广场,2015,高层,赭山东路1号,118.392703,31.33983436,2.0,30.0,,3106,公寓住宅,民用,8.5,12,-0.16,8455.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
737741,伟星天玺,芜湖,镜湖,万达广场,2020,高层,弋江中路,118.394837,31.33376303,2.0,40.0,,822,公寓住宅,民用,8.5,12,-1.19,23490.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
737742,万达广场二期,芜湖,镜湖,万达广场,2013,高层|超高层,"北京中路,近弋江中路",118.3954417,31.33604879,2.0,30.0,,2876,商住楼,商用,8.1,12,-5.83,6564.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738025,沿河路五组,芜湖,镜湖,八佰伴,2003,多层,沿河路108号,118.3754655,31.32096164,2.0,30.0,,265,公寓住宅,民用,8.6,12,0.0,9863.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
737745,荣盛华府(别墅),芜湖,镜湖,万达广场,,低层,神山路,118.3953531,31.34189216,,,,0,别墅,民用,7.5,12,0.0,18000.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
737746,高垄新村,芜湖,镜湖,万达广场,,多层,西洋里小街,118.3901543,31.33154121,,,,0,公寓住宅,民用,6.6,12,0.0,10000.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
737747,市场小区,芜湖,镜湖,万达广场,2002,多层,"北京中路,近弋江路",118.3891409,31.33822806,,30.0,,12,公寓住宅,民用,8.0,12,0.0,9200.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
738310,九华山路114号小区,芜湖,镜湖,北门,2001,多层,九华山路114号,118.3754935,31.32739452,2.0,30.0,,96,公寓住宅,民用,8.6,12,0.0,9827.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
737749,颐景湾畔,芜湖,镜湖,银湖北路,2017,高层,天门山东路,118.3777859,31.3726915,2.0,35.0,,2853,公寓住宅,民用,8.1,12,-2.74,17897.0,Anhui,Wuhu,Jinghu,Anhui-Wuhu
