id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
14026,天通苑老六区(天通苑本六区),北京,昌平,天通苑,1998,多层|高层,太平庄东街,116.4188824,40.06460173,1.0,35.0,,1480,公寓住宅,民用,8.4,12,0.17,51330.0,Beijing,,Changping,Beijing-Changping
14047,东沙各庄村住房,北京,昌平,天通苑,2015,多层,东沙各庄路,116.3974176,40.12662643,,30.0,,0,,暂无,6.8,12,0.0,19600.0,Beijing,,Changping,Beijing-Changping
14050,金科帕提欧,北京,昌平,小汤山北,2009,高层,沙顺路91号,116.3885197,40.18113796,1.0,40.0,,1545,公寓住宅,民用,7.8,12,-0.42,32787.0,Beijing,,Changping,Beijing-Changping
14028,天通苑老四区(天通苑本四区),北京,昌平,天通苑,1998,多层|高层,立水桥东一路,116.4156985,40.05904414,1.0,35.0,,1662,公寓住宅,民用,8.4,12,0.67,53351.0,Beijing,,Changping,Beijing-Changping
14053,典雅庄园,北京,昌平,小汤山北,2005,小高层,顺沙路81号,116.3950386,40.17554578,1.0,38.0,,426,公寓住宅,民用,7.6,12,-0.12,32178.0,Beijing,,Changping,Beijing-Changping
14055,纳帕澜郡,北京,昌平,小汤山北,2012,高层,沙顺路88号,116.3882946,40.17383929,1.0,30.0,,748,公寓住宅,民用,7.8,12,-0.23,34887.0,Beijing,,Changping,Beijing-Changping
14056,金科帕提欧(别墅),北京,昌平,小汤山北,2012,低层,顺沙路,116.3905751,40.18079729,,40.0,,123,别墅,民用,7.7,12,-0.57,36180.0,Beijing,,Changping,Beijing-Changping
14025,天通公园里,北京,昌平,天通苑,2012,高层,太平庄东路,116.4257879,40.06878225,1.0,35.0,,830,公寓住宅,民用,8.2,12,0.0,62474.0,Beijing,,Changping,Beijing-Changping
14023,天通苑老三区(天通苑本三区),北京,昌平,天通苑,1998,多层,立水桥东一路,116.4145011,40.05884044,1.0,35.0,,1284,公寓住宅,民用,8.3,12,0.14,35785.0,Beijing,,Changping,Beijing-Changping
14046,公园两栋,北京,昌平,天通苑,2010,高层,立汤路179号,116.4063316,40.05900917,1.0,30.0,,732,商住楼,商用,7.9,12,0.0,41000.0,Beijing,,Changping,Beijing-Changping
14469,泰安胡同小区,北京,昌平,昌平县城,1987,多层,泰安胡同,116.224771,40.21643869,1.0,42.0,,54,公寓住宅,民用,7.9,12,0.0,40300.0,Beijing,,Changping,Beijing-Changping
14044,天通中苑二区,北京,昌平,天通苑,2008,多层|高层,太平庄中街,116.4083555,40.06796816,1.0,36.0,,1481,商住楼,商用,8.2,12,0.0,39086.0,Beijing,,Changping,Beijing-Changping
14029,丽湖园公寓,北京,昌平,天通苑,2000,多层,九台路,116.3901885,40.07850394,,30.0,,365,公寓住宅,民用,7.7,12,0.0,47812.0,Beijing,,Changping,Beijing-Changping
14030,北京城建四燕丹生活区,北京,昌平,天通苑,,低层,七星路,116.4290839,40.08310578,,,,0,公寓住宅,民用,,12,,,Beijing,,Changping,Beijing-Changping
14027,天通中苑(38-51号楼),北京,昌平,天通苑,2008,小高层|高层,太平庄中一街,116.4170052,40.07084896,1.0,30.0,,1816,公寓住宅,民用,8.6,12,-0.78,46984.0,Beijing,,Changping,Beijing-Changping
14031,东三旗村住房,北京,昌平,天通苑,,低层,东电路,116.4104366,40.08954807,,,,0,,暂无,6.9,12,0.0,10000.0,Beijing,,Changping,Beijing-Changping
14032,店上村住房,北京,昌平,天通苑,,低层,太平庄中街,116.3751196,40.06585457,,,,0,,暂无,6.6,12,0.0,20000.0,Beijing,,Changping,Beijing-Changping
14033,家和公寓(北七家),北京,昌平,天通苑,1995,多层,回南路,116.4357578,40.08084071,,20.0,,0,公寓住宅,民用,6.6,12,0.0,25000.0,Beijing,,Changping,Beijing-Changping
14034,富邦公寓,北京,昌平,天通苑,2002,多层,立汤路,116.4098719,40.08551234,,30.0,,0,公寓住宅,民用,6.9,12,0.0,25000.0,Beijing,,Changping,Beijing-Changping
14035,好家公寓,北京,昌平,天通苑,1998,多层,回南路,116.4097322,40.0856603,,20.0,,0,公寓住宅,民用,6.9,12,0.0,25000.0,Beijing,,Changping,Beijing-Changping
14036,知青爱心家园,北京,昌平,天通苑,2001,多层,立汤路,116.4059827,40.09371754,,30.0,,0,公寓住宅,民用,6.7,12,0.0,20000.0,Beijing,,Changping,Beijing-Changping
14037,天凯物流,北京,昌平,天通苑,,多层,回南路,116.4177663,40.08967783,,,,0,办公,商用,6.7,12,0.0,30000.0,Beijing,,Changping,Beijing-Changping
14038,视觉工业基地,北京,昌平,天通苑,2013,多层,立水桥北路,116.4110479,40.06835512,,30.0,,0,商住楼,商用,6.9,12,0.0,35000.0,Beijing,,Changping,Beijing-Changping
14039,燕青小区,北京,昌平,天通苑,1990,多层,回南路166号,116.4364532,40.08509644,,20.0,,140,公寓住宅,民用,7.2,12,0.0,39177.0,Beijing,,Changping,Beijing-Changping
14040,龙德紫金,北京,昌平,天通苑,2008,高层,立汤路186号,116.4087451,40.06072724,,30.0,,888,商住楼,商用,7.5,12,0.0,30468.0,Beijing,,Changping,Beijing-Changping
14041,狮子营家园,北京,昌平,天通苑,2005,多层,太平庄北街,116.4239186,40.07707554,1.0,30.0,,336,公寓住宅,民用,6.8,12,0.0,31000.0,Beijing,,Changping,Beijing-Changping
14042,丽水园,北京,昌平,天通苑,2001,多层,立水桥北路,116.4111055,40.06413335,1.0,30.0,,444,公寓住宅,民用,7.7,12,0.0,30000.0,Beijing,,Changping,Beijing-Changping
14045,燕丹村,北京,昌平,天通苑,1995,多层,大海路,116.4347209,40.0825996,,30.0,,0,公寓住宅,民用,6.7,12,0.0,26666.0,Beijing,,Changping,Beijing-Changping
14043,南七家村住房,北京,昌平,天通苑,,低层,回南路,116.4526598,40.08604477,,30.0,,0,,暂无,6.5,12,0.0,42500.0,Beijing,,Changping,Beijing-Changping
14117,和谐家园(二区),北京,昌平,回龙观,2005,多层,回龙观东大街,116.3534686,40.08143322,1.0,30.0,,1296,公寓住宅,民用,8.5,12,-0.68,53361.0,Beijing,,Changping,Beijing-Changping
14021,天通中苑(52-65号楼),北京,昌平,天通苑,2008,小高层|高层,立水桥东二路,116.4169629,40.06835107,1.0,30.0,,1926,公寓住宅,民用,8.6,12,-0.67,48589.0,Beijing,,Changping,Beijing-Changping
14478,爱心家园(昌平),北京,昌平,昌平县城,2000,多层,南环东路14号,116.2505358,40.21182943,,60.0,,0,公寓住宅,民用,7.2,12,0.0,26666.0,Beijing,,Changping,Beijing-Changping
13786,博达小区,北京,昌平,沙河,2002,多层,展思门路54号,116.2676603,40.13177333,,30.0,,144,公寓住宅,民用,7.2,12,0.5,34483.0,Beijing,,Changping,Beijing-Changping
13785,北京市地质调查研究院,北京,昌平,沙河,1998,多层,沙阳路11号,116.2527464,40.1207337,,20.0,,72,公寓住宅,民用,7.1,12,0.0,48158.0,Beijing,,Changping,Beijing-Changping
13820,福星家园(昌平),北京,昌平,沙河,1999,多层,白沙路,116.2927517,40.14935249,,20.0,,28,公寓住宅,民用,6.5,12,0.0,20000.0,Beijing,,Changping,Beijing-Changping
13810,学府新城,北京,昌平,沙河,2008,高层,京藏高速,116.2528889,40.13840808,,30.0,,400,公寓住宅,民用,6.5,12,0.0,20000.0,Beijing,,Changping,Beijing-Changping
13783,沙河生产宿舍,北京,昌平,沙河,1992,多层,巩华城大街,116.2615253,40.12441345,,20.0,,111,公寓住宅,民用,7.0,12,0.0,32558.0,Beijing,,Changping,Beijing-Changping
13821,德峰公寓(北七家),北京,昌平,沙河,1995,多层,七小路,116.3227734,40.12092254,,20.0,,0,公寓住宅,民用,6.4,12,0.0,25000.0,Beijing,,Changping,Beijing-Changping
14011,天通西苑一区,北京,昌平,天通苑,2001,多层,立汤路,116.4024471,40.06353881,1.0,36.0,,3904,公寓住宅,民用,8.1,12,0.13,42359.0,Beijing,,Changping,Beijing-Changping
14010,天通苑北三区,北京,昌平,天通苑,2005,多层,太平庄中二街,116.426864,40.07544186,1.0,40.0,,5439,公寓住宅,民用,8.4,12,-0.54,43927.0,Beijing,,Changping,Beijing-Changping
14009,天通苑北一区,北京,昌平,天通苑,2004,多层,太平庄中二街,116.4114118,40.07549701,1.0,36.0,,6183,公寓住宅,民用,8.4,12,-0.38,47131.0,Beijing,,Changping,Beijing-Changping
14012,天通西苑二区,北京,昌平,天通苑,2002,多层,立汤路,116.4031791,40.07019786,1.0,35.0,,6270,公寓住宅,民用,8.1,12,-0.72,47780.0,Beijing,,Changping,Beijing-Changping
