id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
11381,双桥嘉园,北京,朝阳,双桥,2003,多层,康中街6号,116.5979554,39.88133462,2.0,30.0,,1288,公寓住宅,民用,7.3,12,-0.23,44539.0,Beijing,,Chaoyang,Beijing-Chaoyang
11385,康惠园二号院,北京,朝阳,双桥,2010,高层,双桥路,116.5760045,39.9045397,1.0,30.0,,1462,公寓住宅,民用,8.1,12,-0.08,48235.0,Beijing,,Chaoyang,Beijing-Chaoyang
11382,双柳巷小区,北京,朝阳,双桥,1998,多层,双桥路,116.5745764,39.9063858,2.0,30.0,,1280,公寓住宅,民用,8.0,12,-0.22,49852.0,Beijing,,Chaoyang,Beijing-Chaoyang
11383,三间房南里4号院,北京,朝阳,双桥,1958,多层,朝阳路,116.5629399,39.91227747,2.0,30.0,,885,公寓住宅,民用,8.0,12,-1.64,52128.0,Beijing,,Chaoyang,Beijing-Chaoyang
11384,康惠园一号院,北京,朝阳,双桥,2010,多层,通惠河南路,116.5793443,39.90442743,2.0,30.0,,721,公寓住宅,民用,8.2,12,-0.65,44946.0,Beijing,,Chaoyang,Beijing-Chaoyang
11365,汇景苑四区,北京,朝阳,东坝,2016,高层,平房路,116.5334576,39.9534732,1.0,30.0,,684,公寓住宅,民用,7.4,12,0.0,50926.0,Beijing,,Chaoyang,Beijing-Chaoyang
11387,天泰北双苑,北京,朝阳,双桥,2003,多层|小高层|高层,北花园街6号,116.5522264,39.90191883,2.0,30.0,,757,公寓住宅,民用,8.0,12,-1.27,45121.0,Beijing,,Chaoyang,Beijing-Chaoyang
11388,天泰新房苑,北京,朝阳,双桥,2005,多层,北花园街8号,116.5580825,39.90167488,2.0,40.0,,664,公寓住宅,民用,8.2,12,4.62,51779.0,Beijing,,Chaoyang,Beijing-Chaoyang
11389,康惠园五号院,北京,朝阳,双桥,2010,高层,双桥路,116.572414,39.90275277,2.0,30.0,,222,公寓住宅,民用,8.1,12,0.0,45414.0,Beijing,,Chaoyang,Beijing-Chaoyang
11390,双桥温泉东里小区(北区),北京,朝阳,双桥,2001,多层,双桥东路,116.6013265,39.88903901,2.0,30.0,,180,公寓住宅,民用,7.7,12,0.0,40066.0,Beijing,,Chaoyang,Beijing-Chaoyang
11380,远洋一方溪语苑,北京,朝阳,双桥,2013,多层,双桥东路,116.5937544,39.89721054,2.0,30.0,,1097,公寓住宅,民用,8.2,12,-0.2,64151.0,Beijing,,Chaoyang,Beijing-Chaoyang
11391,双柳新居,北京,朝阳,双桥,2001,多层,通惠河南沿河路,116.5784809,39.90615535,2.0,30.0,,360,公寓住宅,民用,8.2,12,0.0,48702.0,Beijing,,Chaoyang,Beijing-Chaoyang
11386,康惠园三号院,北京,朝阳,双桥,2010,高层,双桥路,116.5727045,39.9043165,2.0,30.0,,1438,公寓住宅,民用,8.0,12,0.32,49771.0,Beijing,,Chaoyang,Beijing-Chaoyang
11379,朝阳旺角,北京,朝阳,双桥,2005,小高层|高层,双柳北街1号,116.581754,39.90408597,2.0,35.0,,1292,公寓住宅,民用,8.3,12,0.21,50585.0,Beijing,,Chaoyang,Beijing-Chaoyang
11372,东一时区,北京,朝阳,双桥,2005,小高层,八里桥南1号,116.6008236,39.89857303,2.0,32.2,,2974,公寓住宅,民用,8.2,12,-0.98,53576.0,Beijing,,Chaoyang,Beijing-Chaoyang
11378,华美橡树岭,北京,朝阳,双桥,2008,多层,双桥南街9号,116.5919833,39.88646007,2.0,30.2,,770,公寓住宅,民用,7.7,12,0.0,52941.0,Beijing,,Chaoyang,Beijing-Chaoyang
11377,康城暖山,北京,朝阳,双桥,2009,低层,双桥东路63号,116.6010992,39.8804214,,70.0,75999.0,181,别墅,民用,8.0,12,1.45,70849.0,Beijing,,Chaoyang,Beijing-Chaoyang
11376,艺水芳园,北京,朝阳,双桥,2005,小高层,北花园街1号,116.5571953,39.90416486,2.0,40.0,,1084,公寓住宅,民用,8.2,12,0.21,48876.0,Beijing,,Chaoyang,Beijing-Chaoyang
11375,远洋一方润园(东区),北京,朝阳,双桥,2011,多层,塔营北街2号,116.5905279,39.90023543,2.0,32.0,,1078,公寓住宅,民用,8.3,12,0.11,65183.0,Beijing,,Chaoyang,Beijing-Chaoyang
11374,双桥小区,北京,朝阳,双桥,1999,多层,广渠路,116.5650028,39.89481686,2.0,30.0,,396,公寓住宅,民用,7.5,12,-0.2,45625.0,Beijing,,Chaoyang,Beijing-Chaoyang
11373,双惠苑,北京,朝阳,双桥,2002,多层|高层,双桥路,116.5700659,39.9044173,2.0,30.0,,2359,公寓住宅,民用,8.0,12,-0.4,51309.0,Beijing,,Chaoyang,Beijing-Chaoyang
11371,双桥六号井小区,北京,朝阳,双桥,2001,多层|小高层|高层,温泉东里中街,116.5989246,39.8889566,1.0,33.0,,1466,公寓住宅,民用,7.6,12,-0.18,43042.0,Beijing,,Chaoyang,Beijing-Chaoyang
11370,康城花园别墅,北京,朝阳,双桥,2002,低层,双桥东路9号,116.5994996,39.88432322,,53.0,,580,别墅,民用,7.7,12,0.04,52029.0,Beijing,,Chaoyang,Beijing-Chaoyang
11369,坝鑫家园,北京,朝阳,东坝,2003,多层,单店西路2号,116.5294324,39.96893359,1.0,33.0,,2170,公寓住宅,民用,7.3,12,0.0,33333.0,Beijing,,Chaoyang,Beijing-Chaoyang
11368,北京好漾,北京,朝阳,东坝,2003,小高层,东坝中路,116.5394145,39.96661276,1.0,30.0,,770,公寓住宅,民用,7.5,12,0.0,41379.0,Beijing,,Chaoyang,Beijing-Chaoyang
11367,华瀚福园(C区),北京,朝阳,东坝,2012,多层,东坝中路,116.5671584,39.95992261,1.0,29.0,,2854,公寓住宅,民用,6.8,12,0.0,30000.0,Beijing,,Chaoyang,Beijing-Chaoyang
11366,首城东郡家园,北京,朝阳,东坝,2017,高层,七棵树路,116.523752,39.96862245,,30.0,,653,公寓住宅,民用,6.5,12,0.0,85185.0,Beijing,,Chaoyang,Beijing-Chaoyang
