id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
23177,青春苑(东区),北京,怀柔,怀柔城区,1998,多层,西园路,116.6229651,40.3186561,1.0,40.0,,552,公寓住宅,民用,7.9,12,0.05,30988.0,Beijing,,Huairou,Beijing-Huairou
23189,怀柔商业街小区,北京,怀柔,怀柔城区,2000,多层,商业斜街,116.6286665,40.31373154,,30.0,,161,公寓住宅,民用,7.4,12,0.0,29793.0,Beijing,,Huairou,Beijing-Huairou
23188,西园13号楼,北京,怀柔,怀柔城区,2009,多层,湖光南街,116.6200058,40.31975564,,30.0,,36,公寓住宅,民用,7.4,12,0.0,31223.0,Beijing,,Huairou,Beijing-Huairou
23178,博望苑,北京,怀柔,怀柔城区,2002,多层,开放路,116.6372164,40.33099308,1.0,32.0,,540,公寓住宅,民用,7.8,12,0.0,38969.0,Beijing,,Huairou,Beijing-Huairou
23179,馥郁苑(二期),北京,怀柔,怀柔城区,1998,多层,于家园路,116.6361762,40.33157994,,20.0,,786,公寓住宅,民用,7.3,12,1.08,39052.0,Beijing,,Huairou,Beijing-Huairou
23186,青春路35号楼,北京,怀柔,怀柔城区,2000,多层,青春路35号,116.6239292,40.32171589,,30.0,,1,公寓住宅,民用,7.4,12,0.0,35000.0,Beijing,,Huairou,Beijing-Huairou
23180,北大街1号院,北京,怀柔,怀柔城区,1995,多层,北大街,116.6378947,40.33493411,1.0,20.0,,99,公寓住宅,民用,7.4,12,0.0,33902.0,Beijing,,Huairou,Beijing-Huairou
23181,凤翔四园,北京,怀柔,怀柔城区,2008,多层,凤翔大街,116.6752966,40.29215474,1.0,50.0,,336,公寓住宅,民用,7.6,12,0.0,21359.0,Beijing,,Huairou,Beijing-Huairou
23176,富乐社区29号院,北京,怀柔,怀柔城区,1993,多层,北街,116.6266764,40.33300516,1.0,20.0,,576,公寓住宅,民用,7.5,12,0.0,32493.0,Beijing,,Huairou,Beijing-Huairou
23183,下园,北京,怀柔,怀柔城区,2000,多层,"府前东街,近下园一条",116.6368972,40.31606645,,30.0,,180,公寓住宅,民用,7.3,12,0.0,30951.0,Beijing,,Huairou,Beijing-Huairou
