id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
23671,矿建街268号院,北京,门头沟,门头沟周边,2004,多层,矿建街268号,116.076925,39.93789711,1.0,30.0,,196,公寓住宅,民用,7.5,12,0.0,33426.0,Beijing,,Mentougou,Beijing-Mentougou
23673,中门寺街6号院,北京,门头沟,门头沟周边,2000,多层,中门寺街6号,116.0846187,39.93363194,,30.0,,260,公寓住宅,民用,7.2,12,0.0,33798.0,Beijing,,Mentougou,Beijing-Mentougou
23670,黑山北小街4号院,北京,门头沟,门头沟周边,1987,多层,黑山北小街4号,116.0876604,39.94147079,1.0,20.0,,156,公寓住宅,民用,7.6,12,2.32,37650.0,Beijing,,Mentougou,Beijing-Mentougou
23667,中骏天峰,北京,门头沟,门头沟周边,2012,小高层,石龙东路,116.1190601,39.91116806,,35.0,,791,公寓住宅,民用,7.9,12,0.0,55084.0,Beijing,,Mentougou,Beijing-Mentougou
23669,南街铁路小区,北京,门头沟,门头沟周边,1993,多层,石门路,116.1020523,39.96115951,1.0,20.0,,360,公寓住宅,民用,7.2,12,0.0,28787.0,Beijing,,Mentougou,Beijing-Mentougou
23463,紫金新园(一区),北京,门头沟,永定,2001,高层,龙林路,116.1041828,39.8897137,,45.0,,800,公寓住宅,民用,7.2,12,0.0,41697.0,Beijing,,Mentougou,Beijing-Mentougou
23672,黑山北小街11号院,北京,门头沟,门头沟周边,1987,多层,黑山北小街11号,116.087333,39.94005731,1.0,20.0,,98,公寓住宅,民用,7.8,12,0.0,31347.0,Beijing,,Mentougou,Beijing-Mentougou
23668,矿桥东街小区,北京,门头沟,门头沟周边,1986,多层,矿桥东街,116.0876563,39.94531773,1.0,20.0,,99,公寓住宅,民用,7.2,12,0.0,34788.0,Beijing,,Mentougou,Beijing-Mentougou
23683,龙门新区(二区),北京,门头沟,门头沟周边,2013,多层|小高层,龙门西街,116.0797751,39.94490408,1.0,30.0,,741,公寓住宅,民用,7.3,12,0.0,22163.0,Beijing,,Mentougou,Beijing-Mentougou
23684,保利首开四季怡园(北区),北京,门头沟,门头沟周边,2016,高层,永定石龙南路,116.1014413,39.89865817,,30.0,,955,公寓住宅,民用,7.5,12,0.0,31481.0,Beijing,,Mentougou,Beijing-Mentougou
23687,河滩路8号小区,北京,门头沟,门头沟周边,1998,多层,河滩路,116.0986649,39.94368795,,40.0,,252,公寓住宅,民用,7.1,12,0.0,36585.0,Beijing,,Mentougou,Beijing-Mentougou
23688,龙门新区B9小区(南区),北京,门头沟,门头沟周边,2015,多层|高层,和平东街9号,116.0725184,39.94239614,,30.0,,512,公寓住宅,民用,6.9,12,0.0,27692.0,Beijing,,Mentougou,Beijing-Mentougou
23689,东辛房24号院,北京,门头沟,门头沟周边,1990,多层,东辛房大街,116.0681421,39.93334677,,20.0,,88,公寓住宅,民用,6.8,12,0.0,35000.0,Beijing,,Mentougou,Beijing-Mentougou
23469,中铁西城北区,北京,门头沟,永定,2017,高层,龙兴南一路,116.1406244,39.90049893,,30.0,,444,公寓住宅,民用,6.3,12,0.0,29523.0,Beijing,,Mentougou,Beijing-Mentougou
23470,西峰家园,北京,门头沟,永定,2005,高层,石门营路,116.0901583,39.88352814,,30.0,,0,公寓住宅,民用,6.4,12,0.0,18000.0,Beijing,,Mentougou,Beijing-Mentougou
23471,北京城建龙樾西山(西区),北京,门头沟,永定,2018,高层,何各庄中街,116.0990767,39.90176301,,30.0,,840,公寓住宅,民用,7.4,12,0.0,57638.0,Beijing,,Mentougou,Beijing-Mentougou
23472,云梦嘉苑,北京,门头沟,永定,2015,高层,上园路,116.115622,39.89389434,,30.0,,903,公寓住宅,民用,6.9,12,0.0,23488.0,Beijing,,Mentougou,Beijing-Mentougou
23473,紫金新园(三区),北京,门头沟,永定,2001,高层,龙林路,116.1097717,39.88609511,,33.0,,0,公寓住宅,民用,7.4,12,0.0,26744.0,Beijing,,Mentougou,Beijing-Mentougou
23474,紫金新园(二区),北京,门头沟,永定,2001,高层,龙林路,116.1064378,39.88732378,,30.0,,1874,公寓住宅,民用,7.4,12,0.0,30023.0,Beijing,,Mentougou,Beijing-Mentougou
23475,云泽嘉苑,北京,门头沟,永定,2017,多层,紫金路,116.1096446,39.88998371,,30.0,,1,公寓住宅,民用,6.8,12,0.0,27441.0,Beijing,,Mentougou,Beijing-Mentougou
23476,华萃西山,北京,门头沟,永定,2021,小高层,京昆路,116.0873269,39.88152136,,30.0,99308.0,861,公寓住宅,民用,7.4,12,0.0,49600.0,Beijing,,Mentougou,Beijing-Mentougou
23477,西长安壹号(公寓住宅),北京,门头沟,永定,2017,高层,曹各庄路34号,116.1184659,39.90758391,,30.0,,5746,公寓住宅,民用,7.0,12,0.0,17878.0,Beijing,,Mentougou,Beijing-Mentougou
23478,云翔嘉苑,北京,门头沟,永定,2008,高层,龙林路,116.109787,39.88798837,,30.0,,0,公寓住宅,民用,6.6,12,0.0,22000.0,Beijing,,Mentougou,Beijing-Mentougou
23468,合景领汇长安,北京,门头沟,永定,2022,高层,曹各庄中路16号,116.1135775,39.9101462,,30.0,,0,公寓住宅,民用,7.3,12,0.0,27400.0,Beijing,,Mentougou,Beijing-Mentougou
