id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
92156,江洲路7号小区,重庆,巴南,鱼洞,2000,多层,江洲路7号,106.524042,29.38122185,2.0,30.0,,112,公寓住宅,民用,8.3,12,0.0,5333.0,Chongqing,,Banan,Chongqing-Banan
92157,箭河路小区,重庆,巴南,鱼洞,2000,多层|小高层,"窑坝街,近箭河路",106.5249161,29.37914016,,20.0,,20,公寓住宅,民用,7.8,12,0.0,5980.0,Chongqing,,Banan,Chongqing-Banan
92158,解放新村,重庆,巴南,鱼洞,1999,高层,鱼胡路35号,106.5324808,29.37576393,2.0,20.0,,390,公寓住宅,民用,7.5,12,0.0,6923.0,Chongqing,,Banan,Chongqing-Banan
92161,新农街66-71号小区,重庆,巴南,鱼洞,1995,小高层|高层,新农街66-71号,106.5120144,29.39193292,2.0,23.0,,68,公寓住宅,民用,7.6,12,0.0,6045.0,Chongqing,,Banan,Chongqing-Banan
92160,建设集团家属楼,重庆,巴南,鱼洞,2000,多层|小高层,箭河路5号,106.5231516,29.37911554,2.0,29.0,,203,公寓住宅,民用,7.6,12,0.0,5242.0,Chongqing,,Banan,Chongqing-Banan
92163,和达阳光家园,重庆,巴南,鱼洞,2010,高层,石子坪282号,106.5056587,29.38396381,2.0,35.0,,216,公寓住宅,民用,8.1,12,0.0,8870.0,Chongqing,,Banan,Chongqing-Banan
92162,恒泰苑,重庆,巴南,鱼洞,2006,超高层,石子坪262号,106.5041406,29.38417784,2.0,34.0,,231,公寓住宅,民用,7.9,12,0.0,6074.0,Chongqing,,Banan,Chongqing-Banan
92155,先锋新村,重庆,巴南,鱼洞,2004,多层,建设大道17号,106.5131489,29.46000335,2.0,35.0,,289,公寓住宅,民用,7.6,12,0.0,8521.0,Chongqing,,Banan,Chongqing-Banan
92159,天江丽景,重庆,巴南,鱼洞,2000,超高层,新农街36号,106.5159491,29.38942278,2.0,30.0,,232,公寓住宅,民用,8.2,12,0.0,6346.0,Chongqing,,Banan,Chongqing-Banan
92154,协信巴南新天地,重庆,巴南,鱼洞,2004,高层,"新市街60号,新市街73号",106.5210802,29.38438078,2.0,45.0,,180,公寓住宅,民用,8.4,12,0.0,7278.0,Chongqing,,Banan,Chongqing-Banan
92146,鱼轻路37-49号小区,重庆,巴南,鱼洞,2000,小高层,鱼轻路37-49号(单号),106.5121669,29.38320218,2.0,25.0,25000.0,329,公寓住宅,民用,8.3,12,0.0,7568.0,Chongqing,,Banan,Chongqing-Banan
92152,鱼洞铜锣湾,重庆,巴南,鱼洞,2006,小高层,新市街,106.5215984,29.38504937,2.0,30.0,,55,公寓住宅,民用,8.3,12,0.0,6944.0,Chongqing,,Banan,Chongqing-Banan
92151,鱼洞解放街小区,重庆,巴南,鱼洞,2002,多层|小高层,解放街16号,106.5201636,29.38461166,2.0,30.0,,42,公寓住宅,民用,7.8,12,0.0,5833.0,Chongqing,,Banan,Chongqing-Banan
92150,鱼洞民政局家属楼,重庆,巴南,鱼洞,1997,多层,化龙路162号,106.5141708,29.38110557,2.0,30.0,,126,公寓住宅,民用,8.1,12,0.0,4335.0,Chongqing,,Banan,Chongqing-Banan
92149,永丰综合楼,重庆,巴南,鱼洞,2000,多层|高层,黄溪口18号,106.5106518,29.38993172,2.0,10.0,,100,公寓住宅,民用,8.2,12,0.0,6695.0,Chongqing,,Banan,Chongqing-Banan
92148,渔兴商住楼,重庆,巴南,鱼洞,2005,高层,巴县大道110号,106.5083074,29.38846905,2.0,36.0,,120,公寓住宅,民用,8.1,12,0.0,6526.0,Chongqing,,Banan,Chongqing-Banan
92147,鱼胡大厦,重庆,巴南,鱼洞,2004,小高层,鱼胡路4号,106.5295541,29.37843996,2.0,20.0,,317,公寓住宅,民用,8.2,12,0.0,6751.0,Chongqing,,Banan,Chongqing-Banan
