id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
90288,星辰丽苑,重庆,江北,寸滩,2012,超高层,海尔路363号,106.6004089,29.62525211,2.0,30.0,,855,公寓住宅,民用,7.8,12,0.0,10014.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90284,兰溪小区,重庆,江北,寸滩,2001,多层|小高层,海尔路181号,106.5685965,29.61391339,2.0,25.1,,3020,公寓住宅,民用,7.9,12,-0.9,8800.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90285,北岸印象,重庆,江北,寸滩,2000,超高层,海尔路187号,106.5727811,29.61311469,2.0,39.0,22923.0,390,公寓住宅,民用,8.0,12,-0.26,12456.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90286,北大资源江山名门(E区),重庆,江北,寸滩,2017,高层,康百路32号,106.6147069,29.62916013,2.0,39.0,,1282,公寓住宅,民用,7.9,12,-0.23,12862.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90287,阳光丽苑,重庆,江北,寸滩,2017,小高层|高层|超高层,港安一路11号,106.6004833,29.62703521,2.0,30.0,,1074,公寓住宅,民用,7.8,12,0.0,9072.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90289,鲁能星城外滩,重庆,江北,寸滩,2020,小高层|高层,"耀星路88,16,26号",106.5822524,29.61588169,,25.0,,1218,公寓住宅,民用,7.7,12,-3.0,14514.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90296,启迪协信科技城(一期),重庆,江北,寸滩,Apr-22,多层|高层,渝航大道,106.6089668,29.63299466,,30.0,,867,公寓住宅,民用,7.7,12,0.0,12232.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90291,茅溪路红沙丽景(A区),重庆,江北,寸滩,2018,高层,红吉路16号,106.5758809,29.62040189,2.0,30.0,,616,公寓住宅,民用,8.2,12,-0.65,12621.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90292,北大资源江山名门(B区),重庆,江北,寸滩,2016,高层,海尔路599号,106.6191824,29.63036548,,40.0,,1190,公寓住宅,民用,8.0,12,-0.45,12168.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90293,金色花苑,重庆,江北,寸滩,2000,小高层,"海尔路,近栋梁一路",106.6400345,29.60385665,2.0,35.0,,881,公寓住宅,民用,7.4,12,0.0,8160.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90283,北大资源海樾府D区,重庆,江北,寸滩,Dec-19,超高层,康百路26号,106.6154761,29.63196284,2.0,33.0,,1980,公寓住宅,民用,7.6,12,-0.84,13304.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90294,绿地保税中心(二期),重庆,江北,寸滩,2020,高层,港翔路102号,106.5801002,29.62582473,,30.0,,1610,商住楼,商用,7.8,12,0.0,12631.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90295,北大资源江山名门(F区),重庆,江北,寸滩,2016,高层,康百路59号,106.6112497,29.62655429,2.0,40.0,,597,公寓住宅,民用,8.1,12,-0.12,12600.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90290,绿地新里樱园,重庆,江北,寸滩,2019,高层|超高层,港腾路98号,106.5814409,29.6265118,,30.0,200000.0,1572,公寓住宅,民用,7.8,12,0.0,17349.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90282,融堃港城小时代,重庆,江北,寸滩,Oct-20,高层,港城西路10号,106.6416792,29.62287684,,30.0,48188.0,352,公寓住宅,民用,7.3,12,0.0,9620.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90275,水语华庭(2期),重庆,江北,寸滩,2005,高层,栋梁二路16号,106.6470719,29.60241796,2.0,30.0,,2313,公寓住宅,民用,7.4,12,0.0,8732.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90280,漫山居,重庆,江北,寸滩,Dec-20,高层,海尔路1061号,106.6616081,29.61321565,,30.0,,1131,公寓住宅,民用,7.5,12,-0.03,10915.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90279,茅溪路红沙丽景(B区),重庆,江北,寸滩,2017,超高层,茅溪路13号,106.5749254,29.6199478,2.0,10.0,,1208,公寓住宅,民用,8.1,12,0.16,12062.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90278,北大资源江山名门(A区),重庆,江北,寸滩,2016,高层,海尔路599号,106.6161157,29.62875663,,39.0,1370000.0,276,公寓住宅,民用,7.9,12,0.0,14724.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90277,港盛小区,重庆,江北,寸滩,2010,多层,港盛小区1-63号,106.6437556,29.62257039,2.0,39.0,,970,公寓住宅,民用,7.4,12,0.0,7666.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90276,绿地保税中心(一期),重庆,江北,寸滩,2020,高层,金渝大道138号,106.5790869,29.62356508,,30.0,1180000.0,1045,商住楼,商用,8.2,12,0.0,14249.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90273,港兴小区,重庆,江北,寸滩,2010,多层,港城南路1号,106.6433256,29.6209869,2.0,35.0,,1330,公寓住宅,民用,7.5,12,0.0,6888.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90272,康锦家园,重庆,江北,寸滩,2002,高层,海尔路,106.6506801,29.6071273,2.0,30.0,,571,公寓住宅,民用,7.3,12,-0.22,6803.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90270,康泰家园小区,重庆,江北,寸滩,2015,高层,香桂路2号,106.6576801,29.61092992,2.0,30.0,,1408,公寓住宅,民用,7.4,12,0.0,8607.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90269,港城印象(东区),重庆,江北,寸滩,2016,高层|超高层,港城南路20号,106.6399933,29.62386022,2.0,31.96,380000.0,1212,公寓住宅,民用,7.8,12,-0.41,9905.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90268,中国铁建西派城1期,重庆,江北,寸滩,2019,高层|超高层,"星怡路38,34,52,44号",106.5764597,29.61399896,2.0,35.0,,1805,公寓住宅,民用,7.9,12,0.36,22773.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90266,吉安园茅溪小区,重庆,江北,寸滩,2007,小高层|高层,海尔路299号,106.5780568,29.62024482,2.0,18.0,300000.0,1188,公寓住宅,民用,8.1,12,0.75,9229.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90281,金桂花园(江北),重庆,江北,寸滩,2005,小高层|高层,海尔路1027号,106.6559629,29.60926501,2.0,25.0,,486,公寓住宅,民用,7.6,12,0.0,6761.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90297,月光丽苑,重庆,江北,寸滩,2012,高层,港安三路7号,106.5987993,29.6276287,2.0,30.0,,576,公寓住宅,民用,7.7,12,0.0,7540.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90321,中粮天悦壹号(一期),重庆,江北,石马河,2015,高层,宏桂路3号,106.459092,29.58785504,2.0,35.0,298940.0,1606,公寓住宅,民用,8.4,12,0.07,14365.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90299,新城光屿,重庆,江北,寸滩,,小高层,海尔路1136号,106.6669694,29.62050954,,,,0,公寓住宅,民用,7.2,12,0.0,10800.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
90265,女职中教职工经济适用房,重庆,江北,寸滩,2015,高层,海尔路1136号,106.6668626,29.61807026,2.0,30.0,,408,公寓住宅,民用,7.2,12,0.0,9411.0,Chongqing,,Jiangbei,Chongqing-Jiangbei
