id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
86671,和黄御峰8坊,重庆,南岸,海棠溪,2014,高层,御泰路8号,106.5852099,29.54000686,,30.0,,639,商住楼,商用,7.9,12,-3.07,13223.0,Chongqing,,Nanan,Chongqing-Nanan
86670,和黄御峰(四期别墅),重庆,南岸,海棠溪,2020,低层,御泰路47号,106.5868028,29.54065086,,30.0,3000000.0,296,别墅,民用,8.5,12,-3.49,14356.0,Chongqing,,Nanan,Chongqing-Nanan
86994,金桂园(南岸),重庆,南岸,上新街,2005,小高层|高层,桂花新街367号,106.5928143,29.54933781,2.0,23.0,,341,公寓住宅,民用,8.1,12,0.0,10116.0,Chongqing,,Nanan,Chongqing-Nanan
86972,上新山水,重庆,南岸,上新街,2007,高层,前进路88号,106.5926037,29.55406963,2.0,36.0,,1506,公寓住宅,民用,8.1,12,0.0,12566.0,Chongqing,,Nanan,Chongqing-Nanan
86973,浩月大厦,重庆,南岸,上新街,2005,高层,涂山路53号,106.5909409,29.55516428,2.0,30.0,,192,公寓住宅,民用,8.0,12,0.0,8987.0,Chongqing,,Nanan,Chongqing-Nanan
86667,和黄御峰(三期别墅),重庆,南岸,海棠溪,2015,低层,御泰路201号,106.5852761,29.53791316,,35.0,3000000.0,308,别墅,民用,8.1,12,10.1,23287.0,Chongqing,,Nanan,Chongqing-Nanan
86917,银河路19号小区,重庆,南岸,迎龙镇,2007,多层,银河路19号,106.7090966,29.52395297,,30.0,,20,公寓住宅,民用,6.8,12,0.0,5422.0,Chongqing,,Nanan,Chongqing-Nanan
86684,明发尚都国际,重庆,南岸,辅仁路,2010,高层,辅仁路6号,106.5713828,29.5283967,2.0,40.0,,908,公寓住宅,民用,8.8,12,0.36,13690.0,Chongqing,,Nanan,Chongqing-Nanan
86683,康德国会山,重庆,南岸,辅仁路,2010,高层,辅仁路8号,106.5746421,29.53022742,2.0,56.0,650000.0,6541,公寓住宅,民用,8.8,12,-0.2,13944.0,Chongqing,,Nanan,Chongqing-Nanan
86682,金龙港湾,重庆,南岸,海棠溪,2001,小高层|高层,海棠溪新街40号,106.5875451,29.54637469,2.0,30.0,110000.0,392,公寓住宅,民用,7.9,12,0.0,8000.0,Chongqing,,Nanan,Chongqing-Nanan
86681,南中园,重庆,南岸,海棠溪,2000,小高层,学府大道13号,106.5714557,29.51385333,2.0,30.0,,112,公寓住宅,民用,8.0,12,0.0,6842.0,Chongqing,,Nanan,Chongqing-Nanan
86680,浦辉巴登巴登,重庆,南岸,海棠溪,2011,高层,南坪东路589号,106.579594,29.5417079,2.0,30.0,,478,公寓住宅,民用,7.7,12,0.0,11650.0,Chongqing,,Nanan,Chongqing-Nanan
86678,江山多娇天池林海,重庆,南岸,海棠溪,2015,多层,南山路97号,106.5986121,29.53660436,2.0,62.0,,185,公寓住宅,民用,7.2,12,0.0,11202.0,Chongqing,,Nanan,Chongqing-Nanan
86677,"烟雨堡32,33,39,40号小区",重庆,南岸,海棠溪,2000,多层,"烟雨堡32,33,39,40号",106.5755548,29.53844796,,30.0,,160,公寓住宅,民用,7.5,12,0.0,8103.0,Chongqing,,Nanan,Chongqing-Nanan
86676,前进村特2号小区,重庆,南岸,海棠溪,2017,多层,前进村215号,106.5928515,29.55475634,2.0,30.0,,84,公寓住宅,民用,7.4,12,0.0,6292.0,Chongqing,,Nanan,Chongqing-Nanan
86974,海棠溪正街小区,重庆,南岸,上新街,2000,多层|小高层,海棠溪正街36号,106.5844886,29.54511928,2.0,30.0,,280,公寓住宅,民用,8.2,12,0.0,9846.0,Chongqing,,Nanan,Chongqing-Nanan
86675,上新街37号居民楼,重庆,南岸,海棠溪,2013,多层,上新街37号,106.5905409,29.55491375,2.0,30.0,,76,公寓住宅,民用,7.6,12,0.0,8656.0,Chongqing,,Nanan,Chongqing-Nanan
86910,翡翠御园,重庆,南岸,迎龙镇,Dec-21,低层,南山路33号,106.5963067,29.52627294,,50.0,73906.0,187,别墅,民用,7.8,12,0.0,17883.0,Chongqing,,Nanan,Chongqing-Nanan
86886,新天泽首誉,重庆,南岸,长生桥,Mar-22,小高层|高层,"江迎路,近通江大道",106.665277,29.52961381,,35.0,335102.0,463,公寓住宅,民用,7.5,12,-0.61,12627.0,Chongqing,,Nanan,Chongqing-Nanan
86908,锦绣丹阳(A区),重庆,南岸,长生桥,2009,多层,长生路11号,106.6642335,29.50560888,2.0,30.0,,202,公寓住宅,民用,7.5,12,0.0,7912.0,Chongqing,,Nanan,Chongqing-Nanan
86874,渝能长悦府,重庆,南岸,长生桥,2019,小高层,应河湾路38号,106.6643257,29.5037619,2.0,30.0,125135.0,1002,公寓住宅,民用,8.0,12,0.6,10994.0,Chongqing,,Nanan,Chongqing-Nanan
86873,中铁山水之韵,重庆,南岸,长生桥,Dec-17,多层,同景路7号,106.6482991,29.49791309,2.0,33.0,,260,公寓住宅,民用,8.0,12,0.35,13332.0,Chongqing,,Nanan,Chongqing-Nanan
86872,沁芳园,重庆,南岸,长生桥,2001,高层,新盛路1号,106.6573583,29.51288109,2.0,30.0,,986,公寓住宅,民用,7.5,12,-2.39,14321.0,Chongqing,,Nanan,Chongqing-Nanan
86870,长生雅苑,重庆,南岸,长生桥,2009,超高层,望丰路310号,106.6665388,29.51174572,2.0,30.0,,1728,公寓住宅,民用,7.7,12,0.13,9096.0,Chongqing,,Nanan,Chongqing-Nanan
86978,消防特勤三中队家属楼,重庆,南岸,上新街,1999,小高层,南坪东路4号,106.567464,29.53178878,2.0,20.0,,90,公寓住宅,民用,8.2,12,0.0,8888.0,Chongqing,,Nanan,Chongqing-Nanan
86979,皮革大院,重庆,南岸,上新街,2012,小高层,前驱路90号,106.5923222,29.5475977,,30.0,,84,公寓住宅,民用,8.1,12,0.0,5000.0,Chongqing,,Nanan,Chongqing-Nanan
86860,首创禧瑞山河,重庆,南岸,刘家坪,Jun-20,多层|小高层,创禧路4号,106.6506885,29.53386504,,35.0,,356,公寓住宅,民用,7.9,12,0.0,17202.0,Chongqing,,Nanan,Chongqing-Nanan
86980,前驱路239号小区,重庆,南岸,上新街,1998,小高层,前驱路239号,106.5914886,29.55004915,,20.0,,108,公寓住宅,民用,7.5,12,0.0,10655.0,Chongqing,,Nanan,Chongqing-Nanan
86981,马鞍山175号小区,重庆,南岸,上新街,1997,小高层,马鞍山175号,106.5898356,29.55100745,2.0,20.0,,49,公寓住宅,民用,7.4,12,0.0,8966.0,Chongqing,,Nanan,Chongqing-Nanan
86982,七必居,重庆,南岸,上新街,2005,多层,上新街148号,106.5906455,29.55151672,,30.0,,162,公寓住宅,民用,7.5,12,0.0,11435.0,Chongqing,,Nanan,Chongqing-Nanan
86983,华德大厦,重庆,南岸,上新街,2000,小高层,涂山路4号,106.591957,29.55309579,2.0,30.0,,104,公寓住宅,民用,7.6,12,0.0,7759.0,Chongqing,,Nanan,Chongqing-Nanan
86984,重庆社会主义学院集资房,重庆,南岸,上新街,1998,多层,建业岗54号,106.592423,29.55811844,,20.0,,56,公寓住宅,民用,7.7,12,0.0,6100.0,Chongqing,,Nanan,Chongqing-Nanan
86985,聚丰江山国际,重庆,南岸,上新街,2017,高层,南滨路89号,106.5896065,29.55540202,2.0,30.0,,102,公寓住宅,民用,7.8,12,0.0,14589.0,Chongqing,,Nanan,Chongqing-Nanan
86865,三江花园,重庆,南岸,刘家坪,1998,高层,天文大道,106.6479955,29.53258706,,20.0,,2376,公寓住宅,民用,6.8,12,0.0,8500.0,Chongqing,,Nanan,Chongqing-Nanan
86986,金都华庭,重庆,南岸,上新街,2000,高层,板栗树1号,106.5773209,29.52891993,2.0,30.0,,130,公寓住宅,民用,8.2,12,0.0,11166.0,Chongqing,,Nanan,Chongqing-Nanan
86987,天水伴山居,重庆,南岸,上新街,2004,高层,桂花新村168号,106.5942989,29.55018666,2.0,27.6,39000.0,504,公寓住宅,民用,7.8,12,0.0,10857.0,Chongqing,,Nanan,Chongqing-Nanan
86988,双宏苑,重庆,南岸,上新街,2005,小高层|高层,涂山路30号,106.5918285,29.55402617,2.0,30.0,,288,公寓住宅,民用,7.9,12,0.0,10000.0,Chongqing,,Nanan,Chongqing-Nanan
86993,骏龙园小区,重庆,南岸,上新街,2012,高层|超高层,海棠新街42号,106.5892025,29.54776519,2.0,22.0,28000.0,252,公寓住宅,民用,8.1,12,0.0,12777.0,Chongqing,,Nanan,Chongqing-Nanan
86992,龙门皓月小区,重庆,南岸,上新街,2005,高层,桂花新村9号,106.5931524,29.55047569,2.0,30.0,,1543,公寓住宅,民用,7.6,12,0.0,11395.0,Chongqing,,Nanan,Chongqing-Nanan
86991,上浩小学教师住宅,重庆,南岸,上新街,2008,小高层,前驱路164号,106.593525,29.54889021,2.0,40.0,,32,公寓住宅,民用,7.7,12,0.0,4700.0,Chongqing,,Nanan,Chongqing-Nanan
86875,中铁山水时光F组团,重庆,南岸,长生桥,2016,高层,桂雨支路6号,106.6597472,29.5037775,2.0,30.0,,288,公寓住宅,民用,8.1,12,0.0,13818.0,Chongqing,,Nanan,Chongqing-Nanan
86876,远洋合能枫丹江屿,重庆,南岸,长生桥,2020,多层|小高层|高层,应河湾路3号,106.6630204,29.49809893,,30.0,185080.0,1154,公寓住宅,民用,7.6,12,-0.17,13967.0,Chongqing,,Nanan,Chongqing-Nanan
86877,中铁山水时光E组团,重庆,南岸,长生桥,2016,多层,蔷薇支路2号,106.6602389,29.50134077,2.0,30.0,,468,公寓住宅,民用,8.1,12,0.0,15298.0,Chongqing,,Nanan,Chongqing-Nanan
86906,今福小区,重庆,南岸,长生桥,2009,小高层,"长生路2,4号",106.6659586,29.50721806,2.0,30.0,,184,公寓住宅,民用,7.5,12,0.0,9142.0,Chongqing,,Nanan,Chongqing-Nanan
86905,必茂小区(二期),重庆,南岸,长生桥,2003,多层|小高层,长生路64号,106.6588931,29.50724309,2.0,36.0,,270,公寓住宅,民用,7.8,12,0.0,10457.0,Chongqing,,Nanan,Chongqing-Nanan
86904,南岸移民小区(一二三区),重庆,南岸,长生桥,1998,小高层,长生一支路,106.6661556,29.50612923,2.0,20.0,,204,公寓住宅,民用,7.1,12,0.0,8461.0,Chongqing,,Nanan,Chongqing-Nanan
86903,长生桥综合市场,重庆,南岸,长生桥,1998,多层,新建街38号,106.6616137,29.50867917,2.0,20.0,,120,公寓住宅,民用,7.1,12,0.0,8800.0,Chongqing,,Nanan,Chongqing-Nanan
86902,长生渝信综合楼,重庆,南岸,长生桥,2017,多层,长生路9号,106.6644458,29.50658079,2.0,30.0,,214,公寓住宅,民用,7.5,12,0.0,7700.0,Chongqing,,Nanan,Chongqing-Nanan
86901,时光雲,重庆,南岸,长生桥,2022,高层,通江大道97号,106.6536943,29.5113062,,30.0,,324,商住楼,商用,7.9,12,0.0,11031.0,Chongqing,,Nanan,Chongqing-Nanan
86900,昌龙51国际,重庆,南岸,长生桥,Apr-22,高层,"广兴大道,近江迎路",106.6776354,29.52367372,,30.0,,0,商住楼,商用,7.3,12,0.0,6888.0,Chongqing,,Nanan,Chongqing-Nanan
86899,南海楼,重庆,南岸,长生桥,1988,小高层,河街54号,106.6627517,29.50918686,2.0,20.0,,72,公寓住宅,民用,7.2,12,0.0,7700.0,Chongqing,,Nanan,Chongqing-Nanan
86898,汇丰楼小区,重庆,南岸,长生桥,1992,小高层,长生路16号,106.6639815,29.50697503,2.0,20.0,,0,公寓住宅,民用,7.2,12,0.0,7800.0,Chongqing,,Nanan,Chongqing-Nanan
86897,"长生路20号,22号小区",重庆,南岸,长生桥,2006,多层,"长生路20号,22号",106.6627254,29.50691863,2.0,30.0,,72,公寓住宅,民用,7.5,12,0.0,7400.0,Chongqing,,Nanan,Chongqing-Nanan
86896,国瑞江南御府,重庆,南岸,长生桥,2021,小高层,乐天路,106.6823505,29.51567388,,35.0,134359.0,110,公寓住宅,民用,8.0,12,0.0,13200.0,Chongqing,,Nanan,Chongqing-Nanan
86895,长生路13号小区,重庆,南岸,长生桥,2007,多层,长生路13号,106.663676,29.50633011,2.0,30.0,,60,公寓住宅,民用,7.4,12,0.0,7700.0,Chongqing,,Nanan,Chongqing-Nanan
86989,升辉苑,重庆,南岸,上新街,2000,小高层|高层,桂花新村1号,106.59321,29.55153318,2.0,32.0,,122,公寓住宅,民用,7.8,12,0.0,9350.0,Chongqing,,Nanan,Chongqing-Nanan
86885,北大资源紫境府,重庆,南岸,长生桥,Mar-21,低层,翠峰路13号,106.6591453,29.53863139,,30.0,,212,公寓住宅,民用,7.8,12,0.0,18150.0,Chongqing,,Nanan,Chongqing-Nanan
86884,优雅长乐居,重庆,南岸,长生桥,2019,高层,茶园大道331号,106.6846164,29.51665325,2.0,30.0,,2038,公寓住宅,民用,7.3,12,-0.16,9115.0,Chongqing,,Nanan,Chongqing-Nanan
86883,江南丽景(长生路),重庆,南岸,长生桥,2015,高层,长生路57号,106.6593315,29.50578742,2.0,30.0,,478,公寓住宅,民用,8.0,12,0.0,8902.0,Chongqing,,Nanan,Chongqing-Nanan
86882,天天都会,重庆,南岸,长生桥,2012,小高层,长生路33号,106.6608102,29.50625876,,30.0,,261,公寓住宅,民用,7.6,12,0.0,10000.0,Chongqing,,Nanan,Chongqing-Nanan
86881,恒大滨河左岸(南岸),重庆,南岸,长生桥,Jun-20,高层|超高层,望丰路212号,106.6683148,29.51139861,2.0,30.0,255760.0,1959,公寓住宅,民用,7.9,12,-0.66,10757.0,Chongqing,,Nanan,Chongqing-Nanan
