id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
417856,三迪金域云境,龙岩,新罗,交易城,,高层,"工业西路,犀牛路",117.0036971,25.11426797,,30.0,97766.0,648,公寓住宅,民用,7.6,12,0.0,13738.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417848,金色家园,龙岩,新罗,交易城,,高层,龙昌路26号,116.9959543,25.10718543,,30.0,,0,公寓住宅,民用,8.1,12,0.77,11970.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417845,金茂莲花山166,龙岩,新罗,东山,2016,高层,连南路,117.0328354,25.06790187,,30.0,,0,公寓住宅,民用,7.5,12,0.0,11998.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417842,德兴印象铂郡,龙岩,新罗,东山,,高层,"金鸡路,近五星路",117.0348427,25.06414516,,35.0,197500.0,1403,公寓住宅,民用,7.7,12,0.0,12500.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417839,中福城,龙岩,新罗,东山,2002,高层,莲庄南路23号,117.0402367,25.05686289,,35.2,,0,公寓住宅,民用,7.6,12,0.0,7953.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417853,印象天悦,龙岩,新罗,交易城,2021,高层,"犀牛路,近工业中路",117.0050365,25.12244512,,30.0,104552.0,774,公寓住宅,民用,7.7,12,-0.74,12000.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417525,挺秀花园,龙岩,新罗,中山路,,高层,和平路71号,117.0335812,25.10425643,,30.0,,0,公寓住宅,民用,8.1,12,0.0,19849.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417527,建发津湖印,龙岩,新罗,中山路,2020,高层,塘北路39号,117.019949,25.0640933,,30.0,,554,公寓住宅,民用,8.0,12,-0.27,12799.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417884,香榭景园,龙岩,新罗,交易城,2015,多层|小高层,"工业西路,近民园路",117.0015426,25.11432543,,30.0,,0,公寓住宅,民用,7.8,12,0.0,8983.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417862,西湖人家,龙岩,新罗,交易城,2014,高层,人民西路168号,116.999227,25.0983627,,30.11,,0,公寓住宅,民用,7.8,12,0.0,11722.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417508,天马山庄,龙岩,新罗,龙腾中路,,多层,莲南路390号,117.0250022,25.07494697,,35.0,,0,公寓住宅,民用,7.6,12,0.0,8476.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417873,书华文郡,龙岩,新罗,交易城,,小高层|高层,"民园路,近青云路",116.9983108,25.12883181,,30.0,,575,公寓住宅,民用,7.3,12,0.0,11708.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417516,晟龙丽景时代,龙岩,新罗,龙腾中路,,超高层,曹溪北路132号,117.0224834,25.07342974,,35.0,,0,公寓住宅,民用,8.1,12,0.0,12932.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417794,东岳花园,龙岩,新罗,南城,2014,高层,南环中路22号,117.0458839,25.09622763,,20.3,,0,公寓住宅,民用,7.6,12,-0.04,9902.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417491,住宅水晶澜庭,龙岩,新罗,龙腾中路,,高层|超高层,"陈陂南路,近犀牛路",117.0057728,25.07506172,,30.0,,1,公寓住宅,民用,7.5,12,-0.31,17660.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417493,城发福郡,龙岩,新罗,龙腾中路,,高层,"龙岩大道,近天马路",117.0169446,25.06983012,,30.37,,0,公寓住宅,民用,7.9,12,0.63,15090.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417495,国贸天琴湾,龙岩,新罗,龙腾中路,,高层,龙腾中路588号,117.0085982,25.07927858,,30.0,,0,公寓住宅,民用,7.6,12,-0.13,23159.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417497,城发雅郡,龙岩,新罗,龙腾中路,2022,小高层,"龙岩大道,近莲南路",117.0169407,25.06975608,,35.0,200000.0,1,公寓住宅,民用,8.2,12,-0.86,11685.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417821,龙地世纪榕华,龙岩,新罗,东山,,高层,天马东路8号,117.0380495,25.06799861,,35.0,,1989,公寓住宅,民用,7.6,12,-0.81,11444.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417822,紫金莲园,龙岩,新罗,东山,2017,超高层,五星路1号,117.0420675,25.06653426,,35.0,,0,公寓住宅,民用,7.7,12,0.58,11541.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417823,禹洲城上城,龙岩,新罗,东山,2022,高层,莲庄南路9号,117.0423113,25.06344327,,30.0,,0,公寓住宅,民用,7.9,12,-1.08,11623.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417489,融侨观邸,龙岩,新罗,龙腾中路,,多层|小高层|高层,锦程路299号,117.001348,25.06344886,,30.0,,1858,公寓住宅,民用,7.2,12,-0.57,16867.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417885,冠华商城,龙岩,新罗,交易城,2015,多层|小高层,"中兴路,近北二环",116.9924431,25.11113415,,30.0,,0,商住楼,商用,7.6,12,0.0,8800.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417834,龙地华庭,龙岩,新罗,东山,,高层,"莲庄路,近天星路",117.0431649,25.05953469,,30.4,,0,公寓住宅,民用,7.4,12,0.09,10863.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417832,城发东郡,龙岩,新罗,东山,,高层,莲庄南路18号,117.0389297,25.06294921,,30.0,,554,公寓住宅,民用,7.6,12,-4.36,10434.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417830,海伦堡东山府,龙岩,新罗,东山,,高层,浮东路10号,117.0451286,25.0608328,,30.0,,2,公寓住宅,民用,7.3,12,-1.23,10003.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417829,中骏蓝湾香郡,龙岩,新罗,东山,2010,高层|超高层,天星路8号,117.0430486,25.06139631,,33.0,,0,公寓住宅,民用,7.4,12,1.54,12067.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417827,恒大绿洲,龙岩,新罗,东山,,高层,"莲庄南路,近厦成线",117.0388486,25.05034229,,30.0,,0,公寓住宅,民用,6.9,12,-0.42,8645.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417826,龙津大时代广场,龙岩,新罗,东山,,小高层|高层,"金鸡路,近莲庄南路",117.0404051,25.0659388,,30.0,,0,公寓住宅,民用,7.5,12,-1.53,12182.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417824,龙地锦园,龙岩,新罗,东山,,小高层|高层,天星路9号,117.049803,25.06093847,,30.0,,0,公寓住宅,民用,7.3,12,-0.54,10575.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417504,莲花湖畔,龙岩,新罗,龙腾中路,2011,高层,龙腾中路816号,117.009321,25.0661141,,33.0,,0,公寓住宅,民用,7.7,12,-0.18,14599.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417506,天马山庄(别墅),龙岩,新罗,龙腾中路,,低层,莲南路390号,117.025212,25.0746024,,35.0,,0,别墅,民用,7.9,12,0.0,21007.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417802,泰阳活力城,龙岩,新罗,南城,2016,高层,新旗排路3-5号,117.039721,25.1014822,,30.0,,1,公寓住宅,民用,8.0,12,0.0,9740.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417798,依云水岸,龙岩,新罗,南城,2014,高层,滨江路6号,117.0375673,25.09258235,,30.8,,0,公寓住宅,民用,8.0,12,0.0,12532.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417795,水晶嘉园,龙岩,新罗,南城,2016,高层,小溪路11号,117.0392754,25.09312336,,30.17,,0,公寓住宅,民用,7.9,12,0.82,12933.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417793,碧桂园北大燕园,龙岩,新罗,南城,,小高层|高层,南环中路20-10号,117.044015,25.0938529,,30.0,,0,公寓住宅,民用,7.7,12,1.34,12324.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417792,清华御景,龙岩,新罗,南城,2012,高层,小溪路8号,117.0389596,25.09493126,,25.0,,0,公寓住宅,民用,8.1,12,-6.91,11095.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417888,汇盛花园,龙岩,新罗,中城,,多层,解放北路6号,117.0246419,25.11686166,,30.15,,0,公寓住宅,民用,7.8,12,0.0,9229.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417976,欧洲世家,龙岩,新罗,龙岩学院,,多层,东肖北路5号,117.0156255,25.03684332,,39.2,,0,公寓住宅,民用,7.0,12,0.0,20184.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417985,学府嘉苑,龙岩,新罗,龙岩学院,,高层,肖北路9号,117.0158082,25.0383698,,25.3,,0,公寓住宅,民用,7.1,12,0.0,8542.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417584,亿邦星城,龙岩,新罗,中山路,,高层,西安南路5号,117.0232261,25.09424112,,25.1,,0,商住楼,商用,8.3,12,0.0,10242.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417920,景冠小区,龙岩,新罗,中城,,高层,解放北路90号,117.0214196,25.12462011,,36.7,,0,公寓住宅,民用,7.8,12,0.0,11271.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417909,蓝色港湾,龙岩,新罗,中城,2010,多层,凤凰路7-1号,117.0227081,25.11371041,,25.0,,0,公寓住宅,民用,7.9,12,0.0,10766.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417907,国际山庄,龙岩,新罗,中城,2007,高层,解放北路16号,117.0246083,25.12110701,,30.0,,0,公寓住宅,民用,7.5,12,0.0,10240.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417890,松柏花园,龙岩,新罗,中城,2006,多层,解放北路84号,117.0229417,25.11765382,,30.0,,0,公寓住宅,民用,7.9,12,0.0,9388.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417891,龙达花园,龙岩,新罗,中城,2007,多层,解放北路5号,117.0228777,25.11959775,,30.0,,0,公寓住宅,民用,7.8,12,-1.77,8454.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417893,碧桂园德兴时代城,龙岩,新罗,中城,,高层,"犀牛路,近青松路",117.0070143,25.12142982,,30.0,,1,公寓住宅,民用,7.5,12,-0.24,12528.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417966,兴想江山名筑,龙岩,新罗,铁山,2015,多层|小高层|高层,三洋路5号,117.0525984,25.148008,,35.7,,0,公寓住宅,民用,6.9,12,0.31,7474.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417967,温泉湾,龙岩,新罗,铁山,,高层,"三洋路,近203省道",117.0539846,25.14166886,,30.1,,0,公寓住宅,民用,7.1,12,0.0,8392.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417932,大唐世茂世家文苑,龙岩,新罗,中城,,高层,"龙腾北路,近青云西路",117.0079342,25.12275229,,30.0,80969.0,564,公寓住宅,民用,7.5,12,0.0,10112.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417943,银河山庄,龙岩,新罗,中城,,小高层,幸福路66号,117.0351332,25.11469562,,30.0,,1,公寓住宅,民用,8.0,12,0.0,8988.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417482,水晶沂庭,龙岩,新罗,东肖开发区,,高层,"龙腾南路,近东肖南路",116.9991647,25.02214378,,30.0,400000.0,828,公寓住宅,民用,7.1,12,0.0,10898.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417836,龙地东尚湾,龙岩,新罗,东山,,高层,"金鸡路,近东环路",117.0466859,25.06524477,,34.56,91464.0,580,公寓住宅,民用,7.4,12,-0.63,9076.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417320,幸福公馆,龙岩,新罗,万宝,2013,高层,登高西路689号,117.01055,25.09198256,,30.0,,0,公寓住宅,民用,8.6,12,0.0,15697.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417317,西湖御景,龙岩,新罗,万宝,,多层,西郊路268号,117.0052003,25.0842281,,30.0,,0,公寓住宅,民用,7.4,12,0.0,13222.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417316,皇冠国际名苑,龙岩,新罗,万宝,2014,高层,龙腾中路465号,117.010703,25.08342977,,30.2,,0,公寓住宅,民用,8.1,12,-3.07,22664.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417412,宏泰御景,龙岩,新罗,龙腾北路,2015,超高层,龙腾北路215号,117.0088684,25.11112908,,40.0,,0,公寓住宅,民用,7.9,12,-1.78,12789.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417313,裕福国际,龙岩,新罗,万宝,,高层,人民西路55号,117.0136888,25.09508653,,20.0,,0,公寓住宅,民用,8.1,12,0.0,10906.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417312,龙腾登高,龙岩,新罗,万宝,2018,高层,登高西路733号,117.0088361,25.0919688,,25.04,,0,公寓住宅,民用,8.2,12,0.0,10666.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417413,交发龙岩风景,龙岩,新罗,龙腾北路,2019,高层|超高层,"人民西路,近龙腾中路",117.0086908,25.09553949,,30.0,,0,公寓住宅,民用,8.4,12,0.06,14373.0,Fujian,Longyan,Xinluo,Fujian-Longyan
417415,新地标,龙岩,新罗,龙腾北路,2011,高层,龙腾北路1号,117.0089827,25.09695879,,30.0,,0,公寓住宅,民用,8.2,12,-0.23,13373.0,Fujian,Longyan,Xinluo,Fujian-Longyan
