id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
483392,东教小区,南平,延平,延平城区,,高层,江滨北路,118.170539,26.65439279,,,,0,公寓住宅,民用,7.3,12,0.0,6442.0,Fujian,Nanping,Yanping,Fujian-Nanping
483391,区实验小学宿舍楼,南平,延平,延平城区,,多层,府前路63号,118.1750491,26.63865207,,,,0,公寓住宅,民用,8.1,12,0.0,8500.0,Fujian,Nanping,Yanping,Fujian-Nanping
483388,供销大厦(延平),南平,延平,延平城区,,高层,胜利街68号,118.1755863,26.64145,,,,0,公寓住宅,民用,8.1,12,0.0,9160.0,Fujian,Nanping,Yanping,Fujian-Nanping
483387,印机厂小区,南平,延平,延平城区,,小高层,进步路66号,118.1694685,26.64051462,,,,0,公寓住宅,民用,8.0,12,0.0,7800.0,Fujian,Nanping,Yanping,Fujian-Nanping
483386,高级中学单位宿舍,南平,延平,延平城区,,小高层,环城南路58号,118.1677801,26.62965286,,,,0,公寓住宅,民用,7.9,12,0.0,7500.0,Fujian,Nanping,Yanping,Fujian-Nanping
483385,木器厂宿舍,南平,延平,延平城区,,小高层,八一路145号,118.1710868,26.63798443,,,,0,公寓住宅,民用,8.5,12,0.0,7200.0,Fujian,Nanping,Yanping,Fujian-Nanping
483383,新城中心蓝郡,南平,延平,延平城区,,高层,福兴路8号,118.1657726,26.61369843,,,,0,公寓住宅,民用,7.0,12,0.0,7967.0,Fujian,Nanping,Yanping,Fujian-Nanping
483382,粮顺大厦,南平,延平,延平城区,,高层,东山路208号,118.1767191,26.64886012,,,,0,公寓住宅,民用,8.0,12,1.18,9623.0,Fujian,Nanping,Yanping,Fujian-Nanping
483378,志闽花园,南平,延平,延平城区,,高层,人民路99号,118.1716014,26.6396291,,,,0,公寓住宅,民用,8.2,12,0.0,10380.0,Fujian,Nanping,Yanping,Fujian-Nanping
483370,宝武营商住楼,南平,延平,延平城区,,高层,宝武营3号,118.1780954,26.64499458,,,,0,公寓住宅,民用,7.7,12,0.0,9393.0,Fujian,Nanping,Yanping,Fujian-Nanping
483375,职工集资住宅楼,南平,延平,延平城区,,小高层,梅峰路197号,118.1751302,26.648213,,,,0,公寓住宅,民用,7.6,12,0.0,7831.0,Fujian,Nanping,Yanping,Fujian-Nanping
483377,名仕嘉源,南平,延平,延平城区,,高层,兴业里1号,118.1812959,26.65355774,,,,0,公寓住宅,民用,7.1,12,0.0,7757.0,Fujian,Nanping,Yanping,Fujian-Nanping
483381,江南第一城F组团,南平,延平,延平城区,,高层,李侗路187号,118.2029605,26.62494108,,,,0,公寓住宅,民用,7.0,12,0.0,10019.0,Fujian,Nanping,Yanping,Fujian-Nanping
483380,玉屏桥小区,南平,延平,延平城区,,高层,闽江路,118.17768,26.64303479,,,,0,公寓住宅,民用,7.8,12,0.0,10000.0,Fujian,Nanping,Yanping,Fujian-Nanping
483393,绿晶楼,南平,延平,延平城区,,小高层|高层|超高层,里丹巷11号,118.1665764,26.62798985,,,,0,公寓住宅,民用,7.5,12,0.0,8714.0,Fujian,Nanping,Yanping,Fujian-Nanping
483406,闽东大厦,南平,延平,延平城区,,高层,马坑路1号,118.1702846,26.63300695,,,,0,公寓住宅,民用,8.1,12,0.0,8201.0,Fujian,Nanping,Yanping,Fujian-Nanping
483397,杨真路121号住宅楼,南平,延平,延平城区,,小高层,杨真路121号,118.1629812,26.63776677,,,,0,公寓住宅,民用,8.0,12,0.0,6000.0,Fujian,Nanping,Yanping,Fujian-Nanping
483428,毛巾厂宿舍,南平,延平,延平城区,,小高层,工业路69号,118.1855435,26.64844428,,,,0,公寓住宅,民用,7.6,12,,,Fujian,Nanping,Yanping,Fujian-Nanping
483427,八一路503号小区,南平,延平,延平城区,,小高层|高层|超高层,八一路503号,118.1755695,26.64306791,,,,0,公寓住宅,民用,8.1,12,0.0,7347.0,Fujian,Nanping,Yanping,Fujian-Nanping
483425,裕华大厦,南平,延平,延平城区,,高层,建设路,118.1727296,26.64788716,,,,0,公寓住宅,民用,7.8,12,0.0,7200.0,Fujian,Nanping,Yanping,Fujian-Nanping
483424,马坑路36号小区,南平,延平,延平城区,,高层,马坑路36号,118.1700887,26.63361797,,,,0,公寓住宅,民用,8.1,12,0.0,8924.0,Fujian,Nanping,Yanping,Fujian-Nanping
483423,水南街450号小区,南平,延平,延平城区,,小高层,水南街450号,118.1746922,26.62902869,,,,0,公寓住宅,民用,8.1,12,0.0,7682.0,Fujian,Nanping,Yanping,Fujian-Nanping
483422,梅峰路160号小区,南平,延平,延平城区,,高层,梅峰路160号,118.175067,26.64900873,,,,0,公寓住宅,民用,7.7,12,0.0,6896.0,Fujian,Nanping,Yanping,Fujian-Nanping
483421,电大绿竹岭,南平,延平,延平城区,,多层,绿竹岭6号,118.1776192,26.64616593,,,,0,公寓住宅,民用,7.6,12,0.0,6166.0,Fujian,Nanping,Yanping,Fujian-Nanping
483419,八一路101号小区,南平,延平,延平城区,,小高层|高层|超高层,八一路101号,118.1710965,26.6373224,,,,0,公寓住宅,民用,8.4,12,0.0,7627.0,Fujian,Nanping,Yanping,Fujian-Nanping
483417,八一路352号小区,南平,延平,延平城区,,小高层,八一路352号,118.1742627,26.64560293,,,,0,公寓住宅,民用,7.8,12,0.0,7500.0,Fujian,Nanping,Yanping,Fujian-Nanping
483416,文体路194号小区,南平,延平,延平城区,,小高层,文体路194号,118.1688858,26.64406529,,,,0,公寓住宅,民用,7.9,12,0.0,7200.0,Fujian,Nanping,Yanping,Fujian-Nanping
483415,国税宿舍,南平,延平,延平城区,,小高层|高层|超高层,人民路59号,118.1717714,26.63968846,,,,0,公寓住宅,民用,8.2,12,0.0,9561.0,Fujian,Nanping,Yanping,Fujian-Nanping
483414,开元滨江阳光,南平,延平,延平城区,,小高层|高层|超高层,莲花山路18号,118.1670813,26.66746504,,40.0,760000.0,582,公寓住宅,民用,7.7,12,0.0,7293.0,Fujian,Nanping,Yanping,Fujian-Nanping
483396,水东中心广场,南平,延平,延平城区,,小高层,东溪路,118.1795149,26.65409526,,,,0,公寓住宅,民用,7.2,12,0.0,8103.0,Fujian,Nanping,Yanping,Fujian-Nanping
483413,南平人民医院宿舍楼,南平,延平,延平城区,,小高层,紫云岗18号,118.175354,26.64226907,,,,0,公寓住宅,民用,8.2,12,0.0,8351.0,Fujian,Nanping,Yanping,Fujian-Nanping
483411,交警楼生活区,南平,延平,延平城区,,小高层,横排路18号,118.1721459,26.62540782,,,,0,公寓住宅,民用,7.5,12,0.0,6185.0,Fujian,Nanping,Yanping,Fujian-Nanping
483410,电大宿舍,南平,延平,延平城区,,小高层,八一路290号,118.1730685,26.64255115,,,,0,公寓住宅,民用,8.0,12,0.0,9500.0,Fujian,Nanping,Yanping,Fujian-Nanping
483409,区政府宿舍,南平,延平,延平城区,,小高层,大同里97号,118.1750024,26.6408563,,,,0,公寓住宅,民用,7.7,12,0.0,6500.0,Fujian,Nanping,Yanping,Fujian-Nanping
483408,马坑路60号小区,南平,延平,延平城区,,高层,马坑路60号,118.16986,26.63482641,,,,0,公寓住宅,民用,8.0,12,0.0,8550.0,Fujian,Nanping,Yanping,Fujian-Nanping
483369,大同里65号小区,南平,延平,延平城区,,小高层|高层|超高层,大同里65号,118.1752497,26.64014895,,,,0,公寓住宅,民用,8.3,12,0.0,9402.0,Fujian,Nanping,Yanping,Fujian-Nanping
483405,财政局宿舍,南平,延平,延平城区,,小高层,光荣岭4号,118.1722077,26.64476173,,,,0,公寓住宅,民用,8.0,12,0.0,6206.0,Fujian,Nanping,Yanping,Fujian-Nanping
