id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
490612,中天华苑,莆田,城厢,文献路,2013,高层,筱塘北街688号,118.9986243,25.44318549,,20.0,,0,公寓住宅,民用,7.5,12,0.0,15483.0,Fujian,Putian,Chengxiang,Fujian-Putian
490615,龙辉花园,莆田,城厢,文献路,2001,高层,莆阳西路751号,118.9987826,25.42780017,,30.0,,0,公寓住宅,民用,8.2,12,0.0,13391.0,Fujian,Putian,Chengxiang,Fujian-Putian
490547,三盛中梁璞悦风华,莆田,城厢,文献路,,高层,荔华东大道,118.9759197,25.4163644,,30.0,,0,公寓住宅,民用,6.7,12,0.0,14234.0,Fujian,Putian,Chengxiang,Fujian-Putian
490671,三迪国际公馆,莆田,城厢,龙桥,,高层,民心街249号,119.0056915,25.45398362,,30.0,,0,商住楼,商用,7.5,12,0.0,10000.0,Fujian,Putian,Chengxiang,Fujian-Putian
490667,京都壹品,莆田,城厢,龙桥,,高层,东园西路955号,119.0072519,25.45145378,,25.0,,0,公寓住宅,民用,7.4,12,0.0,13380.0,Fujian,Putian,Chengxiang,Fujian-Putian
490911,华港财富港湾,莆田,荔城,正荣财富中心,2015,高层,天妃路1016号,119.019226,25.42558951,,30.57,,0,公寓住宅,民用,8.2,12,0.0,16333.0,Fujian,Putian,Chengxiang,Fujian-Putian
490875,联创国际广场,莆田,荔城,正荣财富中心,2016,高层,"荔园路,近胜利路",119.0103728,25.41667324,,55.0,,10,公寓住宅,民用,8.1,12,0.38,21539.0,Fujian,Putian,Chengxiang,Fujian-Putian
490687,康嘉御景别墅,莆田,城厢,龙桥,,低层,溪南路,119.0080871,25.4599183,,31.1,,0,别墅,民用,7.3,12,0.0,39548.0,Fujian,Putian,Chengxiang,Fujian-Putian
490661,观澜山庄,莆田,城厢,龙桥,,低层,溪南路388号,119.0056578,25.4612099,,35.0,,0,别墅,民用,7.5,12,0.0,43750.0,Fujian,Putian,Chengxiang,Fujian-Putian
490637,恒大御龙天峰,莆田,城厢,龙桥,,高层,下郑街1266号,119.0062448,25.47231721,,48.9,,1012,公寓住宅,民用,7.6,12,0.64,16436.0,Fujian,Putian,Chengxiang,Fujian-Putian
490635,欧氏领秀,莆田,城厢,龙桥,2013,高层,华秀路333号,119.0153298,25.48228161,,39.0,,17,公寓住宅,民用,7.1,12,-0.65,15126.0,Fujian,Putian,Chengxiang,Fujian-Putian
490634,泰安名成,莆田,城厢,龙桥,2019,高层,荔城中大道2555号,119.0070537,25.45702831,,30.2,,2,公寓住宅,民用,8.2,12,-0.21,16598.0,Fujian,Putian,Chengxiang,Fujian-Putian
490632,万辉国际城,莆田,城厢,龙桥,2014,多层|小高层|高层,荔城北大道1999号,119.0124216,25.46972202,,33.05,,24,公寓住宅,民用,7.3,12,-0.36,16454.0,Fujian,Putian,Chengxiang,Fujian-Putian
490631,联发君悦首府,莆田,城厢,龙桥,,高层,君悦街133号,119.0127089,25.47899886,,30.0,,18,公寓住宅,民用,6.9,12,-0.35,16273.0,Fujian,Putian,Chengxiang,Fujian-Putian
490638,兴安名城中央城市广场,莆田,城厢,龙桥,2015,高层,东园西路899号,119.0092403,25.45012715,,35.2,,5,公寓住宅,民用,8.3,12,0.03,17759.0,Fujian,Putian,Chengxiang,Fujian-Putian
490630,恒大御景半岛,莆田,城厢,龙桥,,高层,"溪北路,近荔城北大道",119.0072492,25.46567409,,57.0,,122,公寓住宅,民用,7.7,12,1.03,19310.0,Fujian,Putian,Chengxiang,Fujian-Putian
