id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
508463,毅达大厦,泉州,丰泽,湖心街,2017,小高层,丰泽街378号,118.6109918,24.90408825,2.0,30.0,,90,公寓住宅,民用,8.6,12,0.0,21757.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508460,东方明珠,泉州,丰泽,湖心街,2003,小高层|高层,祥远路183号,118.608441,24.90356881,2.0,30.0,,122,公寓住宅,民用,8.7,12,0.0,20253.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508461,远丰阁,泉州,丰泽,湖心街,1999,小高层,丰泽街508号,118.6091226,24.90462682,2.0,20.0,,78,公寓住宅,民用,8.3,12,0.0,21008.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508453,电信线务局宿舍,泉州,丰泽,湖心街,1998,多层|小高层,东凤路119号,118.6103097,24.91031497,2.0,20.0,,98,公寓住宅,民用,8.3,12,0.0,13890.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508454,美湖楼,泉州,丰泽,湖心街,2000,多层|小高层,湖心街104号,118.611917,24.90796644,2.0,30.0,,84,公寓住宅,民用,8.0,12,0.0,15983.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508455,卫检宿舍,泉州,丰泽,湖心街,1998,多层,东凤路115号,118.6107216,24.90989663,2.0,20.0,,30,公寓住宅,民用,7.9,12,-6.97,14610.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508456,福邸仁居,泉州,丰泽,湖心街,2010,多层|小高层,丰泽街200号,118.61406,24.90571974,2.0,20.0,,161,公寓住宅,民用,8.2,12,0.0,20806.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508458,观湖楼,泉州,丰泽,湖心街,2000,多层|小高层,湖心街244号,118.6094989,24.90887808,2.0,30.0,,56,公寓住宅,民用,8.3,12,0.0,16400.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508459,湖月楼,泉州,丰泽,湖心街,2000,多层|小高层,湖心街159号,118.6116471,24.90762665,2.0,30.0,,60,公寓住宅,民用,8.2,12,0.0,16883.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508462,倚湖楼,泉州,丰泽,湖心街,2000,小高层,湖心街174号,118.6113154,24.90850467,2.0,30.0,,61,公寓住宅,民用,8.4,12,0.0,16517.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508457,东兴商住楼,泉州,丰泽,湖心街,2004,小高层,圣湖路1号,118.6095044,24.90514286,2.0,20.0,,48,公寓住宅,民用,8.4,12,0.0,19074.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508975,福华苑,泉州,丰泽,津淮街,1998,多层|小高层,泉秀街616号,118.5958652,24.89342659,2.0,20.0,,209,公寓住宅,民用,8.4,12,0.0,19716.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508452,湖心佳苑,泉州,丰泽,湖心街,2004,小高层,东凤路10号,118.6144449,24.90814405,2.0,30.0,,182,公寓住宅,民用,8.0,12,0.0,14691.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508437,盛世天骄,泉州,丰泽,湖心街,2006,小高层,丰泽街20号,118.6145943,24.90454779,2.0,60.0,,576,公寓住宅,民用,8.4,12,0.0,24863.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508438,湖心街东段小区,泉州,丰泽,湖心街,2008,小高层,湖心街164-176号,118.611455,24.90829911,2.0,30.0,,280,公寓住宅,民用,8.3,12,0.0,18956.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508439,优山美地,泉州,丰泽,湖心街,2016,低层|小高层|高层,湖心街2号,118.6162675,24.9063995,2.0,41.0,,256,公寓住宅,民用,8.3,12,-2.18,30956.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508440,建德花园,泉州,丰泽,湖心街,2005,小高层,东凤路200号,118.611057,24.91094694,2.0,30.0,,462,公寓住宅,民用,8.2,12,3.65,24268.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508441,湖心苑,泉州,丰泽,湖心街,2003,多层,东凤路1号,118.6122602,24.90882636,2.0,30.0,,563,公寓住宅,民用,8.5,12,0.0,22000.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508442,加州阳光城,泉州,丰泽,湖心街,1998,高层,刺桐路692号,118.6092132,24.90969264,2.0,20.0,,376,公寓住宅,民用,8.2,12,0.0,23591.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508436,虹景花园,泉州,丰泽,湖心街,2002,小高层,坪山路501号,118.6144464,24.90135454,2.0,20.0,,311,公寓住宅,民用,7.9,12,2.49,15706.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508443,尚园小区,泉州,丰泽,湖心街,2000,小高层,东湖街278号,118.6142032,24.91274626,2.0,30.0,,1108,公寓住宅,民用,7.8,12,3.53,15611.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508445,湖滨楼,泉州,丰泽,湖心街,2000,多层|小高层,湖心街89号,118.613857,24.90655467,2.0,20.0,,130,公寓住宅,民用,7.9,12,0.0,21904.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508446,群星广场,泉州,丰泽,湖心街,2003,高层,丰冠路61号,118.612638,24.90279575,2.0,18.0,,276,公寓住宅,民用,8.3,12,1.46,22381.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508447,凯祥大厦,泉州,丰泽,湖心街,2003,高层,丰泽街336号,118.6116536,24.90392841,2.0,30.0,,384,公寓住宅,民用,8.4,12,-0.66,23222.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508448,阿波罗公寓,泉州,丰泽,湖心街,2001,超高层,东湖街301号,118.6133016,24.91196445,2.0,10.0,,276,公寓住宅,民用,7.9,12,0.0,13613.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508449,兴淮花苑,泉州,丰泽,湖心街,2004,小高层,祥远路171号,118.6084612,24.90281988,2.0,30.0,,240,公寓住宅,民用,8.5,12,-1.47,25433.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508450,宏毅刺桐华庭,泉州,丰泽,湖心街,2005,高层,刺桐路598号,118.6080308,24.90670945,2.0,30.0,,199,公寓住宅,民用,8.7,12,0.0,22981.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508968,刺桐豪园,泉州,丰泽,津淮街,2008,高层,北淮路6号,118.6026933,24.90071252,2.0,23.0,,180,公寓住宅,民用,8.8,12,0.0,27769.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508976,金帝文化广场,泉州,丰泽,津淮街,2004,小高层,福田路161号,118.598554,24.89877848,2.0,30.0,,137,公寓住宅,民用,8.9,12,0.0,23400.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
508435,国际星城,泉州,丰泽,湖心街,2003,多层|小高层,刺桐路636号,118.609358,24.90757028,2.0,35.0,,1082,公寓住宅,民用,8.5,12,0.98,30328.0,Fujian,Quanzhou,Fengze,Fujian-Quanzhou
