id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
764289,金城湾花园,厦门,海沧,嵩屿码头,2014,超高层,嵩屿南二里101-103号,118.0315876,24.4544389,2.0,40.0,,662,公寓住宅,民用,7.7,12,-0.65,29232.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
761834,盛元广场,厦门,海沧,马青路,Aug-16,高层,"马青路1015,1017号",117.99376,24.4927765,2.0,40.0,,0,商住楼,商用,6.6,12,0.0,16400.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
764290,汇景雅苑,厦门,海沧,嵩屿码头,2007,高层,嵩屿南二里261-269号,118.030785,24.45537718,2.0,38.5,,414,公寓住宅,民用,7.7,12,0.0,39025.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
761832,海沧万科城(商住楼),厦门,海沧,马青路,2017,多层,霞光东里320-321号,118.0255513,24.53377038,,38.0,,530,商住楼,商用,6.4,12,0.0,19200.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
764292,未来海岸系凌波,厦门,海沧,嵩屿码头,2007,小高层,嵩屿南一里194-229号,118.0325229,24.45657444,2.0,40.0,142000.0,224,公寓住宅,民用,7.6,12,0.0,39704.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
764295,海岸明珠,厦门,海沧,嵩屿码头,2007,多层|高层,嵩屿南二里272-278号,118.0327305,24.45439953,2.0,30.0,18332.0,152,公寓住宅,民用,7.5,12,0.0,27762.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
764293,泉舜星园美第,厦门,海沧,嵩屿码头,2005,小高层,"嵩屿南二里52,58,60-69号",118.0299218,24.4544257,2.0,35.0,28000.0,278,公寓住宅,民用,7.3,12,1.59,29991.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
764294,京口岩居住小区(一期),厦门,海沧,嵩屿码头,2007,多层,"京口里38-57号,222-231号",118.0274706,24.45775326,2.0,30.0,,1479,公寓住宅,民用,7.3,12,-0.23,29489.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
761833,马銮湾生活广场,厦门,海沧,马青路,Oct-17,高层,新阳北路1668号,118.0057796,24.53296285,2.0,35.0,102000.0,1630,商住楼,商用,7.0,12,0.0,16200.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
764291,汇景佳园,厦门,海沧,嵩屿码头,2005,高层,嵩屿路98-100号,118.0336028,24.45668661,2.0,30.0,,144,公寓住宅,民用,7.6,12,0.0,38963.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
761827,阳云公寓,厦门,海沧,马青路,2000,小高层,霞阳西路29号,118.0130315,24.53419793,,30.0,,0,公寓住宅,民用,6.7,12,0.0,15937.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
761814,海沧万科城(二期),厦门,海沧,马青路,2017,多层|小高层|超高层,霞光东里21-65号,118.026415,24.53246901,2.0,38.0,,956,公寓住宅,民用,7.9,12,-1.14,28784.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
761825,海西轻公寓,厦门,海沧,马青路,Dec-17,高层,孚莲一里101-106号,117.9572219,24.53037014,2.0,15.0,93264.0,1649,商住楼,商用,7.1,12,-15.43,13001.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
761813,海沧万科城(一期),厦门,海沧,马青路,2017,多层|高层,霞光东里1-20号,118.0242439,24.53240245,2.0,38.0,510000.0,1319,公寓住宅,民用,7.8,12,-0.45,28510.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
762841,海投自贸城,厦门,海沧,未来海岸片区,Dec-20,小高层|高层,慈济一里149-159号,117.9809755,24.47838888,,35.0,50200.0,588,公寓住宅,民用,7.7,12,0.0,27578.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
762842,未来海岸碧海湾,厦门,海沧,未来海岸片区,2005,低层,嵩屿北三里1-59号,118.0316686,24.46586167,1.0,33.98,,59,别墅,民用,7.1,12,0.0,69938.0,Fujian,Xiamen,Haicang,Fujian-Xiamen
