id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
360272,雄关大厦,嘉峪关,长城,富强市场,2016,多层,兰新东路129号,98.27645859,39.79166613,,12.0,8809.0,0,公寓住宅,民用,7.3,12,0.0,2142.0,Gansu,Jiayuguan,,Gansu-Jiayuguan
360271,珏洋小区,嘉峪关,长城,富强市场,,高层,建设西路,98.26297545,39.77889167,,,,0,公寓住宅,民用,7.0,12,0.0,3300.0,Gansu,Jiayuguan,,Gansu-Jiayuguan
360270,中天新华城苑,嘉峪关,长城,富强市场,,高层,雄关东路,98.27108953,39.79902501,,,,0,公寓住宅,民用,7.6,12,0.0,5281.0,Gansu,Jiayuguan,,Gansu-Jiayuguan
360268,东安街区,嘉峪关,长城,富强市场,,多层,迎宾东路,98.29616424,39.78096636,,,,0,公寓住宅,民用,7.7,12,0.0,4333.0,Gansu,Jiayuguan,,Gansu-Jiayuguan
360266,瑞德苑,嘉峪关,长城,富强市场,,高层,迎宾东路1969号,98.30441253,39.78327249,,,,0,公寓住宅,民用,7.5,12,3.4,4919.0,Gansu,Jiayuguan,,Gansu-Jiayuguan
360273,建新小区,嘉峪关,建设,建设路市场,,高层,五一路,98.28610818,39.77993511,,,,0,公寓住宅,民用,7.5,12,0.0,5886.0,Gansu,Jiayuguan,,Gansu-Jiayuguan
360269,文苑小区,嘉峪关,长城,富强市场,,高层,五一中路,98.27917773,39.79680154,,,,0,公寓住宅,民用,6.8,12,0.0,4594.0,Gansu,Jiayuguan,,Gansu-Jiayuguan
360274,安环南小区,嘉峪关,建设,建设路市场,,多层,五一街区100号,98.27981463,39.79328213,,,,0,公寓住宅,民用,7.4,12,-1.35,4608.0,Gansu,Jiayuguan,,Gansu-Jiayuguan
360282,迎宾二小区,嘉峪关,前进,天昊商贸中心,,高层,迎宾西路,98.26520559,39.76599186,,,,0,公寓住宅,民用,7.3,12,0.0,3000.0,Gansu,Jiayuguan,,Gansu-Jiayuguan
360276,同乐小区,嘉峪关,建设,建设路市场,,多层,建设路,98.2883601,39.78581662,,,,0,公寓住宅,民用,7.1,12,0.0,4890.0,Gansu,Jiayuguan,,Gansu-Jiayuguan
