id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
384358,新安雅居,兰州,安宁,安宁高新区,2010,多层|小高层,万新南路209号,103.7078706,36.09979385,1.0,35.0,,128,公寓住宅,民用,7.8,12,0.0,10000.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384359,安宁粮食局家属院,兰州,安宁,安宁高新区,2006,小高层,银滩路210-236号,103.7099671,36.09883069,2.0,15.0,,204,公寓住宅,民用,7.6,12,0.0,10963.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384360,刘家峡水电厂兰州生活小区,兰州,安宁,安宁高新区,2004,小高层,银安路319-387号,103.7132577,36.0988652,1.0,50.0,,709,公寓住宅,民用,8.0,12,0.0,11437.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384361,隆德佳苑,兰州,安宁,安宁高新区,2009,多层|小高层,建宁西路88号,103.7072125,36.1017472,1.0,15.0,,360,公寓住宅,民用,7.6,12,0.19,9636.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384362,乾昌水榭华庭,兰州,安宁,安宁高新区,2008,高层,安宁西路153号,103.7082695,36.1045929,1.0,45.0,,696,公寓住宅,民用,7.8,12,0.0,13206.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384363,八盘峡电力小区,兰州,安宁,安宁高新区,2005,小高层,银滩路259-299号,103.7101265,36.10143009,1.0,35.0,,312,公寓住宅,民用,7.8,12,0.0,10260.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384364,桃海农机公司家属院,兰州,安宁,安宁高新区,2006,小高层,银滩路423号,103.7066137,36.10522374,1.0,30.0,,824,公寓住宅,民用,7.5,12,0.0,8289.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384365,兰空医院家属院,兰州,安宁,安宁高新区,1998,多层,安宁东路,103.7354278,36.10091863,1.0,12.0,,340,公寓住宅,民用,7.3,12,0.0,15371.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384367,兰州国资物业第三佳园,兰州,安宁,安宁高新区,2000,小高层,长新路20号,103.7278987,36.10940418,1.0,30.0,,1548,公寓住宅,民用,7.4,12,0.0,9566.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384368,桃花苑,兰州,安宁,安宁高新区,2008,多层|小高层,"建宁西路,银安路549号",103.7059735,36.10098393,1.0,18.0,,590,公寓住宅,民用,8.0,12,0.0,9574.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384369,蔬菜公司家属院(安宁),兰州,安宁,安宁高新区,2004,小高层,万新路74号,103.7122215,36.10742055,1.0,30.0,,393,公寓住宅,民用,7.7,12,0.0,11052.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384370,万里机电厂家属院西区,兰州,安宁,安宁高新区,1995,多层|小高层,万里西村1-178号,103.712703,36.11188939,1.0,15.0,,1056,公寓住宅,民用,,12,0.0,8500.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384371,文鑫时代星空,兰州,安宁,安宁高新区,2021,超高层,孔家崖路,103.7130821,36.09624254,,30.0,,0,公寓住宅,民用,7.3,12,0.0,13507.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384373,安宁西路578-588号居民楼,兰州,安宁,安宁高新区,1980,多层,安宁西路578-588号,103.7117924,36.10519726,,20.0,,144,公寓住宅,民用,6.9,12,0.0,9000.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384374,农机小区,兰州,安宁,安宁高新区,1980,多层,安宁西路,103.7067923,36.10533537,,20.0,,108,公寓住宅,民用,7.1,12,0.0,10754.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384336,安宁交警队家属院,兰州,安宁,交大,2000,小高层,安宁西路95号,103.7250094,36.11027138,1.0,30.0,,224,公寓住宅,民用,7.4,12,0.0,9310.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384335,西北师大实验中学住宅楼,兰州,安宁,交大,1998,高层,师大街,103.7349646,36.10389475,,20.0,,248,公寓住宅,民用,6.8,12,0.0,11000.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384366,兰州飞控仪器总厂家属院(中区),兰州,安宁,安宁高新区,1998,多层|小高层,安宁西路,103.7096077,36.1066161,,20.0,,4498,公寓住宅,民用,6.9,12,-1.12,8948.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384357,西固热电三区,兰州,安宁,安宁高新区,2001,小高层,建宁东路,103.711943,36.09940883,1.0,15.0,,1691,公寓住宅,民用,7.5,12,0.05,9820.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384342,科教城东苑(安宁),兰州,安宁,安宁高新区,2005,多层|高层,宝石花路,103.7245834,36.09927528,1.0,42.0,,1450,公寓住宅,民用,7.7,12,-0.04,12251.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384343,长风新村,兰州,安宁,安宁高新区,2011,多层,安宁西路718号,103.7000073,36.11105755,1.0,23.0,,713,公寓住宅,民用,7.4,12,0.0,9841.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384341,安新居,兰州,安宁,交大,2003,多层|小高层,长新路19号,103.7300576,36.10873807,2.0,15.0,,288,公寓住宅,民用,6.7,12,0.0,7333.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384340,甘肃政法学院家属院,兰州,安宁,交大,1996,多层|小高层,长新路1-39号,103.7278683,36.10368262,2.0,20.0,,288,公寓住宅,民用,7.1,12,0.0,8974.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384339,培黎广场经济适用房,兰州,安宁,交大,2001,小高层,安宁东路,103.7391884,36.10480477,2.0,15.0,,930,公寓住宅,民用,7.0,12,0.0,12222.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384338,白龙江干休所家属院,兰州,安宁,交大,2002,多层,安宁西路14号,103.7262219,36.1026684,1.0,30.0,,476,公寓住宅,民用,7.3,12,0.0,10713.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384344,众邦金水湾2号院,兰州,安宁,安宁高新区,2014,超高层,建宁东路,103.7157059,36.09984444,1.0,30.0,,381,公寓住宅,民用,7.9,12,0.03,12852.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384345,兴兰阳光里,兰州,安宁,安宁高新区,2014,高层,孔家崖402-428号,103.7114189,36.09725384,1.0,38.4,,751,公寓住宅,民用,7.9,12,-0.09,11313.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384346,新康花园,兰州,安宁,安宁高新区,2015,多层|高层,建宁西路118号,103.7061543,36.10230511,2.0,37.0,,1466,公寓住宅,民用,7.8,12,0.16,12484.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384347,众邦金水湾1号院,兰州,安宁,安宁高新区,2010,超高层,万新南路30-2号,103.7102902,36.09482281,,43.0,252630.0,461,公寓住宅,民用,8.0,12,-0.21,10146.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384356,刘家峡电厂住宅二区,兰州,安宁,安宁高新区,2016,多层|高层,建宁西路,103.70821,36.10142233,1.0,30.0,,138,公寓住宅,民用,7.9,12,0.0,10739.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384348,长风东苑小区,兰州,安宁,安宁高新区,2006,多层|小高层|高层,长风新村1-147号,103.703078,36.1088438,2.0,10.0,,5112,公寓住宅,民用,7.3,12,-0.09,9937.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384350,明居印象江南,兰州,安宁,安宁高新区,2004,高层,万新南路208号,103.7101463,36.09749783,,30.0,,537,公寓住宅,民用,7.6,12,0.0,11709.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384337,兰天公寓,兰州,安宁,交大,2005,高层,水挂庄19号,103.7278204,36.0988192,1.0,30.0,,1026,公寓住宅,民用,7.4,12,0.0,11300.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384334,培校家属院,兰州,安宁,交大,2003,多层,安宁东路572-636号,103.731705,36.10168521,,30.0,,515,公寓住宅,民用,7.1,12,0.0,9700.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384351,天佑家园,兰州,安宁,安宁高新区,2013,多层,枣林路,103.6977504,36.11655703,1.0,30.0,,0,公寓住宅,民用,7.3,12,0.0,12454.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384352,鸿庆苑,兰州,安宁,安宁高新区,2018,高层,银安路305号,103.7143773,36.09959797,1.0,30.0,,1320,公寓住宅,民用,8.1,12,0.0,11340.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384353,平安地尚宁庄,兰州,安宁,安宁高新区,2015,超高层,建安西路,103.6991725,36.11706818,1.0,30.0,,1290,公寓住宅,民用,7.8,12,0.0,13125.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384354,刘家堡街道康居小区,兰州,安宁,安宁高新区,2008,小高层,莫高大道,103.6881785,36.10654988,1.0,30.0,,2256,公寓住宅,民用,7.4,12,0.0,9032.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384355,金华苑(安宁),兰州,安宁,安宁高新区,2010,小高层|超高层,桃林路,103.6942243,36.11733406,2.0,15.0,,3638,公寓住宅,民用,7.1,12,-0.49,9205.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384349,甘肃火电工程公司安宁小区,兰州,安宁,安宁高新区,1998,多层|小高层,银安路110号,103.7122521,36.10059693,1.0,20.0,,914,公寓住宅,民用,7.7,12,0.0,12893.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384333,培黎小学家属院,兰州,安宁,交大,2003,多层,培黎小学家属院,103.7377307,36.10223573,,30.0,,36,公寓住宅,民用,6.8,12,0.0,11000.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384162,万新南路323-325号院,兰州,安宁,费家营什字,2003,多层,万新南路323-325号,103.7088862,36.09661922,,30.0,,28,公寓住宅,民用,7.6,12,0.0,14197.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384331,甘肃政治学院家属院,兰州,安宁,交大,1998,多层,长新路1-29号,103.7282956,36.10386651,,20.0,,229,公寓住宅,民用,6.8,12,0.0,9000.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384248,兰州工程机械修理厂家属院,兰州,安宁,培黎广场,2008,多层|小高层,安宁东路,103.7480105,36.09721397,2.0,30.0,,176,公寓住宅,民用,6.9,12,0.0,8463.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
384316,东兴佳苑住宅小区,兰州,安宁,交大,2020,高层,北环路,103.7241448,36.1143092,1.0,30.0,,2380,公寓住宅,民用,7.5,12,0.12,7033.0,Gansu,Lanzhou,Anning,Gansu-Lanzhou
