id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
894826,宝迪花园,张掖,甘州,中心广场,,多层,税亭街,100.4579702,38.9403806,,,,0,公寓住宅,民用,8.0,12,-0.64,3066.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894834,长安府第小区,张掖,甘州,中心广场,,高层,西三环路,100.4051503,38.93357809,,,,0,公寓住宅,民用,7.0,12,0.46,3128.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894833,世纪宝源,张掖,甘州,中心广场,,多层,张党路,100.4650786,38.91717833,,,,0,公寓住宅,民用,7.6,12,0.0,3666.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894832,金沙苑菱香苑,张掖,甘州,中心广场,,多层,金沙源,100.4730464,38.92853554,,,,0,公寓住宅,民用,7.4,12,-2.73,3231.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894831,绿洲家园,张掖,甘州,中心广场,,多层,民乐路16号,100.4241622,38.93204505,,23.0,95000.0,400,公寓住宅,民用,7.9,12,-0.6,4441.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894830,财智世家,张掖,甘州,中心广场,,高层,饮马桥西路,100.4377763,38.91934388,,,,0,公寓住宅,民用,8.0,12,-1.32,3763.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894835,新港城居住小区(三期),张掖,甘州,中心广场,,高层,昭武路,100.4181314,38.93272613,,,,0,公寓住宅,民用,7.3,12,0.0,4421.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894829,安兴小区,张掖,甘州,中心广场,,多层,欧市街,100.4470787,38.94199524,,,,0,公寓住宅,民用,8.2,12,0.0,2741.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894828,北兴家园,张掖,甘州,中心广场,,高层,张板公路160号,100.4537616,38.95511753,,,,0,公寓住宅,民用,7.1,12,0.0,4000.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894827,祥和园,张掖,甘州,中心广场,,小高层,南二环路1306号,100.4398984,38.91480911,,,,0,公寓住宅,民用,7.0,12,0.0,3331.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894825,景福宁园,张掖,甘州,中心广场,,高层,213省道,100.4284171,38.92626596,,,,0,公寓住宅,民用,7.3,12,0.0,3583.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894900,大衙门街49号小区,张掖,甘州,中心广场,,多层,大衙门街49号,100.451618,38.93829215,,,,0,公寓住宅,民用,8.1,12,0.0,3010.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894823,水勘院,张掖,甘州,中心广场,,多层,张火公路203号,100.4797281,38.94514125,,,,0,公寓住宅,民用,7.4,12,0.0,2173.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894822,农垦曦华源,张掖,甘州,中心广场,,高层,西环路108号,100.4364068,38.94483878,,37.0,,0,公寓住宅,民用,7.9,12,0.0,4309.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894902,怡锦源小区,张掖,甘州,中心广场,,高层,南大街208号,100.4575196,38.93199436,,,,0,公寓住宅,民用,8.3,12,0.0,5863.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894901,旭昇佳苑,张掖,甘州,中心广场,,小高层,马神庙街,100.4646337,38.93764421,,,,0,公寓住宅,民用,7.8,12,0.0,4757.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894899,水泥厂家属楼,张掖,甘州,中心广场,,多层,东沙湾巷98号,100.462852,38.92976423,,,,0,公寓住宅,民用,8.1,12,0.0,3216.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894898,鼎和帝都,张掖,甘州,中心广场,,高层,县府南街218号,100.4526151,38.92479699,,,,0,公寓住宅,民用,7.8,12,0.0,3350.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894897,华谊名苑,张掖,甘州,中心广场,2009,多层,西环路,100.4442206,38.93305795,,,,0,公寓住宅,民用,8.9,12,0.0,3804.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894774,华大丰泽园,张掖,甘州,中心广场,,高层,南环路,100.4434608,38.92342673,,,110000.0,1000,公寓住宅,民用,7.6,12,0.0,3744.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894775,畅春润苑,张掖,甘州,中心广场,,高层,临泽北路,100.41985,38.9283607,,,,0,公寓住宅,民用,7.4,12,0.0,4105.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894776,西景苑,张掖,甘州,中心广场,,多层,北水桥街,100.4425988,38.93964894,,,,0,公寓住宅,民用,8.0,12,2.51,3568.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894824,欧式街B区住宅楼,张掖,甘州,中心广场,,多层,欧式街,100.4471566,38.94084718,,,,0,公寓住宅,民用,8.3,12,0.0,3055.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894836,崇文丽景B区,张掖,甘州,中心广场,,高层,肃南南路,100.4059774,38.92883149,,,,0,公寓住宅,民用,6.5,12,4.13,3931.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894838,天成金街,张掖,甘州,中心广场,,高层,南大街112号,100.457525,38.92767256,,,,0,公寓住宅,民用,8.1,12,0.0,4460.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894839,丽景名苑,张掖,甘州,中心广场,,高层,饮马桥西路,100.4425157,38.91884107,,,,0,公寓住宅,民用,7.4,12,-24.02,2471.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894773,名门首府,张掖,甘州,中心广场,,高层,杏林南街,100.4376198,38.92842188,,,176000.0,1106,公寓住宅,民用,8.0,12,-0.89,4741.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894772,亲水港湾,张掖,甘州,中心广场,2014,高层,北环路350号,100.4571209,38.94545816,,40.5,,0,公寓住宅,民用,8.0,12,-3.64,3837.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894777,金盛苑,张掖,甘州,中心广场,,多层,北环路12号,100.4716573,38.94623417,,,,0,公寓住宅,民用,7.0,12,-1.18,3738.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894771,嘉和苑,张掖,甘州,中心广场,,高层,临泽北路,100.4196291,38.94556683,,,,0,公寓住宅,民用,7.2,12,-0.43,4475.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894770,丹马时代,张掖,甘州,中心广场,,多层,张坂公路,100.4470535,38.95541044,,,,0,公寓住宅,民用,6.9,12,0.28,3321.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894769,瑞祥花苑,张掖,甘州,中心广场,,多层,玉关路392号,100.4357407,38.93348337,,,,0,公寓住宅,民用,7.9,12,2.9,3942.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894767,东方明珠,张掖,甘州,中心广场,,多层,仁宗路623号,100.4648986,38.95080086,,,,0,公寓住宅,民用,7.3,12,0.97,4015.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894766,恒基万和广场,张掖,甘州,中心广场,,高层,甘泉西街,100.4124579,38.93519663,,,,0,公寓住宅,民用,7.4,12,1.12,3565.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894765,泰安嘉园,张掖,甘州,中心广场,,多层,075专用道,100.4445116,38.91864017,,,,0,公寓住宅,民用,7.6,12,0.0,4011.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894764,馨隆熙苑,张掖,甘州,中心广场,,多层,张肃公路,100.4256696,38.92530906,,,,0,公寓住宅,民用,7.3,12,0.4,3647.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894763,肃南裕苑,张掖,甘州,中心广场,,多层,西三环路,100.40047,38.94645839,,,,0,公寓住宅,民用,6.9,12,-5.37,3508.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894762,天薇红垣,张掖,甘州,中心广场,,高层,昭武路,100.4295306,38.94092889,,,,0,公寓住宅,民用,7.6,12,-4.73,4981.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894761,新城御府,张掖,甘州,中心广场,,多层,甘州西街,100.42503,38.93680802,,,,0,公寓住宅,民用,7.5,12,-0.24,3684.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894837,博金御湖湾,张掖,甘州,中心广场,,多层,仁宗路737号,100.4618143,38.95421604,,,,0,公寓住宅,民用,7.5,12,0.0,3980.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894760,爱琴海城市花园,张掖,甘州,中心广场,,高层,发展大道,100.4287952,38.94059439,,,,0,公寓住宅,民用,7.5,12,0.21,4494.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894758,北辰丽家,张掖,甘州,中心广场,,高层,北环路185号,100.4578393,38.94336887,,,,0,公寓住宅,民用,7.7,12,-0.86,3802.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894757,盛世锦园,张掖,甘州,中心广场,2016,高层,二环路,100.4362718,38.91901429,,34.0,100000.0,704,公寓住宅,民用,8.0,12,-2.11,3723.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894756,张掖碧桂园,张掖,甘州,中心广场,,高层,滨河大道,100.4266662,38.96482888,,,,0,公寓住宅,民用,6.8,12,0.0,8846.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894755,中恒西关海,张掖,甘州,中心广场,,多层,昭武东路,100.4232859,38.94125783,,,,0,公寓住宅,民用,7.5,12,3.23,4818.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894754,御景东方,张掖,甘州,中心广场,,高层,长沙门路,100.4788561,38.92779423,,45.0,240000.0,1068,公寓住宅,民用,7.8,12,0.34,3002.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
894816,天苑丽居,张掖,甘州,中心广场,,高层,张罗公路,100.4465571,38.95158934,,,,0,公寓住宅,民用,7.4,12,0.0,5050.0,Gansu,Zhangye,Ganzhou,Gansu-Zhangye
