id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
132314,信南花园,潮州,湘桥,潮枫路,2014,小高层,南较路3号,116.638406,23.65964818,,30.0,7100.0,0,公寓住宅,民用,8.3,12,0.0,6060.0,Guangdong,Chaozhou,Xiangqiao,Guangdong-Chaozhou
132422,金阳东晖家园,潮州,湘桥,潮枫路,2016,小高层,"外环北路,近潮州大道",116.5993229,23.68676205,,30.0,27000.0,0,公寓住宅,民用,7.2,12,0.0,6759.0,Guangdong,Chaozhou,Xiangqiao,Guangdong-Chaozhou
132420,时代大厦,潮州,湘桥,潮枫路,2008,小高层,绿榕北路957号,116.6102368,23.67096341,,30.0,24650.0,0,公寓住宅,民用,7.6,12,0.0,3775.0,Guangdong,Chaozhou,Xiangqiao,Guangdong-Chaozhou
132415,东方之都,潮州,湘桥,潮枫路,2016,高层,意东三路,116.6550587,23.70036827,,30.0,104400.0,780,公寓住宅,民用,7.3,12,0.0,4020.0,Guangdong,Chaozhou,Xiangqiao,Guangdong-Chaozhou
132435,金叶花园,潮州,湘桥,潮枫路,1999,多层,吉春路,116.625915,23.65993706,,10.0,,0,公寓住宅,民用,8.3,12,0.0,4943.0,Guangdong,Chaozhou,Xiangqiao,Guangdong-Chaozhou
132448,腾瑞柏嘉名庭,潮州,湘桥,潮枫路,2012,多层,枫春南路39号,116.6308059,23.65554116,,27.0,80000.0,400,公寓住宅,民用,8.0,12,0.0,11481.0,Guangdong,Chaozhou,Xiangqiao,Guangdong-Chaozhou
132414,智慧大厦,潮州,湘桥,潮枫路,2017,小高层,"兰花四街,近春荣路",116.6293699,23.68041779,,30.0,19708.0,3000,公寓住宅,民用,7.7,12,0.0,3789.0,Guangdong,Chaozhou,Xiangqiao,Guangdong-Chaozhou
132193,怡景居,潮州,湘桥,潮枫路,1997,小高层,潮州大道68号,116.6136291,23.66457351,,28.0,,0,公寓住宅,民用,7.7,12,0.0,7777.0,Guangdong,Chaozhou,Xiangqiao,Guangdong-Chaozhou
132186,金丽花园,潮州,湘桥,潮枫路,2000,多层,南较路231号,116.6343291,23.65383966,,35.0,,0,公寓住宅,民用,7.9,12,6.38,6206.0,Guangdong,Chaozhou,Xiangqiao,Guangdong-Chaozhou
132197,朝晖华府,潮州,湘桥,潮枫路,,高层,立信路,116.6089317,23.68168099,,30.0,6579.0,380,公寓住宅,民用,6.8,12,0.0,8410.0,Guangdong,Chaozhou,Xiangqiao,Guangdong-Chaozhou
