id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
309798,阳光波尔登,河源,东源,东源城区,,低层,清平路2号,114.7245432,23.79361252,,40.06,,0,别墅,民用,7.1,12,0.0,8266.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309852,华达国际,河源,东源,东源城区,,高层,广场大道,114.7454676,23.7906904,,36.19,,0,公寓住宅,民用,7.1,12,0.0,5483.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309848,新河湾,河源,东源,东源城区,2019,小高层|高层,河源大道,114.7478898,23.76480798,,26.23,,0,公寓住宅,民用,7.2,12,0.0,6617.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309796,名仕华府,河源,东源,东源城区,,高层,205国道,114.7327426,23.80696316,,32.0,,0,公寓住宅,民用,6.6,12,0.0,6354.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309785,华瑞美苑,河源,东源,东源城区,2017,小高层|高层,"新河大道,近东源大道",114.7306015,23.80020716,,30.0,,0,公寓住宅,民用,7.6,12,-0.03,4611.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309772,康德华府,河源,东源,东源城区,2019,高层,"东源大道,近仙塘大道",114.7406661,23.79773701,,35.0,,0,公寓住宅,民用,7.5,12,-0.05,6333.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309773,霸王花丽江花园,河源,东源,东源城区,,小高层,"新河大道,近东源大道",114.733459,23.7977905,,35.0,,0,公寓住宅,民用,7.5,12,0.0,5593.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309774,万隆丽景,河源,东源,东源城区,2014,小高层|高层,"仙塘大道,近205国道",114.7379777,23.80400582,,35.0,,0,公寓住宅,民用,7.4,12,-0.69,5753.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309775,胜业豪庭,河源,东源,东源城区,2019,高层,"新河大道,东源大道",114.7306104,23.79574265,,30.0,,0,公寓住宅,民用,7.4,12,-2.21,5232.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309776,霸王花月亮湾,河源,东源,东源城区,2015,小高层|高层,"仙塘大道,近东源大道",114.742452,23.79623392,,32.66,,0,公寓住宅,民用,7.6,12,-0.36,5003.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309777,铭成锦上花,河源,东源,东源城区,2018,高层,"仙塘大道,近东源大道",114.7430437,23.80029695,,32.0,,0,公寓住宅,民用,7.7,12,0.53,5677.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309778,怡景茗都,河源,东源,东源城区,,高层,新河大道,114.7270971,23.80210587,,35.0,,0,公寓住宅,民用,7.3,12,0.0,5661.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309779,滨江花园,河源,东源,东源城区,,高层,"仙塘大道,近建设二路",114.7451318,23.79660218,,30.0,,0,公寓住宅,民用,7.5,12,0.0,4612.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309781,誉东方,河源,东源,东源城区,2014,小高层|高层,东环路1号,114.740731,23.76081634,,45.0,,0,公寓住宅,民用,7.1,12,0.0,5523.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309784,东海国际新城,河源,东源,东源城区,2018,高层,河源大道,114.7311867,23.80499953,,45.0,,0,公寓住宅,民用,7.3,12,-0.23,4566.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309786,雍和园,河源,东源,东源城区,2019,高层,205国道,114.733885,23.80611199,,31.0,,0,公寓住宅,民用,7.4,12,-1.61,5170.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309787,锦云颐和花园,河源,东源,东源城区,2018,高层,东源大道,114.7371347,23.79822477,,35.0,,0,公寓住宅,民用,7.7,12,1.09,5068.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309791,星河国际,河源,东源,东源城区,,高层,河源大道北,114.7267416,23.80497866,,34.3,,0,公寓住宅,民用,7.3,12,0.0,4560.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309794,浩创花语城,河源,东源,东源城区,,小高层,新河大道,114.7280136,23.79991531,,35.0,,0,公寓住宅,民用,7.4,12,-0.78,5197.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309771,京华苑,河源,东源,东源城区,2019,高层,仙塘大道,114.7439113,23.79530672,,30.0,,0,公寓住宅,民用,7.4,12,0.43,5563.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309804,逸香花园,河源,东源,东源城区,2015,小高层,河源大道,114.7319309,23.80763844,,46.5,,0,公寓住宅,民用,7.2,12,0.0,5962.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309828,泰兴花园,河源,东源,东源城区,,高层,仙塘大道,114.7406807,23.80010214,,33.25,27167.0,171,公寓住宅,民用,7.3,12,0.0,5504.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309842,盈美花园,河源,东源,东源城区,2018,高层,河源大道,114.7309463,23.81061304,,30.0,,0,公寓住宅,民用,7.2,12,0.0,4267.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309847,润丰天虹,河源,东源,东源城区,2018,高层,河源大道,114.7368406,23.80673151,,30.0,,0,公寓住宅,民用,7.3,12,0.0,5581.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309805,御江龙景湾,河源,东源,东源城区,2018,高层,"沿江西路,近纬十六路",114.7324456,23.78042672,,32.45,,0,公寓住宅,民用,7.4,12,0.0,6513.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309807,胜业苑,河源,东源,东源城区,,小高层,"仙塘大道,近河源大道",114.7377006,23.80559395,,35.0,,0,公寓住宅,民用,6.9,12,0.0,4737.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309810,霸王花东苑,河源,东源,东源城区,2019,高层,"仙塘大道,近205国道",114.7385991,23.80707449,,30.0,,0,公寓住宅,民用,7.6,12,0.0,4583.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309769,霸王花君临苑,河源,东源,东源城区,,高层,"建设一路,近东源大道",114.7352023,23.79250249,,43.29,,0,公寓住宅,民用,7.6,12,-4.29,5347.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309365,锦绣桃源,河源,源城,源城城区,,高层,"205国道,近建新路",114.7241671,23.80432374,,30.0,,0,公寓住宅,民用,6.9,12,0.0,5259.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309754,汇景九里湾,河源,东源,东源城区,,高层,东源大道,114.7486866,23.80278268,,37.0,805503.0,4484,公寓住宅,民用,7.3,12,0.23,5058.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309770,江景湾,河源,东源,东源城区,,高层,"新河大道,近广场大道",114.7369444,23.78603007,,30.0,,0,公寓住宅,民用,7.3,12,0.26,5413.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309757,宝晟城,河源,东源,东源城区,2010,小高层,行政大道12号,114.7395313,23.79089025,,47.0,,0,公寓住宅,民用,8.0,12,-1.69,6485.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309767,桃源国际,河源,东源,东源城区,2019,高层,越王大道,114.7260359,23.78551869,,35.0,,0,公寓住宅,民用,7.9,12,0.58,6164.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309756,深业塞纳湾,河源,东源,东源城区,2015,低层,东源大道1号,114.7319184,23.78951961,,35.0,,0,别墅,民用,7.4,12,-1.63,5996.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309764,万绿春天,河源,东源,东源城区,2015,小高层,越王大道,114.7253413,23.79069701,,45.0,,0,公寓住宅,民用,7.7,12,-0.85,5060.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309763,源江豪庭,河源,东源,东源城区,2015,高层,越王大道,114.7307027,23.78165912,,30.0,,0,公寓住宅,民用,7.4,12,-0.04,6254.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309766,霸王花新城,河源,东源,东源城区,2016,小高层|高层,"东源大道,近仙塘大道",114.7445821,23.79767763,,35.0,,0,公寓住宅,民用,7.6,12,2.96,5537.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309761,理想家园,河源,东源,东源城区,2019,高层,"新河大道,近东源大道",114.7313061,23.79199928,,35.0,,0,公寓住宅,民用,7.8,12,-2.91,7398.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309759,河源美的城,河源,东源,东源城区,,小高层,东环路,114.7580384,23.77468252,,40.8,,0,公寓住宅,民用,7.0,12,0.54,6053.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309758,御江帝景湾,河源,东源,东源城区,2018,高层,"沿江西路,近纬十六路",114.7312482,23.77966069,,32.45,,0,公寓住宅,民用,7.5,12,4.44,6647.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309762,新河中央,河源,东源,东源城区,,超高层,新河大道,114.7300896,23.80359126,,30.0,,0,公寓住宅,民用,7.3,12,-0.19,5707.0,Guangdong,Heyuan,Dongyuan,Guangdong-Heyuan
309327,得嘉花园,河源,源城,源城城区,2019,高层,"永康路,近越王大道",114.716811,23.77185283,,30.0,,0,公寓住宅,民用,8.2,12,0.0,6395.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309367,新河御湖国际,河源,源城,源城城区,2015,高层,长安街东145号,114.7063624,23.75792475,,33.2,,0,公寓住宅,民用,8.0,12,0.0,7394.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309370,金沟湾花园,河源,源城,源城城区,,高层,"站前路,近西一路",114.6757082,23.75359922,,32.0,,0,公寓住宅,民用,7.6,12,0.0,5969.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309372,御和花园,河源,源城,源城城区,2018,小高层|高层,河源大道,114.7205476,23.80299572,,33.0,,0,公寓住宅,民用,7.3,12,0.0,5603.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309377,依云山居,河源,源城,源城城区,2019,小高层|高层,"河源大道,近永康路",114.6952666,23.79121914,,30.0,,0,公寓住宅,民用,7.0,12,0.0,6140.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309390,阳光水岸,河源,源城,源城城区,2016,高层,"新兴路,近南堤路",114.6971336,23.72370811,,30.0,,0,公寓住宅,民用,7.6,12,0.0,7076.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309380,东发佳园,河源,源城,源城城区,,小高层,万绿湖大道,114.6763784,23.7522242,,30.0,,0,公寓住宅,民用,8.0,12,0.0,4934.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309337,雅居乐花园(别墅),河源,源城,源城城区,2018,低层,越王大道247号,114.7137951,23.77941111,,40.0,,0,别墅,民用,8.4,12,2.53,15924.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309336,霸王花水岸,河源,源城,源城城区,2018,小高层|高层,南提路,114.6975513,23.72742554,,42.71,,0,公寓住宅,民用,8.3,12,0.27,5913.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309334,宝莱家园,河源,源城,源城城区,2013,小高层,宝源西路,114.6792612,23.73040751,,30.0,,0,公寓住宅,民用,7.7,12,0.0,5217.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309177,恒大名都,河源,源城,源城城区,2018,多层|高层,永康大道西157号,114.7067655,23.78440161,,35.0,,0,公寓住宅,民用,7.7,12,0.4,7507.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309178,鸿大城,河源,源城,源城城区,2015,小高层|高层,"文昌路,近纬十二路",114.7067391,23.77159806,,36.3,,0,公寓住宅,民用,7.8,12,-1.02,7817.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309179,东江首府,河源,源城,源城城区,,小高层,沿江东路188号,114.7122121,23.7511441,,35.0,,0,公寓住宅,民用,8.1,12,0.16,8893.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309181,华达新城,河源,源城,源城城区,2012,小高层,"永和东路,近越王大道",114.7148576,23.76393438,,37.0,,0,公寓住宅,民用,7.8,12,0.76,8306.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309394,翔龙国际,河源,源城,源城城区,2014,高层,建设大道66号,114.6899067,23.75993037,,25.0,,0,公寓住宅,民用,7.5,12,0.0,8113.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309350,康柏丽景园,河源,源城,源城城区,2014,小高层,康乐路186号,114.6938912,23.77062686,,35.0,,0,公寓住宅,民用,7.6,12,0.0,7945.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309347,君临华府,河源,源城,源城城区,2016,小高层|高层,新华路139号,114.6961133,23.77296351,,38.0,,0,公寓住宅,民用,7.2,12,0.0,8000.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309348,康德名都,河源,源城,源城城区,,高层,新风路北95号,114.6941275,23.76970759,,39.7,,0,公寓住宅,民用,7.4,12,0.0,9541.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309397,翠泽雍园,河源,源城,源城城区,,低层,"永康大道,近文昌路",114.7085427,23.78070407,,35.0,,0,别墅,民用,7.2,12,0.0,9642.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309465,铭辉苑,河源,源城,源城城区,,高层,"永祥路,近越王大道",114.716922,23.76975168,,30.5,,0,公寓住宅,民用,7.2,12,0.0,8459.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309431,威尼斯湾,河源,源城,源城城区,2013,低层,"庄田路,近宝源一路",114.6819762,23.7269232,,68.3,,0,别墅,民用,7.7,12,0.0,9418.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309421,怡景福田,河源,源城,源城城区,2013,小高层,"宝源西路,近罗马大道",114.6790228,23.7307041,,30.0,,0,公寓住宅,民用,7.3,12,0.0,5909.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309183,万隆一品,河源,源城,源城城区,,高层,永和西路169号,114.6922962,23.76705363,,30.5,,0,公寓住宅,民用,8.1,12,-1.53,7748.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309287,万隆公园一号,河源,源城,源城城区,,高层,新风路北28号,114.6959564,23.76764177,,40.0,,0,公寓住宅,民用,7.9,12,0.0,6896.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309284,江泮花城,河源,源城,源城城区,2012,小高层|高层,"江宝一路,近木排头路",114.685986,23.73121839,,60.0,,0,公寓住宅,民用,8.2,12,0.0,6627.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309282,华泰花园,河源,源城,源城城区,,小高层,"新风路,近华达北街",114.6953766,23.77255599,,31.0,,0,公寓住宅,民用,7.2,12,0.0,7444.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309278,阳光名居,河源,源城,源城城区,,高层,河源大道北263号,114.6847428,23.77164313,,33.4,,0,公寓住宅,民用,7.4,12,0.0,6325.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309263,明源新天地,河源,源城,源城城区,2015,小高层,"河源大道,近双下大道",114.6905328,23.71778247,,50.0,,0,公寓住宅,民用,7.5,12,-3.13,5606.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309264,泰和中央公园,河源,源城,源城城区,2014,高层,"永和东路,近越王大道",114.7096651,23.76479355,,31.7,,0,公寓住宅,民用,7.5,12,0.0,8515.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309268,华达财富港,河源,源城,源城城区,,高层,松云路,114.7126824,23.7659182,,30.0,,0,公寓住宅,民用,7.4,12,0.0,9016.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309273,东江湾(别墅),河源,源城,源城城区,2012,低层,永祥路666号,114.7207038,23.76197179,,55.0,,0,别墅,民用,7.8,12,0.0,19709.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309294,嘉福花园,河源,源城,源城城区,,高层,永福西路99号,114.6883639,23.76362839,,40.0,,0,公寓住宅,民用,7.4,12,0.0,6945.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309313,长鸿花园二期御城,河源,源城,源城城区,2010,高层,沿江东路,114.703999,23.74661379,,48.0,,0,公寓住宅,民用,8.1,12,0.0,7283.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309326,汇景御府中央,河源,源城,源城城区,2013,高层,永祥路,114.7126758,23.77141064,,40.0,,0,公寓住宅,民用,7.7,12,0.0,10115.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309320,翰林苑,河源,源城,源城城区,,多层|小高层,永福东路,114.7102405,23.76421091,,25.5,,0,公寓住宅,民用,6.9,12,0.0,7818.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309258,万隆公园壹号,河源,源城,源城城区,2013,高层,新风路北28号,114.6959404,23.76760704,,40.0,101586.0,516,公寓住宅,民用,8.0,12,0.0,5762.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309295,中心壹号教育城,河源,源城,源城城区,2017,高层,华达北街125-11号,114.6883723,23.76791343,,31.0,,0,公寓住宅,民用,8.2,12,0.0,6000.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309298,金发小康花园,河源,源城,源城城区,,小高层,河源大道北229号,114.6842235,23.76900722,,30.0,,0,公寓住宅,民用,7.8,12,0.0,5815.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
309299,鸿润华府,河源,源城,源城城区,2018,高层,永和西路81号,114.6898526,23.76731474,,34.0,,0,公寓住宅,民用,8.1,12,0.0,6163.0,Guangdong,Heyuan,Yuancheng,Guangdong-Heyuan
