id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
434298,乐天海珀御庭,茂名,高州,东方大道,,小高层,乐天大道,110.8252726,21.88992525,,41.7,,1806,公寓住宅,民用,7.3,12,-0.36,4273.0,Guangdong,Maoming,Gaozhou,Guangdong-Maoming
434373,富丽名苑,茂名,高州,东方大道,,高层,茂名大道,110.8486599,21.90087999,2.0,31.0,,338,公寓住宅,民用,7.6,12,0.0,7739.0,Guangdong,Maoming,Gaozhou,Guangdong-Maoming
434154,润景华庭,茂名,高州,潘州公园,,高层,茂名大道,110.845612,21.9035383,,30.0,,224,公寓住宅,民用,7.6,12,0.0,6834.0,Guangdong,Maoming,Gaozhou,Guangdong-Maoming
434142,东方新城,茂名,高州,潘州公园,2015,高层,文笔路三区,110.8597576,21.91918157,2.0,35.2,,3050,公寓住宅,民用,8.2,12,0.58,7289.0,Guangdong,Maoming,Gaozhou,Guangdong-Maoming
434292,金鸿豪景大院,茂名,高州,东方大道,,高层,桂圆路,110.8471377,21.90552785,2.0,37.0,,468,公寓住宅,民用,8.1,12,0.0,6796.0,Guangdong,Maoming,Gaozhou,Guangdong-Maoming
434287,润景新城,茂名,高州,潘州公园,,高层,广场路,110.8473438,21.90888695,,30.0,,442,公寓住宅,民用,7.6,12,0.0,8039.0,Guangdong,Maoming,Gaozhou,Guangdong-Maoming
434246,江湾壹号,茂名,高州,潘州公园,,超高层,沿江西路3号,110.8306449,21.91376672,,30.0,165745.0,966,公寓住宅,民用,7.0,12,0.0,5238.0,Guangdong,Maoming,Gaozhou,Guangdong-Maoming
434444,上品花园,茂名,化州,北岸,2014,高层,207国道,110.6197293,21.66841235,,25.23,,483,公寓住宅,民用,7.2,12,0.0,4396.0,Guangdong,Maoming,Huazhou,Guangdong-Maoming
434467,荔园新天地,茂名,化州,河东,2020,高层,站前路25号,110.6434992,21.65547795,,30.0,310000.0,1929,公寓住宅,民用,7.8,12,0.0,7300.0,Guangdong,Maoming,Huazhou,Guangdong-Maoming
433257,名豪公馆,茂名,茂南,高凉,2017,高层,高凉中路,110.9336576,21.66216476,,13.0,,250,公寓住宅,民用,8.2,12,0.0,7522.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433820,兴和广场,茂名,茂南,开发区,2016,高层,人民南五路88号,110.910168,21.64695901,,30.0,,1092,公寓住宅,民用,7.8,12,0.0,7128.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433842,康盛南苑,茂名,茂南,站南,2015,高层,新福一路28号大院,110.9165653,21.65053619,,35.0,,196,公寓住宅,民用,8.4,12,0.59,8579.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433838,碧桂园翡翠郡,茂名,茂南,站南,2018,高层,西粤南路,110.9428141,21.64506883,,35.0,1.0,1112,公寓住宅,民用,8.1,12,-0.7,8179.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433854,城光世纪城,茂名,茂南,站南,,多层,茂南大道18号,110.9331501,21.63438944,,38.0,,840,公寓住宅,民用,7.2,12,0.4,6997.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433337,康盛南苑,茂名,茂南,人民广场,2015,高层,新福一路28号大院,110.9165653,21.65053619,,35.0,,196,公寓住宅,民用,8.4,12,0.59,8579.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433435,富丽天誉,茂名,茂南,文明路,,高层,站前六路182号,110.9351346,21.64684863,,35.38,,1702,公寓住宅,民用,7.6,12,-0.06,8368.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433437,华海雅居,茂名,茂南,文明路,2017,高层,迎宾三路126号,110.9301999,21.66175092,,36.86,,692,公寓住宅,民用,8.6,12,1.89,10440.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433482,名豪公馆,茂名,茂南,文明路,2017,高层,高凉中路,110.9336576,21.66216476,,13.0,,250,公寓住宅,民用,8.2,12,0.0,7522.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433456,宏御帝景豪庭,茂名,茂南,文明路,2017,超高层,迎宾三路128号,110.929762,21.66129015,,35.0,,547,公寓住宅,民用,8.5,12,1.12,11327.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433933,碧水湾二期,茂名,茂南,河西,,高层,健康南路23号,110.9005317,21.65728479,,35.0,,2002,公寓住宅,民用,7.9,12,-0.87,8079.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433070,碧桂园天悦府,茂名,茂南,文化广场,2017,高层,文明北路,110.927398,21.67957779,,30.0,,937,公寓住宅,民用,7.9,12,-0.95,8431.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433067,东汇城,茂名,茂南,文化广场,,高层,油城十路1号,110.9441374,21.66676029,,35.0,,2366,公寓住宅,民用,7.6,12,0.72,10320.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433066,华海雅居,茂名,茂南,文化广场,2017,高层,迎宾三路126号,110.9301999,21.66175092,,36.86,,692,公寓住宅,民用,8.6,12,1.89,10440.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433064,东信时代广场,茂名,茂南,文化广场,2016,超高层,西粤中路,110.9384565,21.65693677,,40.0,,252,公寓住宅,民用,8.2,12,-1.27,13754.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433062,金城锦绣中华,茂名,茂南,文化广场,2018,高层,西粤北路东侧,110.9393972,21.67389845,,36.1,,472,公寓住宅,民用,7.9,12,-0.75,9677.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433060,金源盛世,茂名,茂南,文化广场,,高层,茂名大道,110.9486551,21.66599947,,35.14,,2104,公寓住宅,民用,7.3,12,-1.25,9499.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433059,富丽天誉,茂名,茂南,文化广场,,高层,站前六路182号,110.9351346,21.64684863,,35.38,,1702,公寓住宅,民用,7.6,12,-0.06,8368.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433055,荔晶新城,茂名,茂南,文化广场,,高层,官山七路1号,110.9439828,21.67137136,,35.57,,1680,公寓住宅,民用,7.6,12,-0.3,9712.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433552,裕海国际,茂名,茂南,文明路,2018,高层,油城七路2号,110.927371,21.66605745,,16.0,,0,公寓住宅,民用,8.1,12,0.0,10225.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433564,锦绣时尚名居,茂名,茂南,明湖百货,,高层,官渡南路159号,110.9173138,21.67475822,,44.68,88926.0,701,公寓住宅,民用,8.1,12,-1.29,8997.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433567,嘉福新城,茂名,茂南,明湖百货,,高层,光华北路,110.9207079,21.68583531,,35.91,200000.0,633,公寓住宅,民用,7.5,12,0.13,7963.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433565,保利东湾,茂名,茂南,明湖百货,,高层,江东北路288号,110.9083044,21.68932738,,33.03,959935.0,2874,公寓住宅,民用,7.0,12,-0.23,8786.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433218,东信雅苑,茂名,茂南,高凉,,高层,双山七路18号,110.9396192,21.6571419,,20.29,,312,公寓住宅,民用,7.5,12,2.91,11347.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
433236,宏御帝景豪庭,茂名,茂南,高凉,2017,超高层,迎宾三路128号,110.929762,21.66129015,,35.0,,547,公寓住宅,民用,8.5,12,1.12,11327.0,Guangdong,Maoming,Maonan,Guangdong-Maoming
