id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
628840,惠民南路小区,韶关,武江,西河,,小高层,惠民南路,113.5841157,24.79837028,,,,0,公寓住宅,民用,7.9,12,1.66,3618.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628627,南枫碧水花城,韶关,武江,沙洲尾,2018,小高层|高层,芙蓉东路178号,113.5765202,24.77938855,,42.0,,0,公寓住宅,民用,8.4,12,-0.72,10692.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628954,二棉宿舍,韶关,武江,工业中路,,小高层,惠民路93号,113.5839006,24.7948907,,,,0,公寓住宅,民用,7.9,12,0.0,4947.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628955,长城公寓,韶关,武江,工业中路,,多层,新津路2号,113.5755273,24.80178335,,,,0,公寓住宅,民用,7.7,12,0.0,3790.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628956,群康路邮政住宅小区,韶关,武江,工业中路,,小高层,群康路16号,113.5734933,24.80930718,,,,0,公寓住宅,民用,7.5,12,0.0,3833.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628957,锦鹏花园,韶关,武江,工业中路,,高层,幸福路3号,113.569469,24.80459036,,,,0,公寓住宅,民用,7.9,12,0.0,4890.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628958,业兴楼,韶关,武江,工业中路,,小高层,工业中路21号,113.5733647,24.80415304,,,,0,公寓住宅,民用,7.6,12,0.0,3685.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628959,岭南大厦,韶关,武江,工业中路,,高层,工业中路66号,113.5666039,24.80342967,,,,0,公寓住宅,民用,7.1,12,0.0,4094.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628960,永泰世家,韶关,武江,工业中路,,小高层,东岗岭36号,113.5791709,24.80539607,,,,0,公寓住宅,民用,7.6,12,0.0,4279.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628961,华丰楼,韶关,武江,工业中路,,小高层,工业中路70号,113.5675707,24.80275048,,,,0,公寓住宅,民用,7.2,12,0.0,4250.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628953,黄屋东2号楼,韶关,武江,工业中路,,多层,黄屋东2号,113.5627806,24.81039252,,,,0,公寓住宅,民用,7.1,12,0.0,4709.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628962,兴乐苑,韶关,武江,工业中路,,高层,乳韶路10号,113.5681224,24.80198555,,,,0,公寓住宅,民用,7.6,12,0.0,3357.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628964,铭轩豪庭,韶关,武江,工业中路,,高层,新兴路4号,113.5773817,24.81041059,,35.6,,0,公寓住宅,民用,8.3,12,0.0,7894.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628965,景和楼,韶关,武江,工业中路,,小高层,工业东路46号,113.5680673,24.80394518,,,,0,公寓住宅,民用,7.4,12,0.0,4680.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
628966,新兴路2号小区,韶关,武江,工业中路,,小高层,新兴路2号,113.5759123,24.80917121,,,,0,公寓住宅,民用,7.6,12,0.0,4095.0,Guangdong,Shaoguan,Wujiang,Guangdong-Shaoguan
