id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
212404,大唐盛世三期,广州,广州周边,肇庆,2012,小高层,星湖大道,112.4724398,23.06166074,,55.0,,0,公寓住宅,民用,8.3,12,0.0,9111.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
212449,星湖尚景苑二期,广州,广州周边,肇庆,,高层,棠岗路,112.4881289,23.07160159,,55.0,,0,公寓住宅,民用,7.7,12,0.0,12000.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
212454,星湖上院,广州,广州周边,肇庆,,多层,北岭路88号,112.4420867,23.08820039,,61.0,,0,公寓住宅,民用,7.5,12,0.0,9931.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
212456,和成金海湾,广州,广州周边,肇庆,,低层,建设一路,112.4992612,23.05523248,,30.0,,0,别墅,民用,7.4,12,0.0,9200.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
212429,安逸花园,广州,广州周边,肇庆,,低层,叠翠南路,112.493833,23.0722521,,30.0,,0,别墅,民用,7.4,12,0.0,10200.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
212430,和熙名园,广州,广州周边,肇庆,,高层,西江北路,112.4449944,23.068682,,35.0,,0,公寓住宅,民用,8.1,12,0.0,9523.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
212435,侨盛楼,广州,广州周边,肇庆,2014,小高层,端州四路,112.4730981,23.05727883,,35.0,,0,公寓住宅,民用,8.6,12,0.0,4700.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
212326,星湖名郡,广州,广州周边,肇庆,,小高层|高层,七星路,112.4687581,23.09003344,,40.0,,0,公寓住宅,民用,6.9,12,0.0,10674.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
212339,盛福花苑,广州,广州周边,肇庆,,小高层,端州四路,112.4723564,23.05943635,,30.0,,0,公寓住宅,民用,8.1,12,0.0,4750.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
212304,金鼎湾,广州,广州周边,肇庆,,低层,芙蓉西二街4号,112.4520485,23.09035049,,65.0,,0,别墅,民用,6.9,12,0.0,10600.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
212340,泰湖新城,广州,广州周边,肇庆,,高层,蓝塘三路,112.4981575,23.09345042,,30.0,,0,公寓住宅,民用,7.5,12,0.0,8139.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
212363,泰和花园(别墅),广州,广州周边,肇庆,,低层,七星路,112.4454977,23.08718192,,30.0,,0,别墅,民用,7.2,12,0.0,15000.0,Guangdong,Zhaoqing,Duanzhou,Guangdong-Zhaoqing
