id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
394798,区五建公司宿舍,柳州,柳北,锦绣,1998,多层,前锋路3号,109.3866113,24.36997202,,20.0,,486,公寓住宅,民用,6.9,12,0.0,7312.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394797,凯凌大厦,柳州,柳北,锦绣,2010,高层,三中路39号,109.4100225,24.32702929,2.0,30.0,,327,公寓住宅,民用,7.8,12,0.0,7520.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394796,顺泰家园,柳州,柳北,锦绣,2010,高层,红碑路北一巷,109.4020882,24.35837193,2.0,30.0,,526,公寓住宅,民用,7.2,12,0.0,8435.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394795,生态工程职业技术学院宿舍,柳州,柳北,锦绣,2000,多层,北雀路,109.3983024,24.34762106,2.0,30.0,,36,公寓住宅,民用,7.4,12,0.0,7638.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394794,深宝商住楼,柳州,柳北,锦绣,1995,小高层,跃进路,109.4053602,24.33961696,2.0,20.0,,120,公寓住宅,民用,7.8,12,0.0,6580.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394793,毛巾厂宿舍,柳州,柳北,锦绣,1998,多层,跃进路86号,109.4058829,24.34815255,,20.0,,8,公寓住宅,民用,7.4,12,0.0,6533.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394792,柳北电厂宿舍,柳州,柳北,锦绣,1998,多层,前锋路4号,109.3901049,24.37078794,,20.0,,169,公寓住宅,民用,7.2,12,0.0,7295.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394791,景秀园(东区),柳州,柳北,锦绣,2000,小高层,白沙路,109.4091008,24.34624403,2.0,30.0,,196,公寓住宅,民用,7.7,12,0.0,7408.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394789,银雀园,柳州,柳北,锦绣,2000,多层,北雀路,109.3987313,24.34818126,2.0,30.0,,108,公寓住宅,民用,7.5,12,0.0,6418.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394788,师范附属小学宿舍,柳州,柳北,锦绣,1998,多层,鸪江路6号,109.4087583,24.38561553,2.0,20.0,,34,公寓住宅,民用,7.0,12,0.0,5882.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394783,中鼎北园,柳州,柳北,锦绣,1995,小高层,跃进路,109.4069512,24.34183178,2.0,20.0,,164,公寓住宅,民用,7.8,12,0.0,7777.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394785,泰宏百旺都,柳州,柳北,锦绣,2010,高层,跃进路,109.4055118,24.33661973,2.0,30.0,,630,公寓住宅,民用,8.0,12,0.0,9116.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394784,星星港湾,柳州,柳北,锦绣,2005,多层,北雀路,109.3933726,24.35306494,2.0,30.0,,448,公寓住宅,民用,7.8,12,0.0,8768.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394786,龙建品尚名城(别墅),柳州,柳北,锦绣,2015,低层,北雀路45-13号,109.3973982,24.35158075,,50.0,,0,别墅,民用,7.6,12,0.0,6285.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394787,香格里(别墅),柳州,柳北,锦绣,2010,低层,桂景湾路,109.3888669,24.35338888,,50.0,,0,别墅,民用,7.6,12,0.0,16842.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394799,白沙大院,柳州,柳北,锦绣,1998,小高层,跃进路,109.4070299,24.35623804,2.0,20.0,,860,公寓住宅,民用,7.1,12,0.0,9000.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394790,印刷厂宿舍(跃进路东一巷),柳州,柳北,锦绣,1998,多层,跃进路东西巷146号,109.4065414,24.3323083,2.0,20.0,,90,公寓住宅,民用,7.6,12,0.0,7034.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394800,保利广场,柳州,柳北,锦绣,2012,超高层,跃进路三巷,109.4113818,24.34146476,2.0,30.0,,1876,公寓住宅,民用,7.6,12,0.0,14464.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394456,柳州饭店生活区,柳州,城中,人民广场,2000,小高层,友谊路1号,109.4137732,24.32378193,2.0,30.0,,222,公寓住宅,民用,8.0,12,0.0,9682.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394802,广播电视小区,柳州,柳北,锦绣,2000,小高层,跃进路53号,109.4053677,24.34720708,,30.0,,0,公寓住宅,民用,7.4,12,0.0,7986.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394831,盛世名邸,柳州,柳北,雀山,2014,高层,北雀路,109.3987884,24.35074861,,30.0,,318,公寓住宅,民用,7.7,12,0.0,9210.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394832,北站路15号住宅楼,柳州,柳北,雀山,1995,高层,北站路15号,109.4070757,24.32612523,,20.0,,0,公寓住宅,民用,7.9,12,0.0,7534.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394833,胜利小区3村,柳州,柳北,雀山,1995,多层,红碑路北二巷,109.4016567,24.36020819,2.0,20.0,,1132,公寓住宅,民用,7.6,12,0.0,7600.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394834,香森丽园,柳州,柳北,雀山,2003,小高层,胜利东路,109.40452,24.3650174,2.0,30.0,,448,公寓住宅,民用,7.9,12,0.0,7627.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394835,碧丽星城,柳州,柳北,雀山,2012,小高层,跃进路120号,109.4077561,24.37006651,2.0,30.0,,1440,公寓住宅,民用,7.7,12,-0.81,6670.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394836,琥珀东岸,柳州,柳北,雀山,2005,高层,鹧鸪江路12号,109.4118285,24.37997869,2.0,30.0,,465,公寓住宅,民用,7.6,12,0.0,8026.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394837,前锋路二区,柳州,柳北,雀山,1998,多层,前锋路,109.3905947,24.3699428,2.0,20.0,,646,公寓住宅,民用,7.4,12,0.0,7990.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394838,床单厂宿舍,柳州,柳北,雀山,1995,多层,跃进路88号,109.4081623,24.35100192,2.0,20.0,,214,公寓住宅,民用,7.7,12,0.0,7000.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394839,胜利小区6村,柳州,柳北,雀山,1995,多层,"胜利路,近红碑路北二巷",109.40441,24.36090612,2.0,20.0,,470,公寓住宅,民用,7.3,12,0.0,8465.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394840,锦都华庭,柳州,柳北,雀山,1997,超高层,胜利路10号,109.4083618,24.36491433,2.0,20.0,,270,公寓住宅,民用,7.4,12,0.0,8433.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394841,二棉生活区,柳州,柳北,雀山,1995,多层,胜利东路,109.4098011,24.36433786,2.0,20.0,,520,公寓住宅,民用,7.3,12,0.0,6760.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394830,龙光玖悦湾,柳州,柳北,雀山,2020,高层,跃进路,109.4128351,24.38198449,,30.0,,0,公寓住宅,民用,7.7,12,-1.48,6108.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394842,胜利小区2村,柳州,柳北,雀山,2015,多层,红碑路北二巷,109.39973,24.3593229,2.0,30.0,,224,公寓住宅,民用,7.7,12,0.0,8520.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394844,河北新村(四区),柳州,柳北,雀山,2000,多层,"北站路,近三中路",109.4052113,24.32978775,,30.0,,0,公寓住宅,民用,7.9,12,0.0,8000.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394845,馨辉小苑,柳州,柳北,雀山,2008,多层,北雀路67-63号,109.3875502,24.36178096,2.0,30.0,,144,公寓住宅,民用,7.9,12,0.0,6632.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394846,华泰棕榈湾,柳州,柳北,雀山,1998,多层,红碑路14号,109.3982212,24.35630307,2.0,20.0,,172,公寓住宅,民用,7.9,12,0.0,7227.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394847,广西冶金建设公司第二生活区,柳州,柳北,雀山,1998,多层,北雀路九区73号,109.3926237,24.36839904,2.0,20.0,,0,公寓住宅,民用,7.7,12,0.0,6603.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394782,北雀路18区,柳州,柳北,锦绣,2000,多层|小高层,"北雀路,近柳长路",109.405179,24.38434182,2.0,30.0,,781,公寓住宅,民用,7.4,12,0.0,6270.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394848,北站路十八号宿舍,柳州,柳北,雀山,2000,多层,北站路18号,109.4079825,24.32694752,2.0,30.0,,0,公寓住宅,民用,7.8,12,0.0,6449.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394849,南雀新村(二区),柳州,柳北,雀山,1998,多层,北雀路,109.3957131,24.3690585,2.0,20.0,,554,公寓住宅,民用,7.7,12,0.0,7758.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394850,北祥新居,柳州,柳北,雀山,2005,小高层,北雀路71号之一,109.3891468,24.3672623,2.0,30.0,,3025,公寓住宅,民用,7.5,12,0.0,8404.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394851,柳州银行宿舍(柳北区),柳州,柳北,雀山,1998,多层,广雅路14号,109.4013247,24.32428471,2.0,20.0,,112,公寓住宅,民用,8.1,12,0.0,7925.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394852,月华园,柳州,柳北,雀山,2003,小高层,红碑路8号,109.4025031,24.35695394,2.0,30.0,,290,公寓住宅,民用,7.7,12,0.0,9101.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394853,胜利小区南(一区),柳州,柳北,雀山,1997,多层,红碑路北二巷,109.4007265,24.36010359,2.0,20.0,,1406,公寓住宅,民用,7.7,12,0.0,8143.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394843,桂景湾别墅区,柳州,柳北,雀山,2010,低层,北雀路,109.3920216,24.35280346,,50.0,,0,别墅,民用,8.1,12,-7.28,11636.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394801,北雀路11区,柳州,柳北,锦绣,2006,多层,北雀路,109.3900349,24.37718024,,30.0,,0,公寓住宅,民用,7.2,12,0.0,6576.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394829,雀山小苑,柳州,柳北,雀山,2000,小高层,雀儿山路6号,109.4022064,24.37628575,2.0,30.0,,342,公寓住宅,民用,8.1,12,0.0,6914.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394827,雀儿山路二区,柳州,柳北,雀山,1995,多层,雀儿山路,109.4054517,24.37597729,2.0,20.0,,1808,公寓住宅,民用,7.8,12,-2.15,6671.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394803,飞龙富苑,柳州,柳北,锦绣,2000,多层,锦绣路12-1号,109.4130911,24.34533309,2.0,30.0,,228,公寓住宅,民用,7.5,12,0.0,9574.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394806,电影公司宿舍,柳州,柳北,锦绣,1998,多层,三中路,109.4100913,24.3304234,,20.0,,40,公寓住宅,民用,7.4,12,0.0,6551.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394807,汇金国际,柳州,柳北,锦绣,1999,超高层,跃进路106-8号,109.4069764,24.35842103,2.0,20.0,,465,商住楼,商用,7.4,12,0.0,9255.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394808,福江小苑,柳州,柳北,锦绣,2003,小高层,北雀路,109.399902,24.34262951,2.0,30.0,,164,公寓住宅,民用,7.8,12,0.0,6967.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394809,富鸿蔚澜湾(别墅),柳州,柳北,锦绣,2015,低层,跃进路79号,109.4091618,24.37888604,,50.0,,0,别墅,民用,7.9,12,0.0,8765.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394810,通建中天城,柳州,柳北,雀山,1996,高层,胜利路4号之一,109.4120579,24.36428818,2.0,30.0,,6103,公寓住宅,民用,7.7,12,0.12,10654.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394811,中房胜利小区,柳州,柳北,雀山,2003,超高层,胜利路9号,109.4016099,24.36358608,2.0,30.0,,2719,公寓住宅,民用,7.9,12,0.85,6999.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394812,江岸名轩,柳州,柳北,雀山,2013,高层,胜利路1号,109.4136275,24.36293834,2.0,30.0,,594,公寓住宅,民用,7.8,12,-0.8,7927.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394813,胜利小区(九区),柳州,柳北,雀山,1997,多层,红碑路北二巷,109.40038,24.35947527,2.0,20.0,,0,公寓住宅,民用,7.8,12,-0.7,7369.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394828,水天一州(二期),柳州,柳北,雀山,2010,高层,桂景湾路,109.3848521,24.35520085,,30.0,,1113,公寓住宅,民用,7.6,12,4.52,8248.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394814,前锋路三区,柳州,柳北,雀山,1995,多层,前锋路,109.3891391,24.37081755,2.0,20.0,,966,公寓住宅,民用,7.5,12,0.73,7338.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394816,钢城元宝源,柳州,柳北,雀山,2012,高层,跃进路79号,109.4054768,24.37984223,2.0,30.0,,1948,公寓住宅,民用,7.8,12,-1.52,7278.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394817,胜利小区中(六区),柳州,柳北,雀山,2010,多层,胜利东路,109.4018593,24.36216189,2.0,30.0,,2498,公寓住宅,民用,7.8,12,-0.47,7164.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394818,仁和馨园,柳州,柳北,雀山,2007,高层,雀儿山路170号,109.3994005,24.37654903,2.0,30.0,,1601,公寓住宅,民用,7.9,12,-0.04,8916.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394819,柳化职工住宅楼,柳州,柳北,雀山,1998,小高层,北雀路67号,109.3927178,24.36194651,2.0,20.0,,2962,公寓住宅,民用,7.6,12,-1.09,6772.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394820,两面针长风雅筑,柳州,柳北,雀山,2013,高层,长风路2号,109.4115404,24.36194014,2.0,30.0,,508,公寓住宅,民用,7.8,12,0.0,8293.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394821,柳北文化商业广场,柳州,柳北,雀山,2008,高层,北雀路69号,109.3932194,24.36538768,2.0,30.0,,320,公寓住宅,民用,7.9,12,0.0,8024.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394822,滨江世纪城,柳州,柳北,雀山,2015,小高层,鹧鸪江路12号,109.4099196,24.37773267,2.0,30.0,,1806,公寓住宅,民用,8.0,12,1.81,8265.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394823,北星明园,柳州,柳北,雀山,2010,多层,北雀路98号之1,109.3951884,24.36268613,2.0,30.0,,620,公寓住宅,民用,8.0,12,-0.46,7287.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394824,和安苑,柳州,柳北,雀山,2000,小高层,北雀路,109.3919341,24.36649229,2.0,30.0,,610,公寓住宅,民用,7.8,12,0.0,7625.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394825,北雀路(十二区),柳州,柳北,雀山,1994,多层|小高层,景观路8号,109.3943223,24.37202624,2.0,20.0,,1956,公寓住宅,民用,7.4,12,0.0,6335.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394826,中房胜利小区北(二区),柳州,柳北,雀山,1997,多层,"胜利高架路,近红碑路北二巷",109.4017531,24.36381071,2.0,20.0,,1176,公寓住宅,民用,7.4,12,0.0,8099.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394815,长业天江城,柳州,柳北,雀山,2005,高层,胜利路3号,109.4109604,24.36356032,2.0,30.0,,890,公寓住宅,民用,7.7,12,-2.47,9689.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394725,怡江园,柳州,柳北,锦绣,2012,小高层,北雀路,109.3995263,24.34334775,2.0,30.0,,730,公寓住宅,民用,8.1,12,1.58,7028.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394779,广龙居住楼,柳州,柳北,锦绣,2000,小高层,三中路116号,109.4082417,24.33531195,2.0,30.0,,68,公寓住宅,民用,7.7,12,0.0,7090.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394700,云星钱隆御景,柳州,柳北,锦绣,2016,高层,白沙路29号,109.4107842,24.35556078,,30.0,,441,公寓住宅,民用,8.0,12,-0.37,8061.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
394701,北岸馨园,柳州,柳北,锦绣,2010,高层,北站路112号,109.4064668,24.32785804,2.0,30.0,,354,公寓住宅,民用,8.1,12,0.0,9038.0,Guangxi,Liuzhou,Liubei,Guangxi-Liuzhou
