id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
6940,华西办宿舍,安顺,西秀,两可间,,多层,安平街,105.9262011,26.24053576,,,,0,公寓住宅,民用,8.1,12,0.0,3100.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
7290,马厂新村,安顺,经济开发区,多彩万象旅游城,,多层,迎宾路,105.8892902,26.2316887,,,,0,公寓住宅,民用,7.4,12,0.0,2845.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6840,华大煕春花园南区,安顺,西秀,两可间,,小高层,中华北路334号,105.9231198,26.25326748,,,,0,公寓住宅,民用,8.3,12,0.0,4091.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6841,风雷新区,安顺,西秀,两可间,,高层,定安大道,105.8884244,26.25728587,2.0,,,0,公寓住宅,民用,7.1,12,0.0,2878.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6842,万博学府,安顺,西秀,两可间,,高层,西水路,105.9247912,26.25867894,,,,0,公寓住宅,民用,7.8,12,0.0,5500.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6843,新世纪二期,安顺,西秀,两可间,,小高层,西苑街,105.9144199,26.25116325,,,,0,公寓住宅,民用,7.6,12,0.0,4350.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6844,桐源大市场,安顺,西秀,两可间,,多层,体育路,105.9543096,26.25592007,,,,0,公寓住宅,民用,7.2,12,0.0,4979.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6845,景福世家,安顺,西秀,两可间,,小高层,黄果树大街,105.8994846,26.23235469,,,,0,公寓住宅,民用,6.9,12,8.46,3467.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6846,安顺西街大市场,安顺,西秀,两可间,,小高层,熙春路1号,105.9242736,26.24956909,,,,0,公寓住宅,民用,7.9,12,0.0,4526.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6847,富家花园,安顺,西秀,两可间,,多层,体育路,105.9404714,26.25067381,,,,0,公寓住宅,民用,8.2,12,-0.86,4163.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6848,棕榈泉,安顺,西秀,两可间,,低层,黄果树大街,105.9766557,26.25764333,,,,0,别墅,民用,6.9,12,0.0,9763.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6849,远大锦绣四季园北区,安顺,西秀,两可间,,高层,北航路,105.9091171,26.25381034,,,,0,公寓住宅,民用,7.7,12,1.23,4035.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6850,西市小区,安顺,西秀,两可间,,小高层,镇宁路,105.916368,26.24813105,,,,0,公寓住宅,民用,8.1,12,0.0,3496.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6851,虹湖之舟,安顺,西秀,两可间,,高层,西水路,105.9253074,26.25923206,,,,0,公寓住宅,民用,7.2,12,0.09,6171.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6852,岚桥新居,安顺,西秀,两可间,,小高层,格凸河路,105.920564,26.25044254,,,,0,公寓住宅,民用,7.8,12,-3.34,3874.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6839,丽璟苑,安顺,西秀,两可间,,多层,南马大道,105.9175454,26.25112685,,,,0,公寓住宅,民用,7.8,12,0.0,5414.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6853,河滨小区,安顺,西秀,两可间,,多层,格凸河路18号,105.9158131,26.25121021,,,,0,公寓住宅,民用,7.7,12,0.27,3472.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6855,顺安世纪新城,安顺,西秀,两可间,,高层,南华路67号,105.9365769,26.23843196,,,,0,公寓住宅,民用,7.9,12,-0.49,4905.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6856,加州明园,安顺,西秀,两可间,,多层,南马大道,105.9170882,26.25025041,,,,0,公寓住宅,民用,8.0,12,0.0,4358.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6857,玉竹园,安顺,西秀,两可间,,小高层,北山路8号,105.9245427,26.26100742,,,,0,公寓住宅,民用,7.3,12,0.0,4286.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6858,华庭嘉园,安顺,西秀,两可间,,高层,西航路61号,105.9141291,26.24610711,,,,0,公寓住宅,民用,7.5,12,0.0,4628.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6861,华大公寓,安顺,西秀,两可间,,多层,中华北路,105.9219207,26.2538105,,,,0,公寓住宅,民用,7.6,12,0.0,4982.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6862,家和铭珠苑,安顺,西秀,两可间,,多层,玉龙南路,105.9188,26.24475187,,,,0,公寓住宅,民用,8.0,12,0.0,4058.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6863,顺怡小区,安顺,西秀,两可间,,多层,西航路,105.9081057,26.2448861,,,,0,公寓住宅,民用,7.5,12,0.0,3723.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6864,百里城,安顺,西秀,两可间,,高层,中华北路,105.9154221,26.25543933,,,,0,公寓住宅,民用,7.8,12,0.0,4461.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6865,建联公寓,安顺,西秀,两可间,,小高层,市府路92号,105.9435312,26.25239461,,,,0,公寓住宅,民用,7.5,12,0.0,4504.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6866,阳光花园,安顺,西秀,两可间,,小高层,西航路,105.9083716,26.2436276,,,,0,公寓住宅,民用,7.5,12,0.68,3279.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6867,风雷D区,安顺,西秀,两可间,,小高层,星光路,105.9130378,26.25362749,,,,0,公寓住宅,民用,7.8,12,0.0,3508.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
6854,南山小区,安顺,西秀,两可间,1990,多层,南山路23号,105.9410129,26.23683658,,33.0,,0,公寓住宅,民用,8.2,12,-1.02,4236.0,Guizhou,Anshun,Xixiu,Guizhou-Anshun
