id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
886638,富贵欣园,遵义,播州,马家湾转盘,2015,超高层,遵南大道,106.8644882,27.59955238,2.0,30.0,,240,公寓住宅,民用,7.5,12,0.0,3491.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886575,渝能佳苑,遵义,播州,马家湾转盘,,高层,遵南大道,106.8524222,27.58065922,2.0,31.86,,1014,公寓住宅,民用,7.6,12,-1.24,4502.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886592,紫郡苑,遵义,播州,马家湾转盘,,小高层,遵南大道,106.8468991,27.58032942,2.0,30.0,,517,公寓住宅,民用,7.2,12,0.0,5339.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886448,黔北国际汽车博览城,遵义,播州,保利步行街,,高层,遵南大道,106.869731,27.61060757,2.0,30.0,,1629,公寓住宅,民用,7.4,12,0.88,4070.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886444,东都凯菜国际一期,遵义,播州,保利步行街,,高层,共青一路,106.8719188,27.62593221,2.0,35.0,,1590,公寓住宅,民用,7.7,12,1.39,6437.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886572,正源金港城,遵义,播州,马家湾转盘,,高层|超高层,"210国道,近秀河线",106.8455055,27.58235424,2.0,40.0,,2421,公寓住宅,民用,7.9,12,2.89,5297.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886583,湘源国际,遵义,播州,马家湾转盘,2014,高层,龙坑四路,106.8624073,27.59460977,2.0,25.0,,2884,公寓住宅,民用,7.6,12,-2.11,4445.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886581,翰华国际花园,遵义,播州,马家湾转盘,2015,高层,遵南大道555号,106.8499562,27.58288145,2.0,36.72,,1366,公寓住宅,民用,8.1,12,-0.29,5448.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886578,大恒名城,遵义,播州,马家湾转盘,2014,高层,天池大道,106.8553042,27.58681977,2.0,30.12,,1747,公寓住宅,民用,7.9,12,-1.27,5138.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886577,南都首尔,遵义,播州,马家湾转盘,2012,高层,遵南大道,106.8539993,27.58691805,2.0,40.0,,1742,公寓住宅,民用,7.7,12,-1.64,4810.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886582,格瑞铜雀台,遵义,播州,马家湾转盘,2014,小高层|高层,天池大道,106.8524191,27.59030498,2.0,30.0,,1080,公寓住宅,民用,7.7,12,-1.07,5117.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
886470,黔北国际汽车博览城,遵义,播州,万寿广场,,高层,遵南大道,106.869731,27.61060757,2.0,30.0,,1629,公寓住宅,民用,7.4,12,0.88,4070.0,Guizhou,Zunyi,Bozhou,Guizhou-Zunyi
885359,智博南府锦,遵义,红花岗,海尔大道,2020,高层,"海尔大道,近剑江路",106.8934487,27.65563073,,30.0,,0,公寓住宅,民用,8.1,12,0.0,5178.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885294,华南大厦,遵义,红花岗,海尔大道,2004,高层,海尔大道1015号,106.9041863,27.66566432,2.0,35.0,,202,公寓住宅,民用,8.1,12,-3.55,4572.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885296,龙腾大厦,遵义,红花岗,海尔大道,2015,高层,海尔大道589号,106.8937878,27.65438213,,30.0,,0,商住楼,商用,7.5,12,-0.54,4697.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885297,朗庭豪园,遵义,红花岗,海尔大道,2015,高层,海尔大道89号,106.8860614,27.6453629,2.0,31.0,,1234,公寓住宅,民用,8.0,12,0.03,5614.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885624,东升华庭,遵义,红花岗,内环路,,高层|超高层,珍珠路72号,106.9379396,27.6996429,2.0,30.0,,432,公寓住宅,民用,8.2,12,0.0,5517.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885883,美的城,遵义,新浦新区,平安街,,高层,东城大道,106.9630333,27.67717185,2.0,35.5,,2552,公寓住宅,民用,7.2,12,1.32,5532.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885517,阳光雅苑,遵义,红花岗,红花岗周边,,小高层,东联络线,106.9480056,27.69055451,2.0,42.0,,0,公寓住宅,民用,7.7,12,0.0,6144.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885382,遵义城市广场,遵义,红花岗,海尔大道,,高层,海尔大道,106.8985457,27.65994041,2.0,32.0,,1552,公寓住宅,民用,7.5,12,0.0,5376.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885425,渝欧教育城A区,遵义,红花岗,沙河小区,,高层,东联二线,106.9670699,27.67893957,2.0,27.0,,1328,公寓住宅,民用,7.6,12,0.0,4601.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885251,银河星辰南山郡,遵义,红花岗,海尔大道,2020,多层,银河北路,106.8933106,27.68263165,2.0,45.0,,4349,公寓住宅,民用,7.9,12,0.0,5664.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885247,左岸香郡,遵义,红花岗,海尔大道,,高层,蟠桃路,106.8941986,27.66033889,2.0,36.0,,1000,公寓住宅,民用,7.8,12,2.0,6165.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885810,帝豪名都,遵义,红花岗,南门关,,超高层,南舟路新店子598号,106.921627,27.66518482,2.0,30.0,,7,公寓住宅,民用,7.5,12,0.0,3936.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885808,美城阳光,遵义,红花岗,南门关,,小高层,南舟西路,106.9155524,27.66998477,2.0,30.0,,1062,公寓住宅,民用,8.2,12,0.28,4067.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885806,东岭雅居,遵义,红花岗,南门关,2015,高层,东联络线,106.910898,27.6635282,2.0,32.0,,396,公寓住宅,民用,8.2,12,0.0,4824.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885207,天蕴南加州,遵义,红花岗,东欣彩虹城,2015,多层|高层,银河路407号,106.8837734,27.66563216,2.0,35.0,,2362,公寓住宅,民用,7.9,12,0.33,6640.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885798,祥和名邸,遵义,红花岗,遵义会址,2012,高层,官井新路62号,106.9029549,27.68704252,2.0,35.02,,486,公寓住宅,民用,7.6,12,0.0,5179.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885834,汇泽华府,遵义,红花岗,中华路,2013,高层,"中华南路,近沙盐路",106.9267543,27.69040811,2.0,20.0,,180,公寓住宅,民用,8.6,12,0.0,7800.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885209,祥龙御府,遵义,红花岗,东欣彩虹城,2015,小高层|高层,银河南路88号,106.8838007,27.6616343,2.0,30.0,,3272,公寓住宅,民用,7.9,12,-0.27,5975.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885218,方圆学府壹号,遵义,红花岗,东欣彩虹城,2013,多层|高层,东欣大道,106.8887833,27.6689123,,35.0,39151.0,373,公寓住宅,民用,7.5,12,0.0,4236.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885505,国梁湘江半岛,遵义,红花岗,红花岗周边,,高层,迎宾大道,106.9236721,27.67421977,2.0,30.0,,1564,公寓住宅,民用,8.0,12,-1.83,5888.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885504,遵义国际商贸城,遵义,红花岗,红花岗周边,2014,小高层|高层,湘江大道100号,106.9112529,27.63306316,2.0,20.0,,551,商住楼,商用,7.7,12,0.0,4422.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885501,圣城华府御林苑,遵义,红花岗,红花岗周边,,小高层|高层,平庄大道201号,106.9503757,27.68981682,2.0,35.0,,3451,公寓住宅,民用,8.2,12,1.02,5298.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885285,江南一品,遵义,红花岗,海尔大道,2013,高层,绍兴路,106.8770124,27.63480557,2.0,30.0,,762,公寓住宅,民用,7.5,12,0.0,4415.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
885276,新城悦隽风华,遵义,红花岗,海尔大道,2020,高层,326国道,106.9820875,27.69711174,,40.0,157004.0,921,公寓住宅,民用,7.6,12,0.0,4551.0,Guizhou,Zunyi,Honghuagang,Guizhou-Zunyi
886427,曼哈顿时代广场,遵义,汇川,珠海路,2015,高层,珠海路1号,106.9274412,27.72044658,2.0,30.0,,222,公寓住宅,民用,8.5,12,0.0,8714.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886428,曼哈顿时代公馆,遵义,汇川,珠海路,2013,高层,珠海路,106.9276387,27.72008423,2.0,30.0,,240,公寓住宅,民用,8.6,12,0.0,8602.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886381,金桐壹號,遵义,汇川,东联线,,高层,东联络线,106.9459613,27.70980171,2.0,20.0,,392,公寓住宅,民用,8.2,12,-1.43,5015.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886031,东城天际,遵义,汇川,大连路,,高层,东联线,106.9464505,27.70873006,2.0,20.0,,1003,公寓住宅,民用,8.1,12,-1.81,4965.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886033,新熙园,遵义,汇川,大连路,,小高层,大连路,106.9459104,27.7165833,2.0,25.0,,1500,公寓住宅,民用,8.1,12,-0.92,6967.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
885471,大都会广场,遵义,红花岗,北京路,2010,高层|超高层,北京路38号,106.9412249,27.70703002,2.0,30.0,,554,商住楼,商用,8.9,12,0.0,6317.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886028,遵义时代天街,遵义,汇川,大连路,2016,高层,大连路194号,106.9432275,27.71078706,2.0,25.0,,2331,公寓住宅,民用,8.6,12,-1.07,6185.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886089,博城帝景,遵义,汇川,上海路,2014,高层,沈阳路32号,106.9020682,27.70866439,2.0,30.0,,329,公寓住宅,民用,8.5,12,0.0,6627.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886191,隆成城市之星,遵义,汇川,沈阳路,2017,小高层|高层,湛江路,106.9026443,27.71327934,2.0,30.0,,1406,公寓住宅,民用,8.3,12,0.33,6258.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886209,汇福星城,遵义,汇川,宁波路,,高层,苏州路,106.9230701,27.7144413,2.0,30.0,,939,公寓住宅,民用,8.2,12,2.2,8380.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886163,城投时代星城A区,遵义,汇川,汇川周边,2015,高层,上海路590号,106.9186472,27.71097355,2.0,25.2,,450,公寓住宅,民用,8.4,12,-0.32,7442.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886164,罗兰小镇,遵义,汇川,汇川周边,2014,多层|小高层,洗马路167号,106.8965206,27.70499491,2.0,30.0,,798,公寓住宅,民用,8.0,12,6.19,4750.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886165,龙城国际(汇川),遵义,汇川,汇川周边,2015,高层,汇川大道,106.9290655,27.75118284,2.0,32.3,,0,公寓住宅,民用,7.6,12,-2.13,5460.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886345,永泽苑,遵义,汇川,南京路,2012,高层,苏州路59号,106.9215083,27.71649659,2.0,35.2,,84,公寓住宅,民用,8.5,12,0.0,6408.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886311,半山御景,遵义,汇川,南京路,2015,高层,苏州路,106.9233554,27.71618247,2.0,30.0,,240,公寓住宅,民用,8.7,12,3.5,6040.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886154,自游港港府,遵义,汇川,汇川周边,2017,高层,温州路4号,106.9016676,27.70005643,2.0,30.5,,1450,公寓住宅,民用,8.3,12,-2.34,6414.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886358,宏达花园,遵义,汇川,澳门路,2012,小高层,澳门路,106.9323979,27.70973454,2.0,20.0,,112,公寓住宅,民用,8.4,12,0.0,6647.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
886367,梅岭红梅小区,遵义,汇川,澳门路,,小高层,红梅路12号,106.9325229,27.70609717,2.0,20.0,,520,公寓住宅,民用,8.4,12,0.0,7650.0,Guizhou,Zunyi,Huichuan,Guizhou-Zunyi
