id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
126754,承钢西二区,承德,双滦,钢厂,,多层,西苑路,117.705858,40.95280809,,,,60,公寓住宅,民用,6.5,12,0.0,7500.0,Hebei,Chengde,Shuangluan,Hebei-Chengde
126751,双兴小区,承德,双滦,钢厂,,多层|高层,滦河大街99号,117.7335436,40.95344433,1.0,,,61,公寓住宅,民用,6.8,12,0.0,6250.0,Hebei,Chengde,Shuangluan,Hebei-Chengde
126752,承钢运输小区,承德,双滦,钢厂,,多层,怡园路,117.7349508,40.94809563,,,,63,公寓住宅,民用,6.8,12,0.0,3752.0,Hebei,Chengde,Shuangluan,Hebei-Chengde
126768,东方比华利庄园,承德,双滦,元宝山,2016,低层,元宝山大街88号,117.8447102,40.97642061,,40.0,,0,别墅,民用,7.4,12,0.0,10076.0,Hebei,Chengde,Shuangluan,Hebei-Chengde
126701,区政府住宅楼,承德,双滦,双塔山,,多层,滨河大街51号,117.7938374,40.95747923,,,,0,公寓住宅,民用,6.9,12,0.0,6400.0,Hebei,Chengde,Shuangluan,Hebei-Chengde
126767,龙玺御园(别墅),承德,双滦,元宝山,,低层,广仁岭大街,117.8461968,40.98265917,,35.0,,0,别墅,民用,7.2,12,0.0,6666.0,Hebei,Chengde,Shuangluan,Hebei-Chengde
126702,区政府家属楼,承德,双滦,双塔山,,多层,滨河大街,117.7918584,40.95596408,,,,0,公寓住宅,民用,7.1,12,0.0,6849.0,Hebei,Chengde,Shuangluan,Hebei-Chengde
126738,西地家属楼,承德,双滦,钢厂,,多层,西苑路,117.7060732,40.95269136,,,,0,公寓住宅,民用,7.0,12,1.74,4092.0,Hebei,Chengde,Shuangluan,Hebei-Chengde
126703,北园社区双大家属楼,承德,双滦,双塔山,,多层,滨河大街,117.7939533,40.95746655,,,,0,公寓住宅,民用,7.2,12,0.0,5000.0,Hebei,Chengde,Shuangluan,Hebei-Chengde
126766,御景国际,承德,双滦,元宝山,2014,多层|小高层,元宝山大街,117.8498841,40.98113995,1.0,32.0,,256,公寓住宅,民用,7.5,12,0.0,7434.0,Hebei,Chengde,Shuangluan,Hebei-Chengde
