id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
386428,五金宿舍楼,廊坊,安次,廊坊一中,2000,低层,常青路4号,116.6854886,39.51341707,,30.0,,0,公寓住宅,民用,7.8,12,0.0,10500.0,Hebei,Langfang,Anci,Hebei-Langfang
386538,安次区医院综合楼,廊坊,安次,菜庄,2010,多层,光明西道,116.6892039,39.51225497,,30.0,,0,公寓住宅,民用,7.9,12,0.0,8384.0,Hebei,Langfang,Anci,Hebei-Langfang
386287,富强小区,廊坊,安次,永华明珠,2003,多层,永华道,116.6972905,39.50377577,1.0,30.0,,219,公寓住宅,民用,8.0,12,0.0,8018.0,Hebei,Langfang,Anci,Hebei-Langfang
386288,安次区交通局宿舍,廊坊,安次,永华明珠,2000,多层,永华道117号,116.6876411,39.50204013,,30.0,,0,公寓住宅,民用,7.8,12,0.0,8241.0,Hebei,Langfang,Anci,Hebei-Langfang
386289,永华道水务局宿舍,廊坊,安次,永华明珠,1998,多层,永华道,116.6941573,39.50158916,2.0,20.0,,0,公寓住宅,民用,8.1,12,0.0,6944.0,Hebei,Langfang,Anci,Hebei-Langfang
386291,纬编厂宿舍,廊坊,安次,永华明珠,2000,多层,光明西道,116.6867232,39.50990492,2.0,30.0,,0,公寓住宅,民用,8.1,12,0.0,9235.0,Hebei,Langfang,Anci,Hebei-Langfang
386292,二轻综合楼,廊坊,安次,永华明珠,2000,小高层,银河南路,116.6914397,39.50233039,2.0,30.0,,0,公寓住宅,民用,7.6,12,0.0,6947.0,Hebei,Langfang,Anci,Hebei-Langfang
386293,煤炭五部综合楼,廊坊,安次,永华明珠,1995,多层,永华道96号,116.696276,39.50369019,2.0,20.0,,0,公寓住宅,民用,7.5,12,0.0,8800.0,Hebei,Langfang,Anci,Hebei-Langfang
386294,锦园小区,廊坊,安次,永华明珠,2005,高层,"银河南路,近廊霸路",116.6936643,39.47877873,,30.0,,0,公寓住宅,民用,7.1,12,0.0,9590.0,Hebei,Langfang,Anci,Hebei-Langfang
386295,波尔多花园,廊坊,安次,永华明珠,2006,多层,永华道,116.6940179,39.50302377,1.0,25.0,,120,公寓住宅,民用,7.6,12,0.0,9883.0,Hebei,Langfang,Anci,Hebei-Langfang
386296,华意楼,廊坊,安次,永华明珠,2000,多层|高层,银河南路,116.6924689,39.50365405,1.0,30.0,,90,公寓住宅,民用,7.8,12,0.0,10172.0,Hebei,Langfang,Anci,Hebei-Langfang
386297,永兴别墅,廊坊,安次,永华明珠,2015,低层,永兴路,116.6770879,39.51500436,,50.0,,0,别墅,民用,7.8,12,0.0,15865.0,Hebei,Langfang,Anci,Hebei-Langfang
386298,盛世弘德,廊坊,安次,永华明珠,2013,小高层|高层,永兴路,116.6809795,39.50309151,1.0,40.0,,99,公寓住宅,民用,7.9,12,0.0,6100.0,Hebei,Langfang,Anci,Hebei-Langfang
386299,玉锦乾坤,廊坊,安次,永华明珠,2011,多层,永华西道,116.6765317,39.50106405,,40.0,,0,公寓住宅,民用,7.6,12,0.0,12500.0,Hebei,Langfang,Anci,Hebei-Langfang
386286,企业局宿舍楼(安次),廊坊,安次,永华明珠,1999,多层|小高层,永华西道,116.6921051,39.50345517,1.0,20.0,,270,公寓住宅,民用,7.6,12,-0.05,8752.0,Hebei,Langfang,Anci,Hebei-Langfang
