id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
158045,碧园小区,大庆,红岗,红岗街道,2005,多层,南一街,124.8421726,46.44873612,,30.0,,94,公寓住宅,民用,7.0,12,0.0,2285.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158032,八百垧一区,大庆,红岗,红岗街道,1986,多层,八百垧北一街,124.8365119,46.44816585,1.0,20.0,,490,公寓住宅,民用,6.9,12,0.0,1046.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158041,杏五井小区,大庆,红岗,红岗街道,1986,多层,杏五井中街,124.888944,46.45252388,,20.0,,2550,公寓住宅,民用,6.5,12,0.72,1127.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158035,八百垧八区,大庆,红岗,红岗街道,1988,多层,八百垧中路,124.8364431,46.44823165,1.0,20.0,,746,公寓住宅,民用,7.0,12,-1.15,1108.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158036,八百垧九区,大庆,红岗,红岗街道,1990,多层,八百垧中路,124.8357874,46.45471315,1.0,20.0,,818,公寓住宅,民用,7.0,12,0.0,1293.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158037,八百垧三区,大庆,红岗,红岗街道,1989,多层,八百垧中路,124.8398195,46.45141812,1.0,20.0,,268,公寓住宅,民用,6.9,12,0.0,1015.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158038,八百垧二区,大庆,红岗,红岗街道,1988,多层,八百垧中路,124.8411986,46.45297695,1.0,20.0,,353,公寓住宅,民用,7.2,12,0.0,1037.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158040,图强小区,大庆,红岗,红岗街道,2000,多层,"图强街,近外爱民路",124.9424948,46.52008129,,30.0,,3432,公寓住宅,民用,6.7,12,-4.27,1457.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158042,解放小区,大庆,红岗,红岗街道,1980,多层,解放五街5号,124.974077,46.55253314,,20.0,,3110,公寓住宅,民用,6.2,12,0.0,1904.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158052,五星村小区,大庆,红岗,红岗街道,1988,多层,萨大中路,124.9328373,46.4961844,,20.0,,78,公寓住宅,民用,6.2,12,0.0,1750.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158029,八百垧十区,大庆,红岗,红岗街道,1988,多层,八百垧中路,124.8404402,46.45323842,1.0,20.0,,1286,公寓住宅,民用,6.9,12,-2.42,1079.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158022,银湖馨苑,大庆,红岗,红岗街道,2011,多层,"南五路,近创业大道",124.8763764,46.50165873,1.0,30.0,,2429,公寓住宅,民用,7.3,12,-0.35,2719.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158024,八百垧六区,大庆,红岗,红岗街道,1989,多层,八百垧中路,124.8436453,46.45879459,1.0,20.0,,826,公寓住宅,民用,7.1,12,-0.15,1142.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158025,八百垧十二区,大庆,红岗,红岗街道,2000,多层,八百垧南路,124.8444296,46.44796461,1.0,30.0,,1920,公寓住宅,民用,7.1,12,0.3,1149.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158047,红一村小区,大庆,红岗,红岗街道,2005,多层,张铁匠五街8号,124.8822994,46.42427969,,30.0,,328,公寓住宅,民用,6.5,12,0.0,1583.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
157880,八百垧四区,大庆,让胡路,八百垧,1988,多层,八百垧二街,124.8371819,46.45090214,1.0,20.0,,704,公寓住宅,民用,6.9,12,0.0,1093.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
157879,八百垧(七区),大庆,让胡路,八百垧,2000,多层,八百垧中路,124.8452552,46.45874057,1.0,30.0,,1634,公寓住宅,民用,7.0,12,-1.76,1078.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
157859,银河家园莲花苑C区(银浪新城),大庆,让胡路,银浪,2011,多层,银杉街,124.8758648,46.50458524,,12.0,,1660,公寓住宅,民用,7.1,12,-0.72,3117.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
157881,红卫小区,大庆,让胡路,八百垧,1989,多层,"八百垧北路,近互助路",124.8547921,46.48531815,,20.0,,4944,公寓住宅,民用,6.7,12,-1.94,1133.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158048,红岗区中心村,大庆,红岗,红岗街道,1999,多层,萨大中路,124.9719932,46.55400293,,20.0,,1700,公寓住宅,民用,6.5,12,0.0,2611.0,Heilongjiang,Daqing,Honggang,Heilongjiang-Daqing
158453,联想科技城,大庆,高新区,八一农大,2013,多层|小高层|高层,博学大街,125.1543569,46.58169459,1.0,55.0,,4051,公寓住宅,民用,7.8,12,-0.6,4920.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158450,玖玺首府,大庆,高新区,六十九中二部,2021,高层,"阳光大街,近安萨路",125.1565059,46.56310526,,35.0,,4828,公寓住宅,民用,7.6,12,0.57,6409.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158444,尚都大厦,大庆,高新区,机关五小,2005,多层,火炬新街,125.140531,46.57381842,1.0,30.0,,0,公寓住宅,民用,7.5,12,0.0,3850.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158448,御书苑,大庆,高新区,六十九中二部,2018,多层|高层,新科路,125.1582509,46.56516483,1.0,30.0,,1364,公寓住宅,民用,8.0,12,0.0,7174.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158447,花蔓溪谷,大庆,高新区,六十九中二部,2015,多层|小高层|高层,安萨路,125.158837,46.56255755,1.0,55.0,,1564,公寓住宅,民用,7.8,12,-0.03,6730.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158446,中央大都会(北区),大庆,高新区,机关五小,2014,多层,纬二路,125.1341251,46.57337197,1.0,55.0,,4554,公寓住宅,民用,8.3,12,0.0,6690.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158445,id公馆,大庆,高新区,机关五小,2010,高层,信息路4号,125.1408716,46.57448464,1.0,30.0,,0,商住楼,商用,7.6,12,0.0,3125.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158443,开发区兴化街30-1号住宅楼,大庆,高新区,机关五小,2000,多层,兴化街30-1号,125.1425216,46.57347671,1.0,30.0,,30,公寓住宅,民用,7.6,12,0.0,3500.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158449,新城云水湾,大庆,高新区,六十九中二部,2015,高层,安萨路109号,125.1686206,46.56127757,1.0,36.0,,1084,公寓住宅,民用,7.9,12,-0.43,6170.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158455,凯旋附属综合楼,大庆,高新区,八一农大,2000,高层,火炬新街8号,125.1334377,46.56896256,,30.0,,54,公寓住宅,民用,7.8,12,0.0,4625.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158461,南湖景苑,大庆,高新区,祥阁学校,2011,多层|高层,建设路143号,125.1259934,46.58380315,1.0,55.0,,925,公寓住宅,民用,8.8,12,0.0,7203.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
157909,华溪龙城(二期),大庆,龙凤,三永湖,2011,多层,龙凤大街,125.1320725,46.55985401,1.0,75.0,,1450,公寓住宅,民用,8.2,12,0.28,5267.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
157908,华溪龙城(一期),大庆,龙凤,三永湖,2011,多层,龙凤大街,125.1340371,46.55745614,1.0,13.3,,1634,公寓住宅,民用,7.8,12,2.41,6115.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
157907,瀚城名苑,大庆,龙凤,三永湖,2011,多层,东风路66号,125.1118651,46.57372171,1.0,85.0,,2640,公寓住宅,民用,8.4,12,-0.58,5878.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
157906,东城领秀聚福园,大庆,龙凤,三永湖,2004,高层,"凤德街,近龙达路",125.1464085,46.53910813,1.0,22.5,,2528,公寓住宅,民用,7.6,12,-0.09,4414.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
157905,东城领秀华彩园,大庆,龙凤,三永湖,2008,多层,龙腾路8号,125.1290362,46.55461743,1.0,30.0,,3029,公寓住宅,民用,7.9,12,0.33,5467.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
157904,东城领秀明秀园,大庆,龙凤,三永湖,2008,多层,凤凰路,125.1381757,46.54896173,1.0,80.0,,2094,公寓住宅,民用,8.0,12,0.07,5479.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158463,湖滨花园(龙凤),大庆,高新区,祥阁学校,2016,多层,富民街,125.1236655,46.57378943,1.0,88.0,,1746,公寓住宅,民用,8.7,12,-0.11,5020.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158462,新村(十区),大庆,高新区,祥阁学校,2006,多层,天贺街4号,125.1263656,46.5753468,1.0,30.0,,1852,公寓住宅,民用,8.5,12,-0.17,5486.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158442,祥阁汽配城,大庆,高新区,机关五小,2011,多层,安萨路19号,125.1447369,46.56346311,1.0,30.0,,461,公寓住宅,民用,7.9,12,0.0,3505.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158460,祥阁花园,大庆,高新区,祥阁学校,2011,多层,发展路,125.1342877,46.58856205,1.0,60.0,,2276,公寓住宅,民用,8.4,12,0.81,7595.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158459,海域绿洲半岛(公寓住宅),大庆,高新区,阿斯兰小镇,2013,多层,安萨路1号,125.1604322,46.56875658,,30.0,,0,公寓住宅,民用,7.0,12,0.0,5200.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158456,摩码休闲广场,大庆,高新区,八一农大,2015,高层|超高层,博学大街17号,125.1515891,46.58474312,1.0,55.0,,1682,公寓住宅,民用,7.5,12,0.0,3955.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158441,金鹰国际,大庆,高新区,机关五小,2014,高层,火炬新街24号,125.1398692,46.5732307,1.0,30.0,,375,公寓住宅,民用,8.2,12,0.0,4042.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158432,融创融公馆,大庆,高新区,机关五小,2019,高层,阳光东街8号,125.1665188,46.56599273,1.0,31.26,,536,公寓住宅,民用,7.9,12,0.8,6906.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158439,银府寓园,大庆,高新区,机关五小,2011,多层,双拥街8号,125.1305887,46.57399736,1.0,70.0,,280,公寓住宅,民用,8.8,12,0.22,4834.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158011,东光小区,大庆,龙凤,龙北,2011,多层,凤阳路477号,125.0569288,46.55841738,1.0,25.0,,2302,公寓住宅,民用,6.8,12,4.62,2364.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
158013,二十四栋小区,大庆,龙凤,龙凤镇,1996,多层,凤华街,125.1134613,46.51805353,,20.0,,1530,公寓住宅,民用,7.0,12,-1.58,3234.0,Heilongjiang,Daqing,Longfeng,Heilongjiang-Daqing
