id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
358701,时代奥城,佳木斯,富锦,中央商厦,,多层,中央大街,132.0207322,47.24376968,,,,0,公寓住宅,民用,7.2,12,0.0,3406.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358659,文博小区,佳木斯,富锦,中央商厦,,多层,南二街,132.0352727,47.25911756,,,,0,公寓住宅,民用,6.9,12,0.0,3000.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358658,福居嘉园,佳木斯,富锦,中央商厦,,多层,新开路,132.034679,47.23717519,,,,0,公寓住宅,民用,6.8,12,0.0,2900.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358656,翰林小区,佳木斯,富锦,中央商厦,,多层,南二街,132.0383295,47.25921119,,,,0,公寓住宅,民用,6.8,12,0.0,3000.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358655,富锦向阳社区,佳木斯,富锦,中央商厦,,多层,向阳路,132.0349442,47.25238356,,,,0,公寓住宅,民用,7.0,12,0.0,3000.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358654,富拖家属楼,佳木斯,富锦,中央商厦,,多层,中央大街,132.016327,47.24490455,,,,0,公寓住宅,民用,6.8,12,0.0,4000.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358687,星语新苑B区,佳木斯,富锦,中央商厦,,多层,南七街,132.0387305,47.25375367,,,,0,公寓住宅,民用,6.8,12,0.0,3484.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358688,秀水茗苑,佳木斯,富锦,中央商厦,,多层,中央大街,132.0371822,47.24777819,,,,0,公寓住宅,民用,7.5,12,0.0,4285.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358689,西沙北区,佳木斯,富锦,中央商厦,,多层,西沙街5号,132.0140722,47.24799212,,,,0,公寓住宅,民用,6.8,12,0.0,3006.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358702,时代鑫城,佳木斯,富锦,中央商厦,,高层,西平路,132.0202106,47.24121505,,,,0,公寓住宅,民用,6.6,12,0.0,4210.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358690,枫悦家园,佳木斯,富锦,中央商厦,,小高层,进思大街,132.0281738,47.25464417,,,,0,公寓住宅,民用,6.8,12,0.0,3993.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358660,明苑小区,佳木斯,富锦,中央商厦,,多层,新开路,132.0318206,47.23853825,,,,0,公寓住宅,民用,6.8,12,0.0,4100.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
358693,东祥花园(B区),佳木斯,富锦,中央商厦,,高层,东平路,132.0394055,47.25754197,,,,0,公寓住宅,民用,6.9,12,0.0,3658.0,Heilongjiang,Jiamusi,Fujin,Heilongjiang-Jiamusi
