id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
359633,城山家园,鸡西,城子河,城子河城区,,多层,民强街,131.0057013,45.34375939,,,,0,公寓住宅,民用,6.9,12,0.0,2750.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359623,金三角汽车贸易物流中心综合楼,鸡西,城子河,城子河城区,,多层,佳和路43-1号,130.9917037,45.31699652,,,,0,公寓住宅,民用,6.8,12,0.0,1550.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359624,晨兴小区,鸡西,城子河,城子河城区,,多层,民强街,131.0015132,45.34716433,,,,0,公寓住宅,民用,6.9,12,0.0,2000.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359625,城子河花园小区,鸡西,城子河,城子河城区,,多层,城子河中心医院西北侧,131.0044222,45.34799558,,,,0,公寓住宅,民用,6.9,12,0.0,2000.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359626,金丰小区,鸡西,城子河,城子河城区,,多层,政祥路,130.9937007,45.31676178,,,,0,公寓住宅,民用,6.6,12,0.0,1000.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359627,海富家园,鸡西,城子河,城子河城区,,多层,红房街,130.9948155,45.33837538,,,,0,公寓住宅,民用,6.9,12,0.0,2000.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359628,兴城小区,鸡西,城子河,城子河城区,,多层,民强街,131.005811,45.33705199,,,,0,公寓住宅,民用,6.9,12,0.0,1700.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359629,新华新村,鸡西,城子河,城子河城区,,多层,政祥路,130.989811,45.31722253,,,,0,公寓住宅,民用,6.9,12,0.0,1500.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359630,锅炉厂综合楼,鸡西,城子河,城子河城区,,多层,中心大街,130.9912374,45.31256578,,,,0,公寓住宅,民用,7.0,12,0.0,2900.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359631,桥北小二层公寓自建房,鸡西,城子河,城子河城区,,低层,中心大街,130.9959045,45.31634626,,,,0,,暂无,6.7,12,0.0,700.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359632,宏寓嘉园,鸡西,城子河,城子河城区,,小高层,"民育街,近政祥路",130.9893919,45.31525739,,,,0,公寓住宅,民用,6.9,12,0.0,1500.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359642,金地小区,鸡西,城子河,城子河城区,,多层,中心大街,130.9990643,45.33844875,,,,0,公寓住宅,民用,7.1,12,0.0,5384.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359641,荣华家园,鸡西,城子河,城子河城区,,多层,中心大街,130.998976,45.33539561,,,,0,公寓住宅,民用,6.6,12,0.0,3100.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359640,幸福家园(城子河),鸡西,城子河,城子河城区,,多层,红房街,130.9959165,45.33877675,,,,0,公寓住宅,民用,6.9,12,0.0,2561.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359639,城花小区,鸡西,城子河,城子河城区,,多层,政通路,131.001247,45.33584534,,,,0,公寓住宅,民用,6.8,12,0.0,2465.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359638,花园新区,鸡西,城子河,城子河城区,,多层,新医路,131.0032151,45.35445816,,,,0,公寓住宅,民用,6.6,12,0.0,3241.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359637,阳光家园(城子河),鸡西,城子河,城子河城区,,多层,新医路,131.0049285,45.34377637,,,,0,公寓住宅,民用,6.8,12,0.0,3985.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359636,聚龙家园,鸡西,城子河,城子河城区,,多层,中心大街,130.9955853,45.32384463,,,,0,公寓住宅,民用,6.8,12,0.0,3083.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359622,锦城小镇,鸡西,城子河,城子河城区,,多层,新医路,131.007042,45.3381663,,,,0,公寓住宅,民用,6.8,12,0.0,1380.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359635,永丰乡永平村自建房,鸡西,城子河,城子河城区,,低层,"兴雅路,近中心大街",130.994488,45.3168647,,,,0,,暂无,6.8,12,0.0,900.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359276,滨水颐园,鸡西,鸡冠,鸡冠城区,,多层,中心大街,130.9904376,45.31269778,,,,0,公寓住宅,民用,6.8,12,-0.1,4441.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359634,玉城新苑,鸡西,城子河,城子河城区,,多层,"政清路,近民业街",131.001009,45.33938795,,,,0,公寓住宅,民用,7.0,12,0.0,1450.0,Heilongjiang,Jixi,Chengzihe,Heilongjiang-Jixi
359650,光华家园,鸡西,滴道,滴道城区,,多层,"荣兴街,近光华路",130.8372355,45.3499936,,,,0,公寓住宅,民用,6.8,12,0.0,1450.0,Heilongjiang,Jixi,Didao,Heilongjiang-Jixi
359649,宽勋6号楼,鸡西,滴道,滴道城区,,多层,东二路,130.8434396,45.34797598,,,,0,公寓住宅,民用,6.7,12,0.0,2000.0,Heilongjiang,Jixi,Didao,Heilongjiang-Jixi
359644,盛和家园二期,鸡西,滴道,滴道城区,,多层,008乡道,130.8443681,45.3537255,,,,0,公寓住宅,民用,6.5,12,0.0,1500.0,Heilongjiang,Jixi,Didao,Heilongjiang-Jixi
359645,鑫锦嘉园,鸡西,滴道,滴道城区,,多层,建华路,130.8391272,45.35196185,,,,0,公寓住宅,民用,6.6,12,0.0,2000.0,Heilongjiang,Jixi,Didao,Heilongjiang-Jixi
359646,红胜花园(滴道),鸡西,滴道,滴道城区,,多层,中心街,130.8376687,45.34861123,,,,0,公寓住宅,民用,6.7,12,0.0,1800.0,Heilongjiang,Jixi,Didao,Heilongjiang-Jixi
359647,吉祥家园,鸡西,滴道,滴道城区,,多层,建华路,130.8402455,45.35252789,,,,0,公寓住宅,民用,6.6,12,0.0,2050.0,Heilongjiang,Jixi,Didao,Heilongjiang-Jixi
359643,瑞景家园,鸡西,滴道,滴道城区,,多层,方虎路,130.8450205,45.34539825,,,,0,公寓住宅,民用,6.9,12,0.0,1700.0,Heilongjiang,Jixi,Didao,Heilongjiang-Jixi
359657,金铁鑫村,鸡西,滴道,滴道城区,,多层,008乡道,130.8428612,45.35452484,,,,0,公寓住宅,民用,6.2,12,0.0,2150.0,Heilongjiang,Jixi,Didao,Heilongjiang-Jixi
