id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
359746,祥和景华苑,济源,济水,济水城区,,小高层,济水大街中段1039号,112.5755388,35.08995902,,30.0,32000.0,0,公寓住宅,民用,7.9,12,0.0,6111.0,Henan,,Jiyuan,Henan-Henan
359747,隆发时代天下城,济源,济水,济水城区,,多层|小高层,沁园中路110号,112.5997847,35.09137833,,36.0,17560.0,0,公寓住宅,民用,7.8,12,0.0,7241.0,Henan,,Jiyuan,Henan-Henan
359878,虎岭财富广场,济源,天坛,天坛城区,,多层,黄河大道,112.5504996,35.07364426,,39.0,160574.0,0,公寓住宅,民用,7.3,12,0.0,7200.0,Henan,,Jiyuan,Henan-Henan
359748,鸿运家苑,济源,济水,济水城区,,小高层,济水大街中段521号,112.5891729,35.08839622,,35.0,20000.0,0,公寓住宅,民用,8.0,12,0.0,6393.0,Henan,,Jiyuan,Henan-Henan
359692,建业壹号城邦,济源,济水,济水城区,,小高层,愚公路,112.6109647,35.07973804,,38.0,400000.0,8,公寓住宅,民用,7.5,12,-0.14,11075.0,Henan,,Jiyuan,Henan-Henan
359694,升龙城,济源,济水,济水城区,,小高层,"黄河大道,近东环路",112.6122262,35.063433,,45.0,650000.0,0,公寓住宅,民用,7.1,12,0.28,9537.0,Henan,,Jiyuan,Henan-Henan
359695,泰宏天安广场,济源,济水,济水城区,,小高层,"黄河大道,近愚公路",112.6149742,35.06847959,,35.0,480000.0,0,公寓住宅,民用,7.2,12,-0.37,8824.0,Henan,,Jiyuan,Henan-Henan
359762,世纪华城,济源,济水,济水城区,,小高层,文昌路,112.588155,35.06735063,,35.0,100000.0,3,公寓住宅,民用,7.3,12,-0.01,8415.0,Henan,,Jiyuan,Henan-Henan
359696,豫港花园,济源,济水,济水城区,,小高层,愚公路,112.6124225,35.08768343,,42.0,190000.0,3,公寓住宅,民用,7.8,12,0.01,9428.0,Henan,,Jiyuan,Henan-Henan
359755,桂苑,济源,济水,济水城区,,小高层,"济水大街,近河合北路",112.6048642,35.09213098,,35.0,54000.0,0,公寓住宅,民用,8.0,12,0.0,9915.0,Henan,,Jiyuan,Henan-Henan
359753,印象新城,济源,济水,济水城区,,小高层,"济水大街,近沁园路",112.599103,35.09324908,,45.0,80000.0,0,公寓住宅,民用,8.2,12,0.0,5686.0,Henan,,Jiyuan,Henan-Henan
359697,东方国际公馆,济源,济水,济水城区,,小高层,济源大道,112.6103628,35.07643126,,46.0,400000.0,0,公寓住宅,民用,7.7,12,-0.37,10511.0,Henan,,Jiyuan,Henan-Henan
359699,山水世界城,济源,济水,济水城区,,小高层,愚公路88号,112.606845,35.06991436,,42.0,200000.0,1,公寓住宅,民用,7.4,12,0.43,8928.0,Henan,,Jiyuan,Henan-Henan
359714,隆发曼哈顿,济源,济水,济水城区,,高层,宣化街,112.586872,35.09248455,,37.0,56000.0,0,公寓住宅,民用,8.5,12,0.12,8691.0,Henan,,Jiyuan,Henan-Henan
359713,锦绣水岸名家,济源,济水,济水城区,,小高层,"济水大街,近愚公路",112.6078566,35.09171232,,30.0,52193.0,0,公寓住宅,民用,7.5,12,-0.87,8648.0,Henan,,Jiyuan,Henan-Henan
359738,长基国际广场,济源,济水,济水城区,,高层,"济源大道,近文昌路",112.5861454,35.07679091,,41.0,125000.0,0,公寓住宅,民用,8.4,12,0.0,6067.0,Henan,,Jiyuan,Henan-Henan
359736,阳光名苑,济源,济水,济水城区,,小高层,黄河大道中段58号,112.5832196,35.06931231,,30.0,31000.0,1,公寓住宅,民用,7.3,12,0.0,9567.0,Henan,,Jiyuan,Henan-Henan
359732,恒通滨河花苑,济源,济水,济水城区,,小高层|高层,天坛路,112.5694153,35.08627844,,42.0,320000.0,0,公寓住宅,民用,7.9,12,0.0,9481.0,Henan,,Jiyuan,Henan-Henan
359731,国泰花园,济源,济水,济水城区,,小高层,"黄河大道,近汤帝路",112.5776218,35.07125131,,35.0,13000.0,2,公寓住宅,民用,7.6,12,-0.38,8521.0,Henan,,Jiyuan,Henan-Henan
359698,泉水湾,济源,济水,济水城区,,小高层,"济水大道,近愚公路",112.6134895,35.09068299,,45.0,180000.0,2,公寓住宅,民用,8.1,12,1.47,9633.0,Henan,,Jiyuan,Henan-Henan
359700,建业森林半岛,济源,济水,济水城区,,高层,沁园北路2号,112.6000545,35.0984307,,40.0,30000.0,0,公寓住宅,民用,8.4,12,3.16,9400.0,Henan,,Jiyuan,Henan-Henan
359702,隆兴水岸香洲,济源,济水,济水城区,,小高层,"文昌路,近滨河南街",112.590866,35.08349649,,39.0,160000.0,0,公寓住宅,民用,8.6,12,1.59,9695.0,Henan,,Jiyuan,Henan-Henan
359703,滨河花园,济源,济水,济水城区,,小高层,周园路555号,112.5837493,35.08479793,,35.0,71624.0,0,公寓住宅,民用,8.3,12,0.0,8436.0,Henan,,Jiyuan,Henan-Henan
