id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
351983,龙源世家,焦作,山阳,山阳城区,,多层|小高层,迎宾路19号,113.2455316,35.20385744,,40.0,150000.0,1,公寓住宅,民用,7.8,12,-2.17,6761.0,Henan,Jiaozuo,Jiefang,Henan-Jiaozuo
351998,正大花和院,焦作,山阳,山阳城区,2012,多层,"建设路,近普济路",113.2068279,35.22231141,,36.3,93270.0,0,公寓住宅,民用,8.1,12,-0.63,6892.0,Henan,Jiaozuo,Jiefang,Henan-Jiaozuo
352256,西城家园,焦作,解放,解放城区,2016,小高层|高层,"新园路,近普济路",113.2059756,35.23216258,,38.4,491100.0,4100,公寓住宅,民用,8.3,12,-0.44,6956.0,Henan,Jiaozuo,Jiefang,Henan-Jiaozuo
352258,赛纳溪谷,焦作,解放,解放城区,2014,多层|小高层,"太行路,近健康路",113.2097317,35.25188044,,41.0,250000.0,0,公寓住宅,民用,8.3,12,2.18,7323.0,Henan,Jiaozuo,Jiefang,Henan-Jiaozuo
352260,万联世纪城,焦作,解放,解放城区,,高层,"建设路,近友谊路",113.2236218,35.22919865,,40.0,130000.0,2,公寓住宅,民用,8.4,12,-0.27,7775.0,Henan,Jiaozuo,Jiefang,Henan-Jiaozuo
352261,西城美苑,焦作,解放,解放城区,2012,多层|高层,"解放路,近普济路",113.2090342,35.24355786,,41.0,260000.0,1,公寓住宅,民用,8.2,12,-0.49,6590.0,Henan,Jiaozuo,Jiefang,Henan-Jiaozuo
352266,锦江现代城(东区),焦作,解放,解放城区,2012,高层,"民主南路,近人民路",113.2308361,35.21525149,,43.0,330000.0,0,公寓住宅,民用,8.0,12,0.41,7885.0,Henan,Jiaozuo,Jiefang,Henan-Jiaozuo
352005,峰华都市花园,焦作,山阳,山阳城区,2013,多层,"人民路,近光明路",113.2254272,35.20987742,,42.0,300000.0,3,公寓住宅,民用,7.8,12,-0.8,6257.0,Henan,Jiaozuo,Jiefang,Henan-Jiaozuo
352251,锦绣江南(解放),焦作,高新,万达广场,2014,多层|高层,"民主南路,近丰收路",113.23005,35.20319319,,42.0,220000.0,2,公寓住宅,民用,7.7,12,-0.01,7652.0,Henan,Jiaozuo,Jiefang,Henan-Jiaozuo
352132,太极中央瀚邸,焦作,山阳,山阳城区,,高层,人民路867号,113.2411216,35.2159561,,45.0,,0,公寓住宅,民用,7.8,12,0.0,6236.0,Henan,Jiaozuo,Jiefang,Henan-Jiaozuo
352229,同和春天,焦作,山阳,山阳城区,2018,小高层|高层,太行路,113.2318323,35.25140505,,35.8,42587.0,238,公寓住宅,民用,7.7,12,0.0,5600.0,Henan,Jiaozuo,Jiefang,Henan-Jiaozuo
