id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
375744,中城花园,开封,龙亭,龙亭区,,高层,西大街12号,114.3490746,34.79995194,,,,0,公寓住宅,民用,7.9,12,0.0,6950.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375743,紫香阁,开封,龙亭,龙亭区,,高层,金明东街46号,114.3005486,34.79007288,,40.0,,0,公寓住宅,民用,7.9,12,0.0,12244.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375741,宋苑名家,开封,龙亭,龙亭区,,高层,宋城路,114.3070712,34.78744078,,,,0,公寓住宅,民用,7.4,12,0.0,7446.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375688,小北岗新村,开封,龙亭,龙亭区,,多层,西环城路,114.3237626,34.81108135,,,,0,公寓住宅,民用,7.3,12,0.0,8069.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375739,新黄校家属院,开封,龙亭,龙亭区,,多层,粱苑路,114.3182111,34.83027339,,,,0,公寓住宅,民用,6.7,12,0.0,4218.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375738,文化新村,开封,龙亭,龙亭区,,高层,西兴隆街35号,114.3336151,34.80342043,,,,0,公寓住宅,民用,7.5,12,0.0,3859.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375737,黄河苑,开封,龙亭,龙亭区,,高层,黄河大街3号,114.3155532,34.79924702,,,,0,公寓住宅,民用,8.0,12,0.0,4166.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375736,夷山花园,开封,龙亭,龙亭区,,高层,夷山大街,114.3057817,34.79687567,,,,0,公寓住宅,民用,7.6,12,0.0,5188.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375745,锦阳小区,开封,龙亭,龙亭区,,高层,大梁路18号,114.3184059,34.80274927,,,,0,公寓住宅,民用,8.3,12,0.0,5000.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375735,新惠华府,开封,龙亭,龙亭区,,高层,金明大道,114.2949885,34.79133179,,35.0,,0,公寓住宅,民用,7.6,12,0.0,6681.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375734,清怡花园,开封,龙亭,龙亭区,,高层,北仁义胡同20号,114.3318017,34.80491107,,,,0,公寓住宅,民用,7.6,12,0.0,5943.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375733,幸福庄园,开封,龙亭,龙亭区,,高层,魏都路16号,114.3084877,34.7771908,,,,0,公寓住宅,民用,6.9,12,0.0,4833.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375740,龙基花园,开封,龙亭,龙亭区,2015,高层,育新街17号,114.3218456,34.80605101,,,,0,公寓住宅,民用,7.8,12,0.0,6314.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375754,夷山郦城,开封,龙亭,龙亭区,2009,高层,夷山大街6号,114.30585,34.78386768,,36.0,,0,公寓住宅,民用,8.0,12,0.0,6758.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375748,长城公寓,开封,龙亭,龙亭区,,高层,金裕路16号,114.2857654,34.80609567,,,,0,公寓住宅,民用,6.8,12,0.0,5940.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375763,武夷路建行干校家属院,开封,龙亭,龙亭区,,多层,武夷路25号,114.3122788,34.80163843,,,,0,公寓住宅,民用,7.9,12,0.0,6060.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375762,安泰警苑,开封,龙亭,龙亭区,,多层,黄河大街,114.3184382,34.81564642,,,,0,公寓住宅,民用,7.4,12,0.0,5258.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375761,武夷路河大家属院,开封,龙亭,龙亭区,,多层,武夷路26号,114.3130487,34.80005673,,,,0,公寓住宅,民用,7.7,12,0.0,4741.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375760,溪竹苑,开封,龙亭,龙亭区,,高层,集英街269号,114.2839971,34.80953484,,,,0,公寓住宅,民用,6.9,12,0.0,5666.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375759,八一小区,开封,龙亭,龙亭区,,高层,集英街152号,114.2857126,34.80421685,,,,0,公寓住宅,民用,6.8,12,0.0,4779.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375758,体育局家属院,开封,龙亭,龙亭区,,多层,黄河大街37号,114.315789,34.80555516,,,,0,公寓住宅,民用,7.5,12,0.0,8076.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375757,天颐小区,开封,龙亭,龙亭区,,高层,翠园东街1号,114.3206266,34.78742791,,,,0,公寓住宅,民用,7.6,12,0.0,5000.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375756,宏泰竹韵邨,开封,龙亭,龙亭区,,高层,万胜路70号,114.3110909,34.805029,,,,0,公寓住宅,民用,7.5,12,0.0,5936.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375732,新河大二十一号家属院,开封,龙亭,龙亭区,,多层,万胜路79号,114.3018831,34.80911031,,,,0,公寓住宅,民用,7.7,12,0.0,5779.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375753,宋城花园,开封,龙亭,龙亭区,,高层,宋城路65号,114.3109016,34.78744248,,,,0,公寓住宅,民用,7.5,12,0.0,5492.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375752,文庙小区,开封,龙亭,龙亭区,,高层,文庙街2号,114.3527387,34.80206201,,,,0,公寓住宅,民用,8.0,12,0.0,6282.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375751,新农机局家属院,开封,龙亭,龙亭区,,高层,黄河大街1号,114.314354,34.79001471,,,,0,公寓住宅,民用,7.6,12,0.0,5762.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375750,竹韵屯,开封,龙亭,龙亭区,,高层,万胜路,114.3104616,34.80468829,,,,0,公寓住宅,民用,7.3,12,0.0,6636.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375749,大宏华庭贵府,开封,龙亭,龙亭区,,高层,小巴屯一街,114.3789615,34.80655757,,,,0,公寓住宅,民用,7.1,12,0.0,4912.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375747,鑫汇花园,开封,龙亭,龙亭区,,高层,黄河路54号,114.3130251,34.77932678,,,,0,公寓住宅,民用,7.2,12,0.0,6105.0,Henan,Kaifeng,Longting,Henan-Kaifeng
375731,金明丽苑,开封,龙亭,龙亭区,,高层,魏都路142号,114.2987049,34.78036552,,,,0,公寓住宅,民用,6.9,12,0.0,6585.0,Henan,Kaifeng,Longting,Henan-Kaifeng
