id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
418667,巴山苑,漯河,郾城,郾城城区,,多层,巴山路94号,113.988199,33.59140358,,,,0,公寓住宅,民用,7.2,12,0.0,4189.0,Henan,Luohe,Yancheng,Henan-Luohe
418666,大高庄村自建房,漯河,郾城,郾城城区,,多层,大高庄南街,114.0308094,33.58645603,,,,0,,暂无,7.9,12,,,Henan,Luohe,Yancheng,Henan-Luohe
418745,嵩山春天,漯河,郾城,郾城城区,,小高层,嫩江路,114.0107926,33.60765272,,,,0,公寓住宅,民用,7.2,12,0.0,5748.0,Henan,Luohe,Yancheng,Henan-Luohe
418670,纳雅39公馆,漯河,郾城,郾城城区,,高层,嵩山北路,114.0080767,33.58298217,,,,0,公寓住宅,民用,7.7,12,0.0,4000.0,Henan,Luohe,Yancheng,Henan-Luohe
418778,发改家园,漯河,郾城,郾城城区,,多层,泰山路,114.0204845,33.59574009,,,,0,公寓住宅,民用,7.6,12,0.0,5800.0,Henan,Luohe,Yancheng,Henan-Luohe
418779,公路新苑,漯河,郾城,郾城城区,,多层,黄河路197号,114.044649,33.58520143,,,,1,公寓住宅,民用,7.7,12,0.0,8012.0,Henan,Luohe,Yancheng,Henan-Luohe
418780,政法委家属院,漯河,郾城,郾城城区,,多层,"海河路,近崂山路",114.025277,33.58937124,,,,0,公寓住宅,民用,7.7,12,0.0,7800.0,Henan,Luohe,Yancheng,Henan-Luohe
418781,怡水华庭,漯河,郾城,郾城城区,,高层,邙山路,114.0459643,33.58939358,,,,0,公寓住宅,民用,7.3,12,0.0,4687.0,Henan,Luohe,Yancheng,Henan-Luohe
418782,泰威文苑,漯河,郾城,郾城城区,,高层,黄山路,114.0151408,33.58879651,,,,0,公寓住宅,民用,8.3,12,0.0,6555.0,Henan,Luohe,Yancheng,Henan-Luohe
418783,慧展壹号,漯河,郾城,郾城城区,,高层,嵩山路,114.0087259,33.59689065,,30.0,160000.0,0,公寓住宅,民用,7.5,12,0.0,6632.0,Henan,Luohe,Yancheng,Henan-Luohe
418784,公路局家属院,漯河,郾城,郾城城区,,多层,泰山北路41号,114.0174179,33.59481693,,,,0,公寓住宅,民用,7.9,12,0.0,8181.0,Henan,Luohe,Yancheng,Henan-Luohe
418777,金地苑,漯河,郾城,郾城城区,,小高层,辽河路994号,113.9852219,33.59383948,,,,0,公寓住宅,民用,7.0,12,0.0,4957.0,Henan,Luohe,Yancheng,Henan-Luohe
418785,怡翠园,漯河,郾城,郾城城区,,多层,交通北路,114.0330466,33.59005026,,,,4,公寓住宅,民用,6.8,12,0.0,4516.0,Henan,Luohe,Yancheng,Henan-Luohe
418787,银河湾银鸽新苑,漯河,郾城,东外滩商业广场,,高层,金山路888号,114.057451,33.58204983,,,,2,公寓住宅,民用,7.3,12,0.46,6250.0,Henan,Luohe,Yancheng,Henan-Luohe
418788,建业桂园(郾城),漯河,郾城,东外滩商业广场,,高层,"千山路,近淞江路",114.0626014,33.59811839,,,,0,公寓住宅,民用,6.9,12,-0.47,7933.0,Henan,Luohe,Yancheng,Henan-Luohe
418789,经贸委家属楼,漯河,郾城,东外滩商业广场,,多层,"辽河路,近外贸巷",113.9882391,33.59323804,,,,0,公寓住宅,民用,7.3,12,0.0,4350.0,Henan,Luohe,Yancheng,Henan-Luohe
418790,建业壹号城邦东区(郾城),漯河,郾城,漯河国际会展中心,,小高层|高层,会展路,114.0094635,33.60570907,,,,0,公寓住宅,民用,6.2,12,0.06,8288.0,Henan,Luohe,Yancheng,Henan-Luohe
418791,嘉业城市花园(3期),漯河,郾城,漯河国际会展中心,,多层|小高层|高层,育才路,114.0212842,33.59958763,,,,0,公寓住宅,民用,7.4,12,1.18,7532.0,Henan,Luohe,Yancheng,Henan-Luohe
418792,昌建五悦里2期,漯河,郾城,漯河国际会展中心,,高层,"嫩江路,近黄山路",114.0164797,33.606889,,,,0,公寓住宅,民用,7.1,12,-1.14,8052.0,Henan,Luohe,Yancheng,Henan-Luohe
418793,嘉业城市花园(2期),漯河,郾城,漯河国际会展中心,,多层|小高层|高层,淞江路,114.0207684,33.5984306,,,,0,公寓住宅,民用,7.4,12,-2.66,7788.0,Henan,Luohe,Yancheng,Henan-Luohe
418786,金地兰乔圣菲,漯河,郾城,东外滩商业广场,,高层,黄河路337号,114.0353539,33.58711627,,37.0,184430.0,21,公寓住宅,民用,8.0,12,-2.11,7224.0,Henan,Luohe,Yancheng,Henan-Luohe
418794,中城公馆,漯河,郾城,漯河国际会展中心,,小高层|高层,"太行山路,近淞江路",113.9991844,33.59914758,,,,0,商住楼,商用,7.4,12,0.0,4000.0,Henan,Luohe,Yancheng,Henan-Luohe
418775,农业局家属院,漯河,郾城,郾城城区,,小高层,黄河路870号,114.0075073,33.58568362,,,,0,公寓住宅,民用,7.8,12,0.0,9567.0,Henan,Luohe,Yancheng,Henan-Luohe
418773,绿茵新苑,漯河,郾城,郾城城区,,高层,太行山路北段,114.000343,33.63097735,,,,0,公寓住宅,民用,6.6,12,0.0,2535.0,Henan,Luohe,Yancheng,Henan-Luohe
418757,阳光大厦,漯河,郾城,郾城城区,,高层,牡丹江西路,114.0030861,33.60375662,,,,0,公寓住宅,民用,7.3,12,0.0,4130.0,Henan,Luohe,Yancheng,Henan-Luohe
418758,百合园,漯河,郾城,郾城城区,,小高层,太行山路北段,114.0002424,33.60405952,,,,0,公寓住宅,民用,7.2,12,0.0,3300.0,Henan,Luohe,Yancheng,Henan-Luohe
418759,鸿安世纪苑,漯河,郾城,郾城城区,,高层,黄河路837号,114.0043886,33.58664595,,,,0,公寓住宅,民用,8.3,12,0.0,5219.0,Henan,Luohe,Yancheng,Henan-Luohe
418760,人行家属院,漯河,郾城,郾城城区,,小高层,"泰山路,近海河路",114.0007393,33.58861897,,,,1,公寓住宅,民用,7.8,12,0.0,6800.0,Henan,Luohe,Yancheng,Henan-Luohe
418761,民政局家属院(郾城),漯河,郾城,郾城城区,,多层,海河路,114.0129983,33.58864437,,,,0,公寓住宅,民用,7.8,12,0.0,7187.0,Henan,Luohe,Yancheng,Henan-Luohe
418762,桃园山庄,漯河,郾城,郾城城区,,多层,黄河路,114.0411211,33.58897697,,,,0,公寓住宅,民用,6.9,12,0.0,3000.0,Henan,Luohe,Yancheng,Henan-Luohe
418763,黄河花园,漯河,郾城,郾城城区,,高层,黄河西路,113.9973544,33.58494924,,,,0,公寓住宅,民用,7.4,12,0.0,4833.0,Henan,Luohe,Yancheng,Henan-Luohe
418774,幸福家园(郾城区),漯河,郾城,郾城城区,,多层,岷江路,113.9948354,33.60245023,,,,0,公寓住宅,民用,7.3,12,0.0,4903.0,Henan,Luohe,Yancheng,Henan-Luohe
418764,天元景观城,漯河,郾城,郾城城区,,高层,市场北路,114.0171428,33.59588137,,,,0,公寓住宅,民用,8.0,12,0.0,7624.0,Henan,Luohe,Yancheng,Henan-Luohe
418766,嘉和苑小区,漯河,郾城,郾城城区,,高层,107国道,113.9797201,33.59210085,,,,0,公寓住宅,民用,7.1,12,0.0,4344.0,Henan,Luohe,Yancheng,Henan-Luohe
418767,文萃满庭芳东苑,漯河,郾城,郾城城区,,高层,"舟山路,近淞江路",114.0296332,33.59458888,,,,0,公寓住宅,民用,7.2,12,0.0,5862.0,Henan,Luohe,Yancheng,Henan-Luohe
418768,忠福源,漯河,郾城,郾城城区,,高层,太行山路,113.9996038,33.60080422,,,,0,公寓住宅,民用,7.4,12,0.0,3260.0,Henan,Luohe,Yancheng,Henan-Luohe
418769,煤建家属院,漯河,郾城,郾城城区,,多层,辽河路,113.986833,33.59373665,,,,0,公寓住宅,民用,7.7,12,0.0,4210.0,Henan,Luohe,Yancheng,Henan-Luohe
418770,芙蓉里小区,漯河,郾城,郾城城区,,小高层,铁路小巷,114.0346135,33.5896743,,,,0,公寓住宅,民用,7.3,12,0.0,8070.0,Henan,Luohe,Yancheng,Henan-Luohe
418771,苹果C座vi80公寓,漯河,郾城,郾城城区,,高层,辽河路,114.0288563,33.59123448,,,,0,公寓住宅,民用,7.5,12,0.0,7500.0,Henan,Luohe,Yancheng,Henan-Luohe
418772,郾城种子公司家属院,漯河,郾城,郾城城区,,小高层,海河路79号,114.0056457,33.58887999,,,,0,公寓住宅,民用,7.7,12,0.0,5721.0,Henan,Luohe,Yancheng,Henan-Luohe
418765,金星小区,漯河,郾城,郾城城区,,多层,淞江路,113.9868704,33.59806438,,,,0,公寓住宅,民用,7.2,12,0.0,4302.0,Henan,Luohe,Yancheng,Henan-Luohe
418795,盛世家园(郾城),漯河,郾城,漯河国际会展中心,,多层|小高层,"龙江路,近太行山路",114.0003918,33.61392968,,,,0,公寓住宅,民用,6.9,12,0.0,5054.0,Henan,Luohe,Yancheng,Henan-Luohe
418796,电业局家属院(阳光街),漯河,郾城,漯河国际会展中心,,多层,"阳光街,近杨根庄东街",113.9957645,33.59692904,,,,0,公寓住宅,民用,7.5,12,0.0,4579.0,Henan,Luohe,Yancheng,Henan-Luohe
418797,市委党校家属院,漯河,郾城,漯河国际会展中心,,多层,辽河路257号,114.0174367,33.59194802,,,,0,公寓住宅,民用,7.6,12,0.0,5000.0,Henan,Luohe,Yancheng,Henan-Luohe
418824,黄河路441号小区,漯河,郾城,漯河食品批发交易市,,多层,黄河路441号,114.0279841,33.58641829,,,,0,公寓住宅,民用,7.7,12,0.0,4200.0,Henan,Luohe,Yancheng,Henan-Luohe
418825,张胡魏村,漯河,郾城,漯河食品批发交易市,,低层,"淞江路,近解放路",114.043887,33.59224408,,,,0,,暂无,,12,,,Henan,Luohe,Yancheng,Henan-Luohe
419296,文萃幸福春天,漯河,召陵,召陵城区,,高层,黄河路,114.0416799,33.58942863,,,,0,公寓住宅,民用,7.1,12,0.35,5446.0,Henan,Luohe,Yancheng,Henan-Luohe
418854,滨河颐景园,漯河,源汇,源汇城区,,高层,祁山路,114.001686,33.58196907,,,,1,公寓住宅,民用,7.7,12,1.32,10131.0,Henan,Luohe,Yancheng,Henan-Luohe
418841,坤恒·金色年华,漯河,郾城,河南省郾城实验中学,,高层,海河路与岷山路交叉口郾城区委西隔壁,113.9931227,33.59354279,,,,0,公寓住宅,民用,,12,0.0,6000.0,Henan,Luohe,Yancheng,Henan-Luohe
418840,鑫苑,漯河,郾城,河南省郾城实验中学,,多层,"辽河路,近白云山路",113.9786828,33.59439754,,,,0,公寓住宅,民用,7.0,12,0.0,4044.0,Henan,Luohe,Yancheng,Henan-Luohe
418838,郾襄路自建房,漯河,郾城,河南省郾城实验中学,,低层,郾襄路,113.9793005,33.59330952,,,,0,,暂无,,12,,,Henan,Luohe,Yancheng,Henan-Luohe
418823,城投龙湖天玺,漯河,郾城,漯河食品批发交易市,,小高层|高层|超高层,"解放北路,近龙江西路",114.0415064,33.60854377,,,,0,公寓住宅,民用,6.4,12,0.0,5800.0,Henan,Luohe,Yancheng,Henan-Luohe
418837,文化市场小区,漯河,郾城,河南省郾城实验中学,,多层|小高层,黄河路1190号,113.9899886,33.58548427,,,,0,公寓住宅,民用,7.2,12,0.0,4300.0,Henan,Luohe,Yancheng,Henan-Luohe
418834,温馨家苑(和谐巷),漯河,郾城,居然之家,,多层,和谐巷,113.9886952,33.60192638,,,,0,公寓住宅,民用,7.3,12,0.0,4274.0,Henan,Luohe,Yancheng,Henan-Luohe
418832,淞江国际花园(一期),漯河,郾城,居然之家,,高层,井冈山北路,113.9900727,33.60142433,,,,0,公寓住宅,民用,6.0,12,1.65,6496.0,Henan,Luohe,Yancheng,Henan-Luohe
418830,黄河路农行家属院,漯河,郾城,漯河食品批发交易市,,多层,"黄河路,近交通北路",114.0369029,33.58510326,,,,0,公寓住宅,民用,7.5,12,0.0,7079.0,Henan,Luohe,Yancheng,Henan-Luohe
