id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
487049,荣邦花园,平顶山,卫东,矿工路老汽车站,,小高层,诚朴路,113.3261033,33.74590495,,30.0,180000.0,3,公寓住宅,民用,7.9,12,-0.36,7837.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487051,瑞星花园,平顶山,卫东,矿工路老汽车站,,小高层,"矿工路,近诚朴路",113.3238028,33.74047459,,35.0,500000.0,0,公寓住宅,民用,8.4,12,-3.06,6918.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487161,东城国际(卫东),平顶山,卫东,平顶山广场,,小高层,矿工路,113.3286852,33.74175224,1.0,10.0,,0,公寓住宅,民用,7.7,12,0.0,7500.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487241,康旭东城,平顶山,卫东,平顶山广场,,高层,建设路,113.3664448,33.73375221,,20.0,10000.0,0,公寓住宅,民用,7.3,12,0.0,6250.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487150,宏升国际,平顶山,卫东,平顶山广场,,高层,建设路,113.3223102,33.73660226,1.0,40.0,100000.0,0,公寓住宅,民用,8.3,12,0.0,6388.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487148,华灿光明城市,平顶山,卫东,平顶山广场,2014,小高层,新华路,113.3181737,33.7568698,,20.0,170000.0,0,公寓住宅,民用,7.5,12,-5.35,6417.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487171,广诚美林里(卫东),平顶山,卫东,平顶山广场,,高层,开发二路,113.3666833,33.7196849,1.0,38.0,121778.0,0,公寓住宅,民用,7.3,12,-0.24,4753.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487170,建业春天里(卫东),平顶山,卫东,平顶山广场,,多层|高层,开发二路,113.3653954,33.7241354,1.0,37.0,343200.0,0,公寓住宅,民用,7.1,12,-2.76,5302.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487235,金泰利小区,平顶山,卫东,平顶山广场,,多层,白银路,113.328299,33.73957511,,28.0,13235.0,0,公寓住宅,民用,7.6,12,0.0,4656.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487129,新景花园,平顶山,卫东,平顶山广场,,高层,东安路,113.3311815,33.74468971,1.0,45.0,95500.0,2,公寓住宅,民用,8.0,12,-0.38,6711.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487128,碧桂园应国府,平顶山,卫东,平顶山广场,,多层|高层,建设路,113.328088,33.73553038,1.0,35.0,,0,公寓住宅,民用,8.5,12,2.82,15786.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487179,碧水香墅,平顶山,卫东,平顶山广场,,超高层,园丁路,113.305925,33.73367084,1.0,30.0,69804.0,0,公寓住宅,民用,8.3,12,0.0,6464.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487117,帝景花园,平顶山,卫东,矿工路老汽车站,,小高层,同乐街6号,113.3173851,33.74168047,1.0,40.0,,0,公寓住宅,民用,8.0,12,0.0,6444.0,Henan,Pingdingshan,Weidong,Henan-Pingdingshan
487683,东奥水城,平顶山,叶县,建业广场,,小高层,黄河路,113.3686853,33.71094011,1.0,45.0,,0,公寓住宅,民用,7.1,12,0.0,4087.0,Henan,Pingdingshan,Yexian,Henan-Pingdingshan
486594,华廷四季城,平顶山,湛河,平顶山站,2016,高层,"光明路南段,近新南环路",113.2761988,33.70860755,,20.0,,1,公寓住宅,民用,7.3,12,0.88,5240.0,Henan,Pingdingshan,Zhanhe,Henan-Pingdingshan
486597,建工景苑,平顶山,湛河,平顶山站,,高层,开源路,113.3003366,33.71680322,,20.0,,4667,公寓住宅,民用,8.0,12,0.0,6818.0,Henan,Pingdingshan,Zhanhe,Henan-Pingdingshan
486593,百合苑,平顶山,湛河,平顶山站,,超高层,东昌街,113.3185023,33.72412384,1.0,31.0,33000.0,0,公寓住宅,民用,8.0,12,0.0,5546.0,Henan,Pingdingshan,Zhanhe,Henan-Pingdingshan
486576,盛世华庭,平顶山,湛河,平顶山站,,高层,荆山路,113.3016812,33.71533454,,20.0,4667.0,0,公寓住宅,民用,7.5,12,-0.01,6330.0,Henan,Pingdingshan,Zhanhe,Henan-Pingdingshan
486623,彩虹小区,平顶山,湛河,平顶山站,2015,多层|小高层|高层,彩虹路,113.2755036,33.72633101,1.0,40.0,66667.0,0,公寓住宅,民用,7.9,12,0.0,5794.0,Henan,Pingdingshan,Zhanhe,Henan-Pingdingshan
486615,立威金城丽景,平顶山,湛河,平顶山站,,高层,开源路132号,113.2986512,33.71263197,1.0,43.0,350000.0,0,公寓住宅,民用,7.5,12,0.0,5662.0,Henan,Pingdingshan,Zhanhe,Henan-Pingdingshan
486526,朗润美晨,平顶山,湛河,北渡购物广场,,多层|高层,神马大道,113.3131682,33.7186806,1.0,20.0,120000.0,0,公寓住宅,民用,7.7,12,0.1,6732.0,Henan,Pingdingshan,Zhanhe,Henan-Pingdingshan
486521,大乘领仕馆,平顶山,湛河,北渡购物广场,2017,高层,新华路,113.3131869,33.71603035,1.0,30.0,260000.0,1908,公寓住宅,民用,8.1,12,0.56,5744.0,Henan,Pingdingshan,Zhanhe,Henan-Pingdingshan
