id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
489360,仁富阁小区,濮阳,华龙,濮阳站,,多层,大庆路167号,115.067278,35.76222702,,,,0,公寓住宅,民用,7.7,12,0.0,6597.0,Henan,Puyang,Hualong,Henan-Puyang
489361,交警队家属院(华龙),濮阳,华龙,濮阳站,,多层,胜利路,115.0490389,35.75851784,,,,0,公寓住宅,民用,7.5,12,0.0,10845.0,Henan,Puyang,Hualong,Henan-Puyang
489292,公务员小区,濮阳,华龙,濮阳站,2013,高层,开德中街,115.0179281,35.79632628,,,,0,公寓住宅,民用,7.6,12,0.06,8953.0,Henan,Puyang,Hualong,Henan-Puyang
489291,龙丰热电生活区,濮阳,华龙,濮阳站,,多层,胜利中路426号,115.0111393,35.7679838,,,,0,公寓住宅,民用,8.2,12,0.0,9433.0,Henan,Puyang,Hualong,Henan-Puyang
489362,新区春天,濮阳,华龙,濮阳站,,高层,昆吾中路3号,115.0154784,35.78072054,,,,0,公寓住宅,民用,8.0,12,0.0,8039.0,Henan,Puyang,Hualong,Henan-Puyang
489363,审计花园,濮阳,华龙,濮阳站,,多层,石化路,115.0078777,35.75066931,,,,0,公寓住宅,民用,7.3,12,0.0,7484.0,Henan,Puyang,Hualong,Henan-Puyang
489290,万瑞凤凰城,濮阳,华龙,濮阳站,2015,多层|小高层|高层,五一中路,115.0346904,35.78640956,,,,0,公寓住宅,民用,7.9,12,0.24,9379.0,Henan,Puyang,Hualong,Henan-Puyang
489294,嘉禾逸景,濮阳,华龙,濮阳站,,多层|小高层,茂名北路143号,115.0823532,35.7845842,,,,0,公寓住宅,民用,7.5,12,0.0,11076.0,Henan,Puyang,Hualong,Henan-Puyang
489293,翰林苑,濮阳,华龙,濮阳站,2019,高层,昆吾南路,115.0118619,35.74470214,,40.0,,0,公寓住宅,民用,8.2,12,-0.73,7584.0,Henan,Puyang,Hualong,Henan-Puyang
489299,龙湖壹号新时代,濮阳,华龙,濮阳站,,高层,开德路,115.0406291,35.79868825,,,,0,公寓住宅,民用,7.0,12,-0.31,9264.0,Henan,Puyang,Hualong,Henan-Puyang
489295,军安小区,濮阳,华龙,濮阳站,,多层,颐和路,115.0295416,35.77570307,,,,0,公寓住宅,民用,8.1,12,0.0,8777.0,Henan,Puyang,Hualong,Henan-Puyang
489313,光明花园,濮阳,华龙,濮阳站,,高层,金堤北路19号,115.0339817,35.78257121,,,,0,公寓住宅,民用,8.0,12,0.0,6899.0,Henan,Puyang,Hualong,Henan-Puyang
489312,棕榈泉二期铂宫,濮阳,华龙,濮阳站,2012,小高层|高层,卫河北路,115.0114924,35.79085665,,40.0,,0,公寓住宅,民用,7.8,12,1.01,8459.0,Henan,Puyang,Hualong,Henan-Puyang
489311,明日星城,濮阳,华龙,濮阳站,,多层,北环路,115.0753542,35.79222124,,,,0,公寓住宅,民用,7.0,12,0.0,4571.0,Henan,Puyang,Hualong,Henan-Puyang
489515,扶贫小区,濮阳,华龙,濮阳站,,多层,胜利东路175号,115.0542287,35.76073992,,,,0,公寓住宅,民用,7.3,12,0.0,6411.0,Henan,Puyang,Hualong,Henan-Puyang
489420,一机厂家属院,濮阳,华龙,濮阳站,,多层,中原中路147号,115.0370153,35.77963323,,,,0,公寓住宅,民用,7.8,12,0.0,6896.0,Henan,Puyang,Hualong,Henan-Puyang
489310,家福小区,濮阳,华龙,濮阳站,,多层,颐和路,115.0310233,35.7765357,,,,0,公寓住宅,民用,8.2,12,0.0,9600.0,Henan,Puyang,Hualong,Henan-Puyang
489309,物华国际城,濮阳,华龙,濮阳站,2015,高层,黄河东路,115.0539156,35.7695662,,40.0,,0,公寓住宅,民用,8.5,12,0.49,8295.0,Henan,Puyang,Hualong,Henan-Puyang
489308,子路小区,濮阳,华龙,濮阳站,,多层,建设中路39号,115.0326558,35.75719604,,,,0,公寓住宅,民用,8.1,12,0.0,13392.0,Henan,Puyang,Hualong,Henan-Puyang
489307,东方花园(一期),濮阳,华龙,濮阳站,,多层|小高层,中原东路,115.0487075,35.78228802,,,,0,公寓住宅,民用,7.6,12,-0.6,8390.0,Henan,Puyang,Hualong,Henan-Puyang
489514,康丽小区,濮阳,华龙,濮阳站,,多层,开州南路185号,115.0190177,35.74555976,,,,0,公寓住宅,民用,7.3,12,0.0,6086.0,Henan,Puyang,Hualong,Henan-Puyang
489306,富泉花园,濮阳,华龙,濮阳站,,多层,五一东路245号,115.0698022,35.78022199,,,,0,公寓住宅,民用,7.9,12,0.0,10421.0,Henan,Puyang,Hualong,Henan-Puyang
489304,书香苑(华龙),濮阳,华龙,濮阳站,,小高层|高层,濮上北路,115.007834,35.79875215,,,,0,公寓住宅,民用,7.0,12,-0.16,9609.0,Henan,Puyang,Hualong,Henan-Puyang
489301,中北小区,濮阳,华龙,濮阳站,,多层,历山路37号,115.0391667,35.78240496,,,,0,公寓住宅,民用,7.5,12,0.0,7065.0,Henan,Puyang,Hualong,Henan-Puyang
489300,汇丰东湖湾,濮阳,华龙,濮阳站,2016,高层,新东路,115.1300524,35.78151127,,40.0,,0,公寓住宅,民用,7.4,12,1.36,6927.0,Henan,Puyang,Hualong,Henan-Puyang
489289,胜安小区,濮阳,华龙,濮阳站,,多层,惠民路,115.049132,35.76046964,,,,0,公寓住宅,民用,7.8,12,0.0,7968.0,Henan,Puyang,Hualong,Henan-Puyang
489298,君恒悦海棠,濮阳,华龙,濮阳站,,高层,新东路,115.1267218,35.77215904,,35.0,,0,公寓住宅,民用,7.1,12,-0.37,6685.0,Henan,Puyang,Hualong,Henan-Puyang
489297,城上城,濮阳,华龙,濮阳站,2016,高层,中原东路,115.0799885,35.77396134,,30.0,,0,公寓住宅,民用,7.8,12,-0.89,9734.0,Henan,Puyang,Hualong,Henan-Puyang
489296,金龙湾,濮阳,华龙,濮阳站,2016,高层,长庆中路,115.0571293,35.75837898,,38.0,,0,公寓住宅,民用,8.1,12,-0.06,8954.0,Henan,Puyang,Hualong,Henan-Puyang
489305,瑞璞君悦兰庭,濮阳,华龙,濮阳站,2017,高层,中原路,115.122907,35.76665032,,35.0,,0,公寓住宅,民用,7.2,12,-0.31,6562.0,Henan,Puyang,Hualong,Henan-Puyang
489419,普香苑,濮阳,华龙,濮阳站,,小高层|高层,濮上南路265号,115.0040061,35.75021412,,,,0,公寓住宅,民用,6.7,12,0.0,5517.0,Henan,Puyang,Hualong,Henan-Puyang
489285,阳光丁香园,濮阳,华龙,濮阳站,,多层,盘锦路,115.1000545,35.77865697,,,,0,公寓住宅,民用,7.1,12,0.66,8195.0,Henan,Puyang,Hualong,Henan-Puyang
489417,梅园新村小区,濮阳,华龙,濮阳站,,多层,卫河中路,115.0077624,35.7784278,,,,0,公寓住宅,民用,7.2,12,0.0,7910.0,Henan,Puyang,Hualong,Henan-Puyang
489266,华清文苑二期,濮阳,华龙,濮阳站,2009,多层,苏北路,115.0900327,35.7844734,,,,0,公寓住宅,民用,7.8,12,0.0,9000.0,Henan,Puyang,Hualong,Henan-Puyang
489265,华清文苑一期,濮阳,华龙,濮阳站,,多层,北环路,115.0916827,35.7856599,,,,0,公寓住宅,民用,7.2,12,-0.09,8194.0,Henan,Puyang,Hualong,Henan-Puyang
489264,盘锦花园,濮阳,华龙,濮阳站,,小高层|高层,五一东路,115.1019497,35.77685666,,,,1,公寓住宅,民用,7.3,12,0.0,7427.0,Henan,Puyang,Hualong,Henan-Puyang
489263,胜利新村,濮阳,华龙,濮阳站,,多层,黄河东路675号,115.0760283,35.76624316,,,,0,公寓住宅,民用,7.5,12,0.0,9333.0,Henan,Puyang,Hualong,Henan-Puyang
489262,盟东小区,濮阳,华龙,濮阳站,,多层,建设东路,115.0526215,35.75615852,,,,0,公寓住宅,民用,7.3,12,2.0,8150.0,Henan,Puyang,Hualong,Henan-Puyang
489368,富华新天地,濮阳,华龙,濮阳站,,多层,京开大道,115.0447948,35.78285514,,,,0,公寓住宅,民用,7.5,12,3.84,6213.0,Henan,Puyang,Hualong,Henan-Puyang
489369,桃李春风,濮阳,华龙,濮阳站,,小高层|高层,"东环路,近苏北路",115.1154125,35.77802529,,,,0,公寓住宅,民用,7.0,12,0.16,7407.0,Henan,Puyang,Hualong,Henan-Puyang
489370,华龙电台家属院,濮阳,华龙,濮阳站,,多层,茂名北路179号,115.0820744,35.78683328,,,,0,公寓住宅,民用,7.3,12,0.0,6172.0,Henan,Puyang,Hualong,Henan-Puyang
489513,联通生活区,濮阳,华龙,濮阳站,,多层,开州中路8号,115.0195514,35.77956621,,,,0,公寓住宅,民用,7.7,12,0.0,7440.0,Henan,Puyang,Hualong,Henan-Puyang
489371,海薇苑,濮阳,华龙,濮阳站,,多层,昆吾南路238号,115.0127972,35.75006152,,,,0,公寓住宅,民用,7.6,12,0.0,7272.0,Henan,Puyang,Hualong,Henan-Puyang
489512,供销社家属院,濮阳,华龙,濮阳站,,多层,中原东路283号,115.0643447,35.77732399,,,,0,公寓住宅,民用,7.5,12,0.0,9045.0,Henan,Puyang,Hualong,Henan-Puyang
489267,绿景华庭,濮阳,华龙,濮阳站,2015,多层,大庆中路441号,115.0682485,35.75474451,,,,0,公寓住宅,民用,7.4,12,0.11,8879.0,Henan,Puyang,Hualong,Henan-Puyang
489374,氯碱厂生活区,濮阳,华龙,濮阳站,,多层,益民路638号,115.0073782,35.76959293,,,,0,公寓住宅,民用,7.9,12,0.0,6363.0,Henan,Puyang,Hualong,Henan-Puyang
489887,汇丰·胜东花园悦府,濮阳,华龙,新油田商贸城,,小高层|高层,濮阳市胜利路与茂名路交会处东北角,115.0782855,35.75782883,,,,0,公寓住宅,民用,,12,,,Henan,Puyang,Hualong,Henan-Puyang
489511,政协家属院,濮阳,华龙,濮阳站,,多层,巴黎街198号,115.0315325,35.7745434,,,,0,公寓住宅,民用,7.9,12,0.0,6923.0,Henan,Puyang,Hualong,Henan-Puyang
489375,中央城,濮阳,华龙,濮阳站,2014,高层,南海路,115.0537835,35.76349867,,35.0,,0,公寓住宅,民用,8.0,12,0.0,7384.0,Henan,Puyang,Hualong,Henan-Puyang
