id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
631363,先锋公寓,商丘,梁园,清凉寺,1995,多层|小高层|高层,新兴路070号,115.5849467,34.44822223,2.0,20.0,,0,商住楼,商用,6.9,12,0.0,4100.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
632275,红河壹号院,商丘,睢县,城区,,多层|小高层,"睢州大道,近富民路",115.6583603,34.44240507,,,,0,公寓住宅,民用,7.9,12,0.0,3500.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
651076,红河壹号院,睢县,城区,睢县人民医院,,多层|小高层,"睢州大道,近富民路",115.6583603,34.44240507,,,,0,公寓住宅,民用,7.9,12,0.0,3500.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631290,民主馨苑,商丘,梁园,万里汽车站,2018,多层,民主路,115.6598608,34.43912162,2.0,30.0,,0,公寓住宅,民用,8.3,12,0.0,4065.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631239,归德北路综合楼,商丘,梁园,万里汽车站,2015,多层,"归德路,近胜利路",115.6600629,34.44859285,,30.0,,10,公寓住宅,民用,7.9,12,0.0,3700.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630745,民安社区工商局家属院,商丘,梁园,梁园区委,,多层,"民主中路,近平原中路",115.6212944,34.44112037,,,,0,公寓住宅,民用,7.3,12,0.0,3800.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630744,文化佳苑,商丘,梁园,梁园区委,2000,多层,文化路,115.6253187,34.42918166,2.0,30.0,,145,公寓住宅,民用,8.0,12,0.0,5833.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631236,清江社区民政局家属院,商丘,梁园,万里汽车站,,多层,"归德中路,近团结路",115.6582841,34.43508007,2.0,,,0,公寓住宅,民用,7.9,12,0.0,3950.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631235,种子公司家属院,商丘,梁园,万里汽车站,,多层,"民主路,近归德路",115.6586667,34.44082884,2.0,,,0,公寓住宅,民用,8.0,12,0.0,4050.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631234,农委家属院,商丘,梁园,万里汽车站,,多层,"株洲路,近归德中路",115.652703,34.42866794,2.0,,,0,公寓住宅,民用,8.3,12,0.0,4500.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631232,哈森路拆迁楼,商丘,梁园,万里汽车站,,多层|小高层|高层,"哈森路,近八一路",115.6605241,34.43229539,2.0,,,42,公寓住宅,民用,7.8,12,0.0,4500.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631230,和谐家园(中州南路),商丘,梁园,万里汽车站,,多层,"中州南路,近八一路",115.6670016,34.43325699,2.0,,,0,公寓住宅,民用,7.7,12,0.0,4200.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631229,劳动局家属院(梁园),商丘,梁园,万里汽车站,,多层,"归德路,近民主中路",115.6573353,34.4419468,2.0,,,0,公寓住宅,民用,8.1,12,0.0,4100.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631228,纸厂开发楼,商丘,梁园,万里汽车站,,多层,"中州南路,近八一东路",115.6695927,34.43278776,2.0,,,0,公寓住宅,民用,7.6,12,0.0,3900.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630743,幸福小区(梁园),商丘,梁园,梁园区委,,多层,"文化西路,近昆仑路",115.613595,34.42862106,2.0,,,66,公寓住宅,民用,7.6,12,0.0,4300.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631227,吉祥馨苑,商丘,梁园,万里汽车站,,多层,"民主东路,近中州南路",115.6670764,34.43756081,2.0,,,0,公寓住宅,民用,7.6,12,0.0,3750.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631226,市棉麻家属院,商丘,梁园,万里汽车站,,多层,"民主中路,近归德路",115.6587697,34.440042,2.0,,,174,公寓住宅,民用,8.0,12,0.0,4000.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631225,桐花小区,商丘,梁园,万里汽车站,,多层,"民主东路,近中州南路",115.668509,34.43489835,2.0,,,0,公寓住宅,民用,7.6,12,0.0,4000.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631224,住建局家属院,商丘,梁园,万里汽车站,,多层,"芙蓉路,近八一东路",115.6517793,34.43079718,2.0,,,0,公寓住宅,民用,8.4,12,0.0,4500.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631222,中药厂家属院,商丘,梁园,万里汽车站,,多层,"中州路,近民主东路",115.6676065,34.43556506,2.0,,,0,公寓住宅,民用,7.6,12,0.0,4500.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630746,新华书店家属楼,商丘,梁园,梁园区委,,多层,"民主中路,近平原中路",115.6245604,34.4409152,,,,0,公寓住宅,民用,7.4,12,0.0,3200.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631221,中房白楼,商丘,梁园,万里汽车站,,多层,"中州路,近民主东路",115.6670238,34.43529935,2.0,,,0,公寓住宅,民用,7.7,12,0.0,4500.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630747,九天集团家属院,商丘,梁园,梁园区委,,多层|小高层,八一西路,115.622803,34.43541424,,,,0,公寓住宅,民用,7.4,12,0.0,4200.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631237,酒厂家属院(梁园),商丘,梁园,万里汽车站,,低层|多层,"哈森路,近八一东路",115.6623611,34.42982392,2.0,,,160,公寓住宅,民用,7.7,12,0.0,4150.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631253,和泰花苑,商丘,梁园,万里汽车站,2017,多层|小高层|高层,中州南路,115.6648693,34.43507575,2.0,30.0,,0,公寓住宅,民用,8.2,12,0.0,2966.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631252,香苑小区,商丘,梁园,万里汽车站,2005,多层|小高层|高层,哈森路,115.6602891,34.43294213,2.0,30.0,,0,公寓住宅,民用,8.2,12,0.0,3461.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631251,八一花园,商丘,梁园,万里汽车站,2004,多层|小高层|高层,八一东路,115.6687903,34.4305762,2.0,30.0,,0,公寓住宅,民用,8.1,12,0.0,5396.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631250,豫立华府,商丘,梁园,万里汽车站,2000,多层|小高层|高层,胜利东路,115.6667374,34.44674733,1.0,30.0,,0,公寓住宅,民用,7.7,12,0.0,4450.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631248,烟草局家属院(梁园区),商丘,梁园,万里汽车站,1998,多层,归德路33号,115.6541042,34.4296398,1.0,20.0,,0,公寓住宅,民用,8.1,12,0.0,5066.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631247,大陈社区自建房,商丘,梁园,万里汽车站,,低层,"中州南路,近八一东路",115.6659839,34.43201304,,,,0,,暂无,6.0,12,0.0,1500.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630752,昆仑路小区,商丘,梁园,梁园区委,,多层,"昆仑路,近文化路",115.6114782,34.42912455,2.0,,,0,公寓住宅,民用,7.1,12,0.0,4250.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631246,鹰德小区,商丘,梁园,万里汽车站,2002,多层,鹰德街,115.6587124,34.43267765,2.0,30.0,,0,公寓住宅,民用,8.2,12,0.0,5230.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630751,毛纺厂家属院,商丘,梁园,梁园区委,,多层,"锦绣路,近平原中路",115.6183696,34.44429541,2.0,,,0,公寓住宅,民用,7.5,12,0.0,4000.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631245,白云公寓,商丘,梁园,万里汽车站,2015,多层,哈森路,115.6604654,34.43856548,2.0,30.0,,0,公寓住宅,民用,8.4,12,0.0,4000.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631244,市财政局家属院,商丘,梁园,万里汽车站,2007,多层|小高层,"归德路,近株洲路",115.6536651,34.42834076,1.0,30.0,,132,公寓住宅,民用,8.3,12,0.0,4538.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631243,西大庄村自建房,商丘,梁园,万里汽车站,,低层,"绿苑路,近八一路",115.6534391,34.43197665,,,,0,,暂无,,12,,,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631242,梁园区乔庄前队自建房,商丘,梁园,万里汽车站,,多层,"归德中路,近八一东路",115.6541126,34.43334236,,,,0,,暂无,,12,,,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631241,杨堂村47号自建房,商丘,梁园,万里汽车站,,低层,"胜利东路,近滨河北路",115.6743403,34.4454004,,,,0,,暂无,,12,,,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631240,工行小区(梁园),商丘,梁园,万里汽车站,1999,多层,"民主中路,近中州南路",115.6629635,34.43890917,,20.0,,10,公寓住宅,民用,7.8,12,0.0,5000.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630749,中铁十局集团二公司住宅楼小区,商丘,梁园,梁园区委,,多层,"建设西路,近平原北路",115.6212897,34.4644079,2.0,,,540,公寓住宅,民用,6.9,12,0.0,3450.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631219,富华苑小区,商丘,梁园,万里汽车站,,多层,"前进街,近凯旋东路",115.6539279,34.43917427,2.0,,,0,公寓住宅,民用,8.2,12,0.0,4000.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631218,安东小区,商丘,梁园,万里汽车站,,多层|小高层|高层,"安东路,近哈森路",115.6595918,34.43295621,2.0,,,0,公寓住宅,民用,8.0,12,0.0,4500.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
631217,一纸厂家属院,商丘,梁园,万里汽车站,,多层,"民主东路,近八一路",115.6702068,34.43426047,2.0,,,93,公寓住宅,民用,7.6,12,0.0,4500.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630727,天合盛世龙城,商丘,梁园,梁园区委,2015,高层,民主路,115.6093542,34.44152403,,35.0,,671,公寓住宅,民用,7.8,12,-1.69,6249.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630726,福逯新苑,商丘,梁园,梁园区委,2009,多层,民主西路,115.6048919,34.43917962,1.0,30.0,,0,公寓住宅,民用,7.7,12,0.0,2692.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630725,金地绿洲,商丘,梁园,梁园区委,2015,多层,民主路,115.6115687,34.44755913,2.0,30.0,,691,公寓住宅,民用,7.9,12,-1.07,5767.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
630724,天骄华府,商丘,梁园,梁园区委,2006,小高层,锦绣路6号,115.6036471,34.44429106,1.0,30.0,,536,公寓住宅,民用,7.7,12,-0.8,6139.0,Henan,Shangqiu,Liangyuan,Henan-Shangqiu
