id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
887528,金鹏理想城,驻马店,驿城,大商新玛特,2014,高层,文明大道,114.0127583,32.9794371,,30.0,,0,公寓住宅,民用,8.5,12,0.14,8181.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
887527,天泰乐苑,驻马店,驿城,大商新玛特,,多层|小高层|高层,乐山大道,114.0222883,32.99599153,,38.21,,0,公寓住宅,民用,8.3,12,0.0,6357.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
887516,兴城名都,驻马店,驿城,大商新玛特,2014,小高层|高层,交通路1号,114.0065498,32.98023822,,30.0,,1,公寓住宅,民用,8.2,12,-0.33,7308.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
887519,锦绣公馆,驻马店,驿城,大商新玛特,2012,高层,富强路,114.0343763,32.97744987,,35.02,,1,公寓住宅,民用,8.1,12,-0.76,6459.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
887552,恒和家园,驻马店,驿城,大商新玛特,,高层,天颐路,113.9887829,32.96828745,,35.0,,0,公寓住宅,民用,7.6,12,0.0,4142.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
887537,置地友谊花园,驻马店,驿城,大商新玛特,2018,多层,正阳路,114.0131228,33.00263136,,35.0,,0,公寓住宅,民用,8.8,12,-4.02,7116.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
887535,顺景国际广场,驻马店,驿城,大商新玛特,,高层,乐山大道,114.0166897,33.02321815,,31.0,,0,公寓住宅,民用,7.5,12,0.0,6340.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
887508,天龙国际广场,驻马店,驿城,大商新玛特,2015,高层,交通路,114.0089908,32.98221594,,30.0,,0,公寓住宅,民用,8.6,12,4.49,7186.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
887489,三和紫东苑,驻马店,驿城,大商新玛特,2017,小高层|高层,文化路,113.9777592,32.98422374,,40.0,,0,公寓住宅,民用,8.1,12,-0.48,6611.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
887506,金盾花园,驻马店,驿城,大商新玛特,,高层,置地大道,114.0335312,33.00435438,,40.0,,1,公寓住宅,民用,7.9,12,0.0,6338.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
887411,银座广场,驻马店,驿城,体育场,,高层,铜山大道,113.9807631,33.00366212,,30.04,,0,公寓住宅,民用,7.2,12,0.0,6700.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
887408,甲壳虫,驻马店,驿城,体育场,2019,多层|高层,置地大道,114.0026428,33.00325847,,25.4,,0,公寓住宅,民用,8.0,12,-2.61,6667.0,Henan,Zhumadian,Yicheng,Henan-Zhumadian
