id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
303736,滨湖西路22号院,黄石,黄石周边,花湖,,多层,滨湖西路22号,114.8774818,30.39278458,,,,0,公寓住宅,民用,7.7,12,0.0,4650.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303726,文星大道75号院,黄石,黄石周边,花湖,,多层,文星大道75号,114.8907319,30.40061586,,,,0,公寓住宅,民用,7.7,12,0.0,5100.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303727,武昌大道322-28号院,黄石,黄石周边,花湖,,多层,武昌大道322-28号,114.8859241,30.4070417,,,,0,公寓住宅,民用,7.7,12,0.0,4000.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303729,文星大道72号院,黄石,黄石周边,花湖,,多层,文星大道72号,114.8841435,30.40019341,,,,0,公寓住宅,民用,8.0,12,0.0,4050.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303730,明塘路81号院,黄石,黄石周边,花湖,,多层,明塘路81号,114.8863994,30.40338986,,,,0,公寓住宅,民用,7.9,12,0.0,4700.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303731,老古楼办事处家属院,黄石,黄石周边,花湖,,多层,滨湖西路28号,114.8767521,30.39223151,,,,0,公寓住宅,民用,7.6,12,0.0,4250.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303732,文星大道39号院,黄石,黄石周边,花湖,,多层,文星大道39号,114.8822359,30.40077948,,,,0,公寓住宅,民用,8.1,12,0.0,4050.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303733,桂花园巷16号院,黄石,黄石周边,花湖,,多层,桂花园巷16号,114.8726533,30.40527383,,,,0,公寓住宅,民用,7.2,12,0.0,4050.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303734,文星大道110号院,黄石,黄石周边,花湖,,多层,文星大道110号,114.8919868,30.40004132,,,,0,公寓住宅,民用,7.6,12,0.0,4050.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303753,凤凰路18号院,黄石,黄石周边,花湖,,多层,凤凰路18号,114.8949028,30.40507725,,,,0,公寓住宅,民用,7.3,12,0.0,4350.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303752,建设街79号院,黄石,黄石周边,花湖,,多层,建设街79号,114.8771655,30.40985922,,,,0,公寓住宅,民用,7.3,12,0.0,4050.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303751,百子西街15号院,黄石,黄石周边,花湖,,多层,百子西街15号,114.8879761,30.39603541,,,,0,公寓住宅,民用,7.9,12,0.0,4350.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303750,滨湖西路15号院,黄石,黄石周边,花湖,,多层,滨湖西路15号,114.8784449,30.39437253,,,,0,公寓住宅,民用,7.8,12,0.0,4350.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303749,建设街99号院,黄石,黄石周边,花湖,,多层,建设街99号,114.8757551,30.41019308,,,,0,公寓住宅,民用,7.2,12,0.0,4250.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303748,滨湖北路15号院,黄石,黄石周边,花湖,,多层,滨湖北路15号,114.8863995,30.3956097,,,,0,公寓住宅,民用,7.9,12,0.0,4450.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303747,庙鹅岭一巷98号院,黄石,黄石周边,花湖,,多层,庙鹅岭一巷98号,114.8763183,30.39529818,,,,0,公寓住宅,民用,7.8,12,0.0,4150.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303746,落驾坪小区,黄石,黄石周边,花湖,,多层,武昌大道,114.8593215,30.40368215,,,,0,公寓住宅,民用,7.0,12,0.0,3750.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303745,滨湖北路27号院,黄石,黄石周边,花湖,,多层,滨湖北路27号,114.8902923,30.39549159,,,,0,公寓住宅,民用,7.6,12,0.0,4050.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303744,建设街65号院,黄石,黄石周边,花湖,,多层,建设街65号,114.8791546,30.40983736,,,,0,公寓住宅,民用,7.3,12,0.0,4350.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303743,葛店开发区宿舍,黄石,黄石周边,花湖,,多层,古城路,114.8832891,30.38979213,,,,0,公寓住宅,民用,7.8,12,0.0,4050.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303742,滨湖西路26号院,黄石,黄石周边,花湖,,多层,滨湖西路26号,114.8772415,30.39261197,,,,0,公寓住宅,民用,7.7,12,0.0,3947.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303741,文星大道5号院,黄石,黄石周边,花湖,,多层,文星大道5号,114.8763716,30.40202522,,,,0,公寓住宅,民用,7.6,12,0.0,4500.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303725,鄂州国药大楼,黄石,黄石周边,花湖,,高层,建设街6号,114.8806033,30.4093549,,,,0,商住楼,商用,7.4,12,0.0,4050.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303739,文星大道63号院,黄石,黄石周边,花湖,,多层,文星大道63号,114.8878561,30.40065804,,,,0,公寓住宅,民用,7.9,12,0.0,4050.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303738,滨湖西路18号院,黄石,黄石周边,花湖,,多层,滨湖西路18号,114.8783093,30.39350771,,,,0,公寓住宅,民用,7.8,12,0.0,4550.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303737,老农业局宿舍,黄石,黄石周边,花湖,,多层,邬家巷25号,114.8777349,30.40857883,,,,0,公寓住宅,民用,7.4,12,0.0,1796.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303735,明塘路8号院,黄石,黄石周边,花湖,,多层,明塘路8号,114.8764429,30.40529014,,,,0,公寓住宅,民用,7.4,12,0.0,5100.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303724,武昌大道336号院,黄石,黄石周边,花湖,,多层,武昌大道336号,114.8870759,30.40647804,,,,0,公寓住宅,民用,7.6,12,0.0,4350.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303714,锻压小区,黄石,黄石周边,花湖,,多层,江碧路7-8号,114.875578,30.41066421,,,,0,公寓住宅,民用,7.2,12,0.0,4571.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
303722,楼下村中心小区,黄石,黄石周边,花湖,,多层,江碧路,114.8670367,30.34231161,,,,0,公寓住宅,民用,6.8,12,0.0,2600.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
169661,福源花园,鄂州,鄂城,鄂高,,小高层,古城路98号,114.884591,30.37120567,,33.0,100000.0,0,公寓住宅,民用,7.8,12,0.0,4409.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
169659,文苑路莲花新城小区,鄂州,鄂城,鄂高,,多层,文苑路,114.8981059,30.37573478,,,,0,公寓住宅,民用,6.9,12,0.0,6728.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
169658,隆泰路38号院,鄂州,鄂城,鄂高,,多层,隆泰路38号,114.8775924,30.39575773,,,,0,公寓住宅,民用,7.7,12,0.0,4981.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
169657,月畔湾,鄂州,鄂城,鄂高,,小高层,滨湖南路22号,114.872869,30.37185639,,,,0,公寓住宅,民用,7.3,12,-0.95,6710.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
169656,福泉嘉源,鄂州,鄂城,鄂高,,小高层,公瑾路1号,114.8804053,30.37051882,,,,0,公寓住宅,民用,7.5,12,0.0,7514.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
169655,原审计小区(明塘路),鄂州,鄂城,鄂高,,小高层,明塘路60号,114.883926,30.40324393,,,,0,公寓住宅,民用,8.0,12,0.0,5615.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
169654,荣府天域,鄂州,鄂城,鄂高,,小高层,"学府路,近文苑路",114.89977,30.37707475,,,,0,公寓住宅,民用,7.0,12,0.9,7644.0,Hubei,Ezhou,Echeng,Hubei-Ezhou
