id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
287954,清华南苑,黄冈,麻城,麻城市政府,,多层,金桥大道,115.0046297,31.17342947,,,,0,公寓住宅,民用,7.2,12,0.0,5900.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287952,鑫源小区(麻城),黄冈,麻城,麻城市政府,,多层,南站路,114.9605816,31.15059595,,,,0,公寓住宅,民用,6.4,12,0.0,2800.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287951,西环中路7号小区,黄冈,麻城,麻城市政府,,多层,进士路,115.0047485,31.17590386,,,,0,公寓住宅,民用,7.3,12,0.0,6200.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
288078,金穗园,黄冈,麻城,将军路,,高层,新建街,115.0366587,31.18351309,,,,0,公寓住宅,民用,7.5,12,0.0,5447.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287949,万家堰湾93号小区,黄冈,麻城,麻城市政府,,低层,万家堰湾93号,115.010126,31.16960147,,,,0,公寓住宅,民用,7.2,12,0.0,5500.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287948,政府安居工程小区,黄冈,麻城,麻城市政府,,多层,西环路1号,115.0052435,31.17576277,,,,0,公寓住宅,民用,7.7,12,0.0,6000.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
288079,朝阳美墅,黄冈,麻城,将军路,,多层,河东大道,115.0436012,31.18194337,,,,0,公寓住宅,民用,6.7,12,0.0,4285.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287955,麻城物资化工建材宿舍,黄冈,麻城,麻城市政府,,多层,金桥大道,115.0113083,31.17428691,,,,0,公寓住宅,民用,7.4,12,0.0,5800.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287950,华中义乌商贸城,黄冈,麻城,麻城市政府,,多层,京沪大道,114.979146,31.18726473,,,,0,公寓住宅,民用,6.4,12,0.0,4500.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287956,张家垸小区,黄冈,麻城,麻城市政府,,多层,万家堰村,115.0026336,31.16978063,,,,0,公寓住宅,民用,7.0,12,0.0,3400.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287960,府和花园,黄冈,麻城,麻城市政府,,高层,南正街35号,115.0277556,31.17319569,,,,0,公寓住宅,民用,7.3,12,0.0,4592.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287961,金谷华府,黄冈,麻城,麻城市政府,,高层,将军路115号,115.0206991,31.18868097,,,,0,公寓住宅,民用,7.3,12,0.0,6400.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287962,三和山景华庭,黄冈,麻城,麻城市政府,,多层,金桥大道8号,115.0133269,31.17431822,,,,0,公寓住宅,民用,7.4,12,0.0,5833.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287963,富豪花园,黄冈,麻城,麻城市政府,,多层,陵园路8号,115.0235835,31.18053916,,,,0,公寓住宅,民用,7.7,12,0.0,5739.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287965,园林社区,黄冈,麻城,麻城市政府,,多层,台湾街199号,115.0147624,31.17856034,,,,0,公寓住宅,民用,7.6,12,0.0,2885.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287966,兰馨小区,黄冈,麻城,麻城市政府,,多层,南正街93号,115.0311877,31.17704109,,,,0,公寓住宅,民用,7.4,12,0.0,4521.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
287976,金龙华府,黄冈,麻城,麻城市政府,,小高层,"京九大道,近湖广大道",115.0118093,31.16861565,,,,0,公寓住宅,民用,7.6,12,0.0,6000.0,Hubei,Huanggang,Macheng,Hubei-Huanggang
