id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
519705,市政府大院,潜江,园林,章华中路,,多层,建设街,112.8915223,30.42526168,,,,0,公寓住宅,民用,7.8,12,0.0,5793.0,Hubei,,Qianjiang,Hubei-Hubei
519707,冶金小区,潜江,园林,章华中路,,多层,园林南路33号,112.8850597,30.41517,,,,0,公寓住宅,民用,7.8,12,0.0,5323.0,Hubei,,Qianjiang,Hubei-Hubei
519708,西惠雅园,潜江,园林,章华中路,,多层,潜阳西路13号,112.8738249,30.42041442,,,,0,公寓住宅,民用,7.2,12,0.0,5126.0,Hubei,,Qianjiang,Hubei-Hubei
519704,棉花公司小区,潜江,园林,章华中路,,多层,"堤街,近红粮巷",112.8935852,30.42763696,,,,0,公寓住宅,民用,8.0,12,0.0,4444.0,Hubei,,Qianjiang,Hubei-Hubei
519706,自来水厂小区,潜江,园林,章华中路,,多层,潜阳西路,112.8800501,30.42275336,,,,0,公寓住宅,民用,7.4,12,0.0,5000.0,Hubei,,Qianjiang,Hubei-Hubei
519638,宜家水岸,潜江,园林,章华中路,,多层,潜阳中路35号,112.8810365,30.42098783,,,,0,公寓住宅,民用,7.6,12,0.01,4246.0,Hubei,,Qianjiang,Hubei-Hubei
519625,商贸小区,潜江,园林,章华中路,,多层,关厢门巷19号,112.8961721,30.42654,,,,0,公寓住宅,民用,7.7,12,-0.15,4695.0,Hubei,,Qianjiang,Hubei-Hubei
519702,规划局住宿区,潜江,园林,章华中路,,多层,湖滨路13号,112.8836524,30.428166,,,,0,公寓住宅,民用,7.3,12,-0.06,4859.0,Hubei,,Qianjiang,Hubei-Hubei
519700,江汉大市场管委会小区,潜江,园林,章华中路,,多层,章华南路,112.8962591,30.39159525,,,,0,公寓住宅,民用,6.9,12,0.0,3571.0,Hubei,,Qianjiang,Hubei-Hubei
519699,建委宿舍,潜江,园林,章华中路,,多层,章华南路99号,112.8944393,30.39619945,,,,0,公寓住宅,民用,7.4,12,0.0,4424.0,Hubei,,Qianjiang,Hubei-Hubei
519698,烟柳小区,潜江,园林,章华中路,,低层,"东风路,近东阳巷",112.9057722,30.41890624,,,,0,公寓住宅,民用,7.7,12,0.0,4781.0,Hubei,,Qianjiang,Hubei-Hubei
519697,儒学南院,潜江,园林,章华中路,,小高层,儒学路2号,112.8942198,30.42893123,,,,0,公寓住宅,民用,7.6,12,0.0,4482.0,Hubei,,Qianjiang,Hubei-Hubei
519696,潜江宾馆住宿区,潜江,园林,章华中路,,小高层,湖滨路11B号,112.8839595,30.42770472,,,,0,公寓住宅,民用,7.9,12,0.0,4400.0,Hubei,,Qianjiang,Hubei-Hubei
519634,东方花苑,潜江,园林,章华中路,,高层,东风路82号,112.900477,30.42148241,,,,0,公寓住宅,民用,8.0,12,-0.02,6466.0,Hubei,,Qianjiang,Hubei-Hubei
519635,万和国际,潜江,园林,章华中路,,多层,马昌垸路特1号,112.8772198,30.43071042,,26.06,100000.0,716,公寓住宅,民用,7.3,12,-0.26,5642.0,Hubei,,Qianjiang,Hubei-Hubei
519695,电信小区,潜江,园林,章华中路,,多层,章华北路,112.8916682,30.43379169,,,,0,公寓住宅,民用,7.2,12,0.0,5000.0,Hubei,,Qianjiang,Hubei-Hubei
519694,潜江市工商局机关住宿区,潜江,园林,章华中路,,多层,潜阳中路12号,112.8898562,30.41682553,,,,0,公寓住宅,民用,7.7,12,0.0,5754.0,Hubei,,Qianjiang,Hubei-Hubei
519693,邮政小区(潜江),潜江,园林,章华中路,,多层,章华南路35号,112.8945973,30.39877575,,,,0,公寓住宅,民用,7.0,12,0.0,3450.0,Hubei,,Qianjiang,Hubei-Hubei
519692,公安局小区,潜江,园林,章华中路,,多层,章华中路62号,112.8930762,30.42559181,,,,0,公寓住宅,民用,7.6,12,0.0,4677.0,Hubei,,Qianjiang,Hubei-Hubei
519633,机电花园,潜江,园林,章华中路,,小高层,潜阳中路34号,112.8843925,30.42095883,,,,0,公寓住宅,民用,7.7,12,0.0,5783.0,Hubei,,Qianjiang,Hubei-Hubei
519703,建设银行宿舍楼,潜江,园林,章华中路,,多层,章华中路50号,112.8931249,30.42279685,,,,0,公寓住宅,民用,8.0,12,0.0,5000.0,Hubei,,Qianjiang,Hubei-Hubei
519632,物探机关小区,潜江,园林,章华中路,,多层,解放路91号,112.8905508,30.42837979,,,,0,公寓住宅,民用,8.1,12,0.0,5272.0,Hubei,,Qianjiang,Hubei-Hubei
519631,外贸小区,潜江,园林,章华中路,,多层,潜阳西路8号,112.8756682,30.42288874,,,,0,公寓住宅,民用,7.8,12,-1.17,4266.0,Hubei,,Qianjiang,Hubei-Hubei
519630,章华花园小区,潜江,园林,章华中路,,小高层,章华南路39号,112.8957733,30.39598755,,,,0,公寓住宅,民用,7.2,12,-1.72,3715.0,Hubei,,Qianjiang,Hubei-Hubei
519629,阳光北苑,潜江,园林,章华中路,,多层,章华北路27号,112.8876717,30.44802236,,,,0,公寓住宅,民用,7.0,12,-3.17,4288.0,Hubei,,Qianjiang,Hubei-Hubei
519628,生态白鹤湾,潜江,园林,章华中路,,高层,潜阳西路14号,112.8737686,30.42367445,,35.0,110823.0,860,公寓住宅,民用,7.6,12,-1.38,5964.0,Hubei,,Qianjiang,Hubei-Hubei
519627,水岸尚品,潜江,园林,章华中路,,多层|高层,"湖滨路,近锦绣路",112.8847134,30.43526505,,36.7,153108.0,1200,公寓住宅,民用,7.6,12,-0.41,6209.0,Hubei,,Qianjiang,Hubei-Hubei
519626,中润金桥郡,潜江,园林,章华中路,,高层,"保驾路,近章华南路",112.8899545,30.40744454,,,49437.0,0,公寓住宅,民用,7.7,12,0.35,7783.0,Hubei,,Qianjiang,Hubei-Hubei
519636,世纪华庭,潜江,园林,章华中路,,高层,潜阳中路30号,112.8863672,30.41974587,,,,0,公寓住宅,民用,8.3,12,0.0,9577.0,Hubei,,Qianjiang,Hubei-Hubei
519637,福星城,潜江,园林,章华中路,,多层,袁光大道2号,112.8734355,30.41978084,,,,0,公寓住宅,民用,7.7,12,2.9,5292.0,Hubei,,Qianjiang,Hubei-Hubei
519639,东汽小区,潜江,园林,章华中路,,多层,东风路31号,112.9003193,30.42012522,,,,0,公寓住宅,民用,7.8,12,0.52,5373.0,Hubei,,Qianjiang,Hubei-Hubei
519640,章华首府,潜江,园林,章华中路,,高层,章华南路31号,112.8946094,30.4020783,,,,0,公寓住宅,民用,7.7,12,0.0,4210.0,Hubei,,Qianjiang,Hubei-Hubei
519641,乐居常青藤,潜江,园林,章华中路,,高层,章华中路,112.8920444,30.41386146,,32.8,66676.0,480,公寓住宅,民用,8.5,12,-0.16,8698.0,Hubei,,Qianjiang,Hubei-Hubei
519701,南城乐府,潜江,园林,章华中路,,多层,"华南路,近复兴路",112.8954477,30.40638659,,,,0,公寓住宅,民用,7.3,12,0.0,4238.0,Hubei,,Qianjiang,Hubei-Hubei
519673,轻工北苑,潜江,园林,章华中路,,多层,三江路,112.8931156,30.43419755,,,,0,公寓住宅,民用,7.2,12,0.0,5205.0,Hubei,,Qianjiang,Hubei-Hubei
519690,银海逸居,潜江,园林,章华中路,,高层,三江路60号,112.8977629,30.4369829,,,,0,公寓住宅,民用,7.5,12,-0.29,5614.0,Hubei,,Qianjiang,Hubei-Hubei
519676,通用小区,潜江,园林,章华中路,,多层,潜阳中路25号,112.8854033,30.41953539,,,,0,公寓住宅,民用,8.2,12,-1.63,6150.0,Hubei,,Qianjiang,Hubei-Hubei
519675,东城新居,潜江,园林,章华中路,,小高层,潜阳东路,112.9024234,30.41675294,,,,0,公寓住宅,民用,7.4,12,0.0,4694.0,Hubei,,Qianjiang,Hubei-Hubei
519656,审计局宿舍,潜江,园林,章华中路,,多层,江汉路26号,112.8879377,30.42720858,,,,0,公寓住宅,民用,8.1,12,0.0,5272.0,Hubei,,Qianjiang,Hubei-Hubei
519657,人大住宿区,潜江,园林,章华中路,,多层,通渠路3号,112.881499,30.42767653,,,,0,公寓住宅,民用,7.6,12,0.0,4400.0,Hubei,,Qianjiang,Hubei-Hubei
519658,塑料厂小区,潜江,园林,章华中路,,多层,红军路,112.8977984,30.42631114,,,,0,公寓住宅,民用,7.9,12,-0.48,4617.0,Hubei,,Qianjiang,Hubei-Hubei
519659,除尘小区,潜江,园林,章华中路,,多层,横堤路15号,112.8963842,30.42258968,,,,0,公寓住宅,民用,7.9,12,0.04,4670.0,Hubei,,Qianjiang,Hubei-Hubei
519660,农机公司宿舍,潜江,园林,章华中路,,多层,潜阳中路32号,112.8852982,30.42007523,,,,0,公寓住宅,民用,8.0,12,0.0,6935.0,Hubei,,Qianjiang,Hubei-Hubei
519661,公园春晓,潜江,园林,章华中路,,高层,"东岳路,近通政里古巷",112.8941276,30.43680079,,,,0,公寓住宅,民用,7.1,12,0.0,4516.0,Hubei,,Qianjiang,Hubei-Hubei
519662,城北小区,潜江,园林,章华中路,,多层,三江路13号,112.8945952,30.43509067,,,,0,公寓住宅,民用,7.3,12,0.0,4708.0,Hubei,,Qianjiang,Hubei-Hubei
519663,东荆河畔,潜江,园林,章华中路,,多层,潜阳西路16号,112.8715383,30.42048829,,,,0,公寓住宅,民用,7.4,12,2.33,4992.0,Hubei,,Qianjiang,Hubei-Hubei
519664,天桥小区,潜江,园林,章华中路,,小高层,潜阳中路24号,112.8881815,30.4180488,,,,0,公寓住宅,民用,7.9,12,0.0,5300.0,Hubei,,Qianjiang,Hubei-Hubei
519666,园林青小区,潜江,园林,章华中路,,小高层,潜阳东路5号,112.8959279,30.41514278,,,,0,公寓住宅,民用,8.0,12,0.0,5368.0,Hubei,,Qianjiang,Hubei-Hubei
519667,东荆花园小区,潜江,园林,章华中路,,高层,紫月路,112.8922833,30.38839168,,,,0,公寓住宅,民用,7.3,12,0.0,5744.0,Hubei,,Qianjiang,Hubei-Hubei
519668,业成小区,潜江,园林,章华中路,,多层,桃李巷,112.8803213,30.41821354,,,,0,公寓住宅,民用,7.7,12,0.0,5128.0,Hubei,,Qianjiang,Hubei-Hubei
519674,市委小区,潜江,园林,章华中路,,多层,建设街76-78号,112.890595,30.42611593,,,,0,公寓住宅,民用,7.9,12,0.0,5350.0,Hubei,,Qianjiang,Hubei-Hubei
519669,海韵丽景园,潜江,园林,章华中路,,高层,"东荆大道,近马昌垸路",112.8743563,30.43020647,,33.0,85434.0,687,公寓住宅,民用,7.7,12,-0.5,5524.0,Hubei,,Qianjiang,Hubei-Hubei
519670,香堤小筑,潜江,园林,章华中路,,多层,通渠路4号,112.8820283,30.42840765,,,,0,公寓住宅,民用,7.4,12,0.24,5629.0,Hubei,,Qianjiang,Hubei-Hubei
519671,税务局园林分局宿舍,潜江,园林,章华中路,,多层,园林南路35号,112.8847445,30.41432936,,,,0,公寓住宅,民用,8.1,12,0.0,5800.0,Hubei,,Qianjiang,Hubei-Hubei
519672,农业局小区,潜江,园林,章华中路,,多层,章华中路59号,112.8927088,30.42573063,,,,0,公寓住宅,民用,7.9,12,0.0,5339.0,Hubei,,Qianjiang,Hubei-Hubei
519709,深河社区,潜江,园林,章华中路,,多层,潜阳西路2号,112.8787723,30.42248022,,,,0,公寓住宅,民用,7.4,12,0.0,5000.0,Hubei,,Qianjiang,Hubei-Hubei
519677,棉花公司住宅小区,潜江,园林,章华中路,,多层,章华中路68号,112.892966,30.42688063,,,,0,公寓住宅,民用,8.1,12,0.0,4947.0,Hubei,,Qianjiang,Hubei-Hubei
519643,食品小区,潜江,园林,章华中路,,多层,章华中路28号,112.8919103,30.42012303,,,,0,公寓住宅,民用,8.0,12,0.0,5128.0,Hubei,,Qianjiang,Hubei-Hubei
519678,城西农贸市场宿舍,潜江,园林,章华中路,,多层,潜阳西路29号,112.868771,30.41921129,,,,0,公寓住宅,民用,7.1,12,0.0,4421.0,Hubei,,Qianjiang,Hubei-Hubei
519680,南苑小区,潜江,园林,章华中路,,多层,章华南路15号,112.8937565,30.40698822,,,,0,公寓住宅,民用,7.4,12,0.0,5731.0,Hubei,,Qianjiang,Hubei-Hubei
519689,妇幼保健院住宅,潜江,园林,章华中路,,多层,章华中路73号,112.8922451,30.43054829,,,,0,公寓住宅,民用,7.4,12,0.0,4960.0,Hubei,,Qianjiang,Hubei-Hubei
519644,华星小区,潜江,园林,章华中路,,小高层,深河路5,112.8758368,30.42597241,,,,0,公寓住宅,民用,7.0,12,-0.97,5300.0,Hubei,,Qianjiang,Hubei-Hubei
519645,镇声中央公园,潜江,园林,章华中路,,低层,潜阳中路24号,112.8882503,30.41858267,,30.0,6290.0,253,别墅,民用,8.2,12,-0.12,7748.0,Hubei,,Qianjiang,Hubei-Hubei
519646,湖滨领地,潜江,园林,章华中路,,多层,马昌垸路52号,112.8842635,30.43298374,,,,0,公寓住宅,民用,7.5,12,0.81,5810.0,Hubei,,Qianjiang,Hubei-Hubei
519647,民政小区,潜江,园林,章华中路,,多层,西城市场路1号,112.8871936,30.42891136,,,,0,公寓住宅,民用,8.1,12,-1.28,4611.0,Hubei,,Qianjiang,Hubei-Hubei
519648,金帝花苑,潜江,园林,章华中路,,多层,深河路3号,112.875295,30.42471043,,,,0,公寓住宅,民用,7.6,12,2.64,5000.0,Hubei,,Qianjiang,Hubei-Hubei
519649,丽景园,潜江,园林,章华中路,,多层,"东荆大道,近马昌垸路",112.8743181,30.43019802,,,,0,公寓住宅,民用,7.0,12,0.84,5319.0,Hubei,,Qianjiang,Hubei-Hubei
519650,章华中路15号小区,潜江,园林,章华中路,,多层,章华中路15号,112.8917435,30.41779156,,,,0,公寓住宅,民用,7.9,12,0.0,5500.0,Hubei,,Qianjiang,Hubei-Hubei
519651,公路局住宅小区南,潜江,园林,章华中路,,多层,江汉路2号,112.8826293,30.42276608,,,,0,公寓住宅,民用,7.5,12,-0.78,4204.0,Hubei,,Qianjiang,Hubei-Hubei
519652,东惠园小区,潜江,园林,章华中路,,多层,东风路25号,112.9021444,30.41963714,,,,0,公寓住宅,民用,7.6,12,0.0,4029.0,Hubei,,Qianjiang,Hubei-Hubei
519653,建筑公司住宿区,潜江,园林,章华中路,,多层,潜阳中路33号,112.8837593,30.42096368,,,,0,公寓住宅,民用,7.8,12,0.41,5621.0,Hubei,,Qianjiang,Hubei-Hubei
519654,水丽花园,潜江,园林,章华中路,,小高层,三江路3号,112.8934699,30.43389699,,,,0,公寓住宅,民用,7.4,12,0.0,5094.0,Hubei,,Qianjiang,Hubei-Hubei
519655,园林派出所家属区,潜江,园林,章华中路,,多层,园林路42号,112.8843047,30.41723208,,,,0,公寓住宅,民用,8.1,12,0.0,4161.0,Hubei,,Qianjiang,Hubei-Hubei
519688,华苑小区,潜江,园林,章华中路,,多层,三板桥巷,112.8820948,30.42519032,,,,0,公寓住宅,民用,7.8,12,0.0,4182.0,Hubei,,Qianjiang,Hubei-Hubei
519686,汉江河道管理局机关宿舍大院,潜江,园林,章华中路,,小高层,章华南路31号,112.8939616,30.40124626,,,,0,公寓住宅,民用,7.2,12,0.0,4873.0,Hubei,,Qianjiang,Hubei-Hubei
519685,棉纺新区,潜江,园林,章华中路,,多层,东岳路,112.8927879,30.44446121,,,,0,公寓住宅,民用,7.0,12,-2.09,6266.0,Hubei,,Qianjiang,Hubei-Hubei
519682,潜江市化工(局)住宿小区,潜江,园林,章华中路,,多层,江汉路35号,112.8878849,30.42778051,,,,0,公寓住宅,民用,7.8,12,-0.21,4718.0,Hubei,,Qianjiang,Hubei-Hubei
519681,西农小区,潜江,园林,章华中路,,多层,潜阳西路27号,112.8700757,30.4204004,,,,0,公寓住宅,民用,7.2,12,0.0,5878.0,Hubei,,Qianjiang,Hubei-Hubei
519679,汽修花苑小区,潜江,园林,章华中路,,多层,章华中路70号,112.8932282,30.42818258,,,,0,公寓住宅,民用,7.9,12,0.0,4409.0,Hubei,,Qianjiang,Hubei-Hubei
519710,新华书店潜阳中路住宿区,潜江,园林,章华中路,,多层,潜阳中路,112.8895482,30.41616463,,,,0,公寓住宅,民用,7.8,12,0.0,4654.0,Hubei,,Qianjiang,Hubei-Hubei
519712,麻纺厂小区,潜江,园林,章华中路,,多层,潜阳中路32号,112.8855283,30.42000728,,,,0,公寓住宅,民用,7.9,12,0.0,5192.0,Hubei,,Qianjiang,Hubei-Hubei
