id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
626000,中环世贸广场,十堰,茅箭,王府井广场,,高层,北京中路21号,110.7892274,32.62615704,,,,0,商住楼,商用,7.6,12,0.46,6952.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625824,张湾区人民法院宿舍,十堰,茅箭,茅箭周边,,多层,邮电街12号,110.7786283,32.64800137,,,,0,公寓住宅,民用,8.0,12,-0.03,6590.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625823,琥珀山庄,十堰,茅箭,茅箭周边,2013,高层,天津路11号,110.7963442,32.63506127,,,,0,公寓住宅,民用,7.8,12,-0.02,8552.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625822,五堰农行家属院,十堰,茅箭,茅箭周边,,多层,五堰北街15号,110.7809268,32.64755628,,,,0,公寓住宅,民用,7.8,12,1.65,6530.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625821,神华新苑,十堰,茅箭,茅箭周边,2013,小高层,天津路,110.8211613,32.61112282,,,,0,公寓住宅,民用,7.3,12,0.0,5714.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625972,公安局住宅小区,十堰,茅箭,茅箭周边,,多层,山西路6号,110.7737906,32.64503588,,,,0,公寓住宅,民用,7.9,12,0.0,6886.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625971,茅箭区人民检察院宿舍,十堰,茅箭,茅箭周边,,多层,人民中路16号,110.7769582,32.6399505,,,,0,公寓住宅,民用,7.9,12,0.0,6363.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625820,寿康生活广场,十堰,茅箭,茅箭周边,,小高层,人民南路73号,110.7709725,32.61636063,,,,0,公寓住宅,民用,7.6,12,0.0,5384.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625818,东安小区,十堰,茅箭,茅箭周边,,多层,东岳路38号,110.7698261,32.6450861,,,,0,公寓住宅,民用,8.1,12,0.0,6136.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625999,上海名都,十堰,茅箭,王府井广场,,高层,北京路35号,110.7873266,32.61909125,,,,0,商住楼,商用,7.7,12,-0.35,9561.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625817,北京路文体局家属楼,十堰,茅箭,茅箭周边,,多层,北京北路83号,110.7909109,32.64963085,,,,0,公寓住宅,民用,7.4,12,0.0,6517.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625815,通达新村,十堰,茅箭,茅箭周边,,多层,丹江路18号,110.8139268,32.58967081,,,,0,公寓住宅,民用,7.1,12,0.0,5223.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625814,老财政局家属院,十堰,茅箭,茅箭周边,,,朝阳中路19号,110.7779287,32.65268496,,,,0,公寓住宅,民用,8.0,12,0.0,6746.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625813,金燕华府,十堰,茅箭,茅箭周边,,小高层,人民中路9号,110.7777469,32.64080261,,,,0,公寓住宅,民用,7.9,12,7.98,6131.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625984,吉祥小区,十堰,茅箭,茅箭周边,,多层,上海路,110.7853862,32.62553655,,,,0,公寓住宅,民用,7.4,12,0.0,4335.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625985,十堰恒大城·雲境,十堰,茅箭,茅箭周边,,高层|超高层,上海路（湖北医药学院对面）,110.7823749,32.62652522,,,,0,公寓住宅,民用,7.6,12,0.0,8900.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625986,大美盛城二期,十堰,茅箭,王府井广场,,高层,上海路,110.7861299,32.62094091,,,,0,公寓住宅,民用,7.7,12,6.16,10064.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625969,柏林佳苑,十堰,茅箭,茅箭周边,,高层,西城路136号,110.7831181,32.63837009,,,,0,公寓住宅,民用,7.9,12,0.0,1607.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625968,卧龙城,十堰,茅箭,茅箭周边,,多层,海口路,110.8651395,32.58090691,,,,0,公寓住宅,民用,6.7,12,0.0,3414.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625819,腾龙阁,十堰,茅箭,茅箭周边,,高层,柳林路42号,110.7824406,32.63973153,,,,0,公寓住宅,民用,8.2,12,0.0,6370.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625998,书香嘉苑,十堰,茅箭,王府井广场,2014,高层,上海路40号,110.7845044,32.6219808,,,,0,商住楼,商用,7.6,12,0.0,8695.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625981,东方新城,十堰,茅箭,茅箭周边,,高层,白浪中路89号,110.8800826,32.57169357,,,,0,公寓住宅,民用,6.7,12,0.0,4199.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625996,震洋贵府,十堰,茅箭,王府井广场,,多层,北京中路,110.7903134,32.62076473,,,,0,公寓住宅,民用,7.5,12,0.0,8053.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625825,白浪汽配城,十堰,茅箭,茅箭周边,,多层,广州路25号,110.85632,32.57813424,,,,0,公寓住宅,民用,7.0,12,0.0,4311.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625826,武铁和谐苑,十堰,茅箭,茅箭周边,,多层,武当路,110.7830641,32.6016557,,,,0,公寓住宅,民用,7.3,12,0.0,4948.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625827,神强花园,十堰,茅箭,茅箭周边,,小高层,泰安巷5号,110.8097511,32.59422434,,,,0,公寓住宅,民用,7.2,12,0.0,5833.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625828,捷开心苑公寓,十堰,茅箭,茅箭周边,2016,高层,东岳路,110.7768971,32.64207404,,,,0,公寓住宅,民用,8.8,12,-4.65,6820.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625829,十堰大市场小区,十堰,茅箭,茅箭周边,,多层,堰桥街2号,110.7700041,32.62531899,,,,0,公寓住宅,民用,7.8,12,0.0,5555.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625830,明天映像,十堰,茅箭,茅箭周边,,多层,北京北路76号,110.7922901,32.64719506,,,,0,公寓住宅,民用,7.6,12,0.0,7888.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
625979,超伦天地,十堰,茅箭,茅箭周边,,高层,白浪西路112号,110.847282,32.57839488,,,,0,商住楼,商用,6.8,12,0.0,3000.0,Hubei,Shiyan,Maojian,Hubei-Shiyan
