id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
646597,南苑新村三期,随州,曾都,新世纪购物中心,2017,多层,真武街12号,113.339143,31.71682757,,30.0,41940.0,353,公寓住宅,民用,7.4,12,0.0,5217.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
646665,香榭里多层社区,随州,曾都,新世纪购物中心,,多层,解放路65号,113.3685683,31.71498119,,32.0,24402.0,0,公寓住宅,民用,8.1,12,0.0,4833.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
646731,城东国际,随州,曾都,红星国际广场,,高层,鹿鹤大道,113.4107052,31.71929176,,39.0,215000.0,1720,公寓住宅,民用,8.0,12,-1.29,5726.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
646729,公园1978,随州,曾都,红星国际广场,2018,小高层,"文峰大道,近季梁大道",113.4036111,31.71092019,,30.0,980000.0,0,商住楼,商用,7.6,12,-0.52,6221.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
646728,随园嘉墅,随州,曾都,红星国际广场,,小高层,"文化公园北路,近季梁大道",113.3994932,31.72195428,,35.0,272550.0,1861,公寓住宅,民用,7.4,12,-2.27,5515.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
646727,康华花语城,随州,曾都,红星国际广场,2016,小高层,"季梁大道,近文峰大道",113.4058792,31.71201003,,35.0,,0,公寓住宅,民用,7.6,12,-0.55,6069.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
646726,坤泰悦都,随州,曾都,红星国际广场,2019,小高层,青年路10号?,113.4008358,31.72931844,,30.0,127260.0,0,公寓住宅,民用,7.7,12,-0.23,5863.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
646725,帝明世家,随州,曾都,红星国际广场,2015,小高层,青年路9号,113.3884478,31.72637235,,43.0,200000.0,1639,公寓住宅,民用,7.9,12,-0.42,6016.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
646722,季梁佳园,随州,曾都,红星国际广场,,小高层,文化公园路近文峰大道,113.4016838,31.70918521,,30.0,123537.0,0,公寓住宅,民用,7.5,12,-1.12,6005.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
646720,世景壹品,随州,曾都,红星国际广场,,多层|高层,"编钟大道,近季梁大道",113.4086191,31.70833255,,30.0,113000.0,0,公寓住宅,民用,7.2,12,0.0,5720.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
646719,世纪花园,随州,曾都,红星国际广场,,小高层,迎宾大道,113.4086389,31.71858422,,30.1,150000.0,0,公寓住宅,民用,7.3,12,1.04,6086.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
646717,尚城国际,随州,曾都,红星国际广场,2016,小高层,青年路1号,113.3909866,31.72561371,,37.0,130200.0,0,公寓住宅,民用,7.7,12,-0.73,5631.0,Hubei,Suizhou,Zengdu,Hubei-Suizhou
