id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
811197,东山大道143号小区,宜昌,伍家岗,万达,2004,多层,东山大道143号,111.2965012,30.69536103,2.0,30.0,,126,公寓住宅,民用,8.0,12,0.0,6837.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811203,夷陵大道住宅,宜昌,伍家岗,万达,2001,多层,夷陵大道154号,111.2942777,30.68981362,2.0,30.0,,108,公寓住宅,民用,8.0,12,0.0,9046.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811202,港务新村,宜昌,伍家岗,万达,2005,多层,万达路,111.3061128,30.68316305,2.0,30.0,,410,公寓住宅,民用,8.2,12,0.0,8038.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811201,夷陵路258号小区,宜昌,伍家岗,万达,2005,小高层,夷陵路258号,111.3140865,30.6744204,,30.0,,20,公寓住宅,民用,7.9,12,0.0,6900.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811200,胜利二路6-1号小区,宜昌,伍家岗,万达,2009,小高层,胜利二路6-1号,111.2980799,30.68603802,2.0,30.0,,56,公寓住宅,民用,8.2,12,0.0,7500.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811199,胜利四路12号小区,宜昌,伍家岗,万达,2015,小高层,胜利四路12号,111.2898942,30.69117326,,30.0,,0,公寓住宅,民用,8.1,12,0.0,13225.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811198,夷陵大道222号小区,宜昌,伍家岗,万达,2017,多层,夷陵大道222号,111.3116529,30.67762542,2.0,30.0,,35,公寓住宅,民用,8.1,12,0.0,7733.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811195,胜利四路24号小区,宜昌,伍家岗,万达,2014,多层,胜利四路24号,111.2920628,30.69379616,,30.0,,0,公寓住宅,民用,8.2,12,0.0,9600.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811204,邮电小区,宜昌,伍家岗,万达,2013,小高层,夷陵大道146号,111.2927449,30.69273774,2.0,30.0,,102,公寓住宅,民用,8.2,12,0.0,7555.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811172,隆中后岭,宜昌,伍家岗,万达,2002,多层,隆康路,111.2875599,30.69290027,2.0,30.0,,482,公寓住宅,民用,8.3,12,0.0,7750.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811196,宜港小区,宜昌,伍家岗,万达,2013,多层,夷陵大道204号,111.3054163,30.68193462,,30.0,,0,公寓住宅,民用,8.0,12,0.0,7500.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811205,夷陵大道175-177号小区,宜昌,伍家岗,万达,2008,多层,夷陵大道175-177号,111.2991867,30.68743122,2.0,30.0,,28,公寓住宅,民用,8.0,12,0.0,7692.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811211,农机公司院宿舍,宜昌,伍家岗,万达,2016,多层,夷陵大道155号,111.2970405,30.68889985,2.0,30.0,,134,公寓住宅,民用,8.3,12,0.0,6941.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811207,东山大道291-297号小区,宜昌,伍家岗,万达,2018,多层,东山大道291-297号,111.3138748,30.67819709,2.0,30.0,,64,公寓住宅,民用,8.7,12,0.0,6875.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
811224,东山大道173号小区,宜昌,伍家岗,万达,2005,多层,东山大道173号,111.3027781,30.68819892,2.0,30.0,,112,公寓住宅,民用,8.3,12,0.0,8701.0,Hubei,Yichang,Wujiagang,Hubei-Yichang
