id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
123403,紫薇佳园(二期),常德,鼎城,桥南市场,2015,多层,花溪路1092号,111.6636073,29.01489925,,30.0,,600,公寓住宅,民用,7.9,12,0.0,6157.0,Hunan,Changde,Dingcheng,Hunan-Changde
123402,城投十里外滩,常德,鼎城,桥南市场,2019,高层,大湖路,111.681331,29.02147405,,26.3,,0,公寓住宅,民用,8.1,12,0.03,5529.0,Hunan,Changde,Dingcheng,Hunan-Changde
123401,江南花溪苑,常德,鼎城,桥南市场,2015,高层,花溪路,111.6909907,29.01376854,2.0,30.0,,230,公寓住宅,民用,8.4,12,0.0,6026.0,Hunan,Changde,Dingcheng,Hunan-Changde
123400,宏泽佳园,常德,鼎城,桥南市场,2013,高层,建新路83号,111.6910858,29.00962573,2.0,30.0,,1756,公寓住宅,民用,8.3,12,0.0,6169.0,Hunan,Changde,Dingcheng,Hunan-Changde
123399,博大江山如画,常德,鼎城,桥南市场,2013,多层|小高层|高层,阳明大道,111.6736282,29.01082672,2.0,30.0,,1302,公寓住宅,民用,8.1,12,1.91,5991.0,Hunan,Changde,Dingcheng,Hunan-Changde
123398,滨江明珠,常德,鼎城,桥南市场,2017,小高层|高层,临沅路,111.6847283,29.02279743,2.0,35.0,,672,公寓住宅,民用,8.9,12,0.0,5784.0,Hunan,Changde,Dingcheng,Hunan-Changde
123397,鼎欣嘉豪,常德,鼎城,桥南市场,2012,高层,桃花源路212号,111.6718056,29.01353335,2.0,30.0,,636,公寓住宅,民用,8.1,12,0.0,5128.0,Hunan,Changde,Dingcheng,Hunan-Changde
123393,锦绣南苑,常德,鼎城,桥南副食城,2005,多层,花溪路811号,111.6693442,29.01300343,2.0,30.0,,54,公寓住宅,民用,7.8,12,0.0,5113.0,Hunan,Changde,Dingcheng,Hunan-Changde
123395,嘉美桃花源府,常德,鼎城,桥南市场,2010,小高层|高层,桃花源路,111.6612386,29.01248568,1.0,36.15,,768,公寓住宅,民用,8.0,12,-0.97,6593.0,Hunan,Changde,Dingcheng,Hunan-Changde
123394,江南明珠,常德,鼎城,桥南副食城,2000,多层|高层,隆阳路670号,111.6667518,29.01937227,2.0,55.0,,252,公寓住宅,民用,7.9,12,0.0,4737.0,Hunan,Changde,Dingcheng,Hunan-Changde
123404,恒华国际,常德,鼎城,桥南市场,2000,多层|高层,鼎城路1038号,111.6786868,29.01623855,2.0,30.0,,442,公寓住宅,民用,8.4,12,0.0,4891.0,Hunan,Changde,Dingcheng,Hunan-Changde
123392,紫薇佳园(一期),常德,鼎城,桥南副食城,2015,小高层,鼎城路731号,111.6649023,29.01528214,2.0,30.0,,324,公寓住宅,民用,7.8,12,0.0,5231.0,Hunan,Changde,Dingcheng,Hunan-Changde
123389,都市桃源,常德,鼎城,桥南副食城,2000,多层,紫缘路,111.6892065,29.01761977,1.0,30.0,,83,公寓住宅,民用,7.9,12,0.0,5229.0,Hunan,Changde,Dingcheng,Hunan-Changde
123396,碧桂园阅胜台,常德,鼎城,桥南市场,2020,高层,滨江大道,111.6610688,29.02041331,,30.0,,0,公寓住宅,民用,7.7,12,-1.01,3926.0,Hunan,Changde,Dingcheng,Hunan-Changde
123405,朗泰尚象郡,常德,鼎城,桥南市场,2014,高层,金霞路,111.6816994,28.99894029,2.0,30.0,,1168,公寓住宅,民用,8.1,12,0.0,7043.0,Hunan,Changde,Dingcheng,Hunan-Changde
123408,紫御华府,常德,鼎城,桥南市场,2014,高层,阳明路,111.6754443,29.01142718,1.0,30.0,,255,公寓住宅,民用,8.4,12,-0.07,6408.0,Hunan,Changde,Dingcheng,Hunan-Changde
123407,锦绣江南,常德,鼎城,桥南市场,2000,多层,渡口巷,111.6887467,29.01961454,2.0,30.0,,402,公寓住宅,民用,8.5,12,0.0,5493.0,Hunan,Changde,Dingcheng,Hunan-Changde
123424,星汇蓝湾,常德,鼎城,桥南市场,2020,高层,花溪路,111.690774,29.01315758,,30.0,,0,公寓住宅,民用,8.3,12,0.0,5842.0,Hunan,Changde,Dingcheng,Hunan-Changde
123423,华邦国际(商住楼),常德,鼎城,桥南市场,2016,高层,花溪路,111.6569376,29.01393897,,30.0,,1536,商住楼,商用,7.3,12,0.0,6000.0,Hunan,Changde,Dingcheng,Hunan-Changde
123422,江南香榭,常德,鼎城,桥南市场,2010,多层,花溪路756号,111.6734588,29.01346132,2.0,30.0,,168,公寓住宅,民用,8.2,12,0.0,5085.0,Hunan,Changde,Dingcheng,Hunan-Changde
123421,忆江南畅安佳苑,常德,鼎城,桥南市场,2013,高层,金霞路,111.6565095,28.99928616,1.0,30.0,,126,公寓住宅,民用,7.5,12,0.0,4985.0,Hunan,Changde,Dingcheng,Hunan-Changde
123420,江南文苑,常德,鼎城,桥南市场,2009,高层,"金霞路,近桃花源路",111.6611608,29.00113843,,32.0,,0,公寓住宅,民用,7.6,12,0.0,6666.0,Hunan,Changde,Dingcheng,Hunan-Changde
123419,鼎城区工商局宿舍,常德,鼎城,桥南市场,2002,小高层,鼎城路,111.6771119,29.01629548,,30.0,,12,公寓住宅,民用,8.2,12,0.0,4000.0,Hunan,Changde,Dingcheng,Hunan-Changde
123418,朗泰滨江新城,常德,鼎城,桥南市场,2019,高层,花溪路,111.6550282,29.01427204,,30.0,,0,公寓住宅,民用,7.8,12,0.0,6193.0,Hunan,Changde,Dingcheng,Hunan-Changde
123406,裕华豪苑,常德,鼎城,桥南市场,2006,多层|高层,大湖路380号,111.6799191,29.01466386,2.0,30.0,,328,公寓住宅,民用,8.4,12,0.0,4800.0,Hunan,Changde,Dingcheng,Hunan-Changde
123417,碧桂园中央花园,常德,鼎城,桥南市场,2012,高层,"德安路,近隆阳路",111.6647105,29.01796907,,25.0,,0,公寓住宅,民用,7.8,12,0.0,5473.0,Hunan,Changde,Dingcheng,Hunan-Changde
123414,迎宾社区,常德,鼎城,桥南市场,2002,多层,花溪路,111.6778438,29.01331861,1.0,30.0,,44,公寓住宅,民用,8.1,12,0.0,4063.0,Hunan,Changde,Dingcheng,Hunan-Changde
123413,江南玫瑰园,常德,鼎城,桥南市场,2002,多层,大湖路,111.6807476,29.01147474,2.0,30.0,,120,公寓住宅,民用,8.4,12,0.0,4609.0,Hunan,Changde,Dingcheng,Hunan-Changde
123412,滨江花苑(鼎城),常德,鼎城,桥南市场,2010,小高层,大湖路,111.6812046,29.02341327,2.0,25.0,,128,公寓住宅,民用,8.4,12,0.0,5619.0,Hunan,Changde,Dingcheng,Hunan-Changde
123411,鼎城社区,常德,鼎城,桥南市场,2006,多层,"友谊巷,近大湖路",111.6812897,29.02026668,2.0,30.0,,32,公寓住宅,民用,8.5,12,0.0,5029.0,Hunan,Changde,Dingcheng,Hunan-Changde
123410,双潭金湾,常德,鼎城,桥南市场,2000,多层,双潭路,111.6908062,29.01080786,2.0,30.0,,240,公寓住宅,民用,8.3,12,0.0,4882.0,Hunan,Changde,Dingcheng,Hunan-Changde
123409,天泓嘉瑞,常德,鼎城,桥南市场,2017,高层,金霞路,111.664035,29.00182552,1.0,30.0,,252,公寓住宅,民用,7.8,12,0.0,6290.0,Hunan,Changde,Dingcheng,Hunan-Changde
