id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
124499,地质家园,郴州,北湖,五岭广场,,小高层,南岭大道1150号,112.9948006,25.76132329,,,,0,公寓住宅,民用,7.2,12,0.0,3500.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124500,福旺雅苑,郴州,北湖,五岭广场,,高层,梨树山路150号,113.0385499,25.76108845,,35.0,,0,公寓住宅,民用,7.6,12,2.28,6610.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124497,五岭花园,郴州,北湖,五岭广场,,多层,五岭大道6号,113.0061174,25.77140469,,36.0,,0,公寓住宅,民用,7.9,12,-2.15,5008.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124450,五岭国际,郴州,北湖,五岭广场,,高层,民权路19号,113.013372,25.76730425,,37.0,,0,公寓住宅,民用,8.0,12,-0.51,8079.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124476,立昇领域,郴州,北湖,五岭广场,,多层|小高层,国庆南路419号,113.0404406,25.7624669,,35.0,,0,公寓住宅,民用,7.9,12,-0.3,6976.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124477,乐仙小镇,郴州,北湖,五岭广场,,小高层,冲口路199号,113.0042323,25.75659727,,40.91,,0,公寓住宅,民用,8.1,12,13.43,9188.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124478,惠泽园一期,郴州,北湖,五岭广场,,多层,惠泽路,112.9935985,25.77031392,,,,0,公寓住宅,民用,7.5,12,0.0,4350.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124479,中梁首府,郴州,北湖,五岭广场,,多层|小高层|高层,"冲口路,近景轩路",113.0032159,25.75183544,,,,0,公寓住宅,民用,7.1,12,0.58,4091.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124480,福星景苑,郴州,北湖,五岭广场,,高层,民生路3号,113.012811,25.77815937,,38.8,,0,公寓住宅,民用,8.4,12,0.0,5236.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124481,湘南风情康居园,郴州,北湖,五岭广场,,多层,龙泉路,113.018631,25.7772253,,,,0,公寓住宅,民用,7.9,12,0.0,5244.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124483,龙泽福城国际,郴州,北湖,五岭广场,,高层,拥军路2号,113.0044307,25.77312369,,30.0,,0,公寓住宅,民用,7.9,12,0.0,6074.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124484,御景湾人和好景,郴州,北湖,五岭广场,,多层|小高层|高层,冲口路,113.006129,25.7619849,,35.2,,0,公寓住宅,民用,7.6,12,-0.41,5909.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
124485,福城花园(北湖),郴州,北湖,五岭广场,,多层,南岭大道728号,113.0049064,25.79078884,,,,0,公寓住宅,民用,7.7,12,0.16,5296.0,Hunan,Chenzhou,Beihu,Hunan-Chenzhou
