id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
636310,金府大院,邵阳,北塔,北塔城区,,高层,魏源路,111.4441996,27.24962887,,,,0,公寓住宅,民用,7.4,12,0.0,5000.0,Hunan,Shaoyang,Beita,Hunan-Shaoyang
636327,九江社区,邵阳,北塔,北塔城区,,小高层,西湖北路,111.4547139,27.25038664,,,,0,公寓住宅,民用,7.3,12,0.0,3838.0,Hunan,Shaoyang,Beita,Hunan-Shaoyang
636292,北安新苑,邵阳,北塔,北塔城区,,小高层,西湖北路,111.4530408,27.26073237,,,,0,公寓住宅,民用,7.2,12,0.0,4511.0,Hunan,Shaoyang,Beita,Hunan-Shaoyang
636291,汽车北站商业小区,邵阳,北塔,北塔城区,,小高层,魏源路西,111.4451845,27.24882614,,,,0,公寓住宅,民用,7.7,12,0.0,3950.0,Hunan,Shaoyang,Beita,Hunan-Shaoyang
636290,智佳花苑,邵阳,北塔,北塔城区,,多层,北塔路,111.4416645,27.25367709,,,95000.0,0,公寓住宅,民用,7.1,12,-1.53,5181.0,Hunan,Shaoyang,Beita,Hunan-Shaoyang
636289,广厦名都,邵阳,北塔,北塔城区,,小高层,西湖北路,111.453278,27.25516967,,,448400.0,2400,公寓住宅,民用,7.2,12,-0.54,5694.0,Hunan,Shaoyang,Beita,Hunan-Shaoyang
636288,景苑小区,邵阳,北塔,北塔城区,,多层,金龙大道,111.4627445,27.24938475,,,,0,公寓住宅,民用,7.5,12,0.0,3715.0,Hunan,Shaoyang,Beita,Hunan-Shaoyang
636287,广夏名都,邵阳,北塔,北塔城区,,高层,西湖北路,111.4520154,27.25478779,,,,0,公寓住宅,民用,7.4,12,-0.02,5663.0,Hunan,Shaoyang,Beita,Hunan-Shaoyang
636286,江馨裕泽园,邵阳,北塔,北塔城区,,高层,云山路,111.4479776,27.26450604,,,,0,公寓住宅,民用,6.7,12,0.0,4161.0,Hunan,Shaoyang,Beita,Hunan-Shaoyang
636285,江北明珠,邵阳,北塔,北塔城区,,小高层,西湖北路,111.4520671,27.25112595,,,,0,公寓住宅,民用,7.5,12,0.07,4927.0,Hunan,Shaoyang,Beita,Hunan-Shaoyang
