id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
773882,欣积福湾三期,湘潭,湘潭县,易俗河,2015,高层,"麒麟路,近杨柳北路",112.9633564,27.78973992,2.0,35.0,,780,公寓住宅,民用,8.3,12,0.0,5840.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773881,学府雅苑南苑,湘潭,湘潭县,易俗河,2011,高层,云龙东路,112.9665915,27.77502405,2.0,30.0,,792,公寓住宅,民用,7.7,12,0.17,5076.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773880,乾隆尚书苑,湘潭,湘潭县,易俗河,2004,小高层,麒麟路,112.9609848,27.78912955,2.0,30.0,,365,公寓住宅,民用,8.0,12,0.0,6266.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773879,湘潭碧桂园(别墅),湘潭,湘潭县,易俗河,2016,低层,天易大道18号,112.9732563,27.78342603,,49.0,,0,别墅,民用,7.4,12,0.72,9162.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773876,金霞尚御尊城(公寓住宅),湘潭,湘潭县,易俗河,2016,低层|多层|小高层,天易大道,112.9744779,27.78563499,2.0,40.0,,1701,公寓住宅,民用,7.7,12,0.07,6704.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773877,尚御尊城恒郡,湘潭,湘潭县,易俗河,2021,高层,杨柳北路,112.9661291,27.78957444,2.0,35.68,,1872,公寓住宅,民用,8.2,12,0.0,6742.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773875,天一家园,湘潭,湘潭县,易俗河,2013,多层|小高层,杨柳中路,112.9645704,27.77753134,2.0,40.0,,926,公寓住宅,民用,8.0,12,-0.5,5632.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773874,谭煤宿舍,湘潭,湘潭县,易俗河,2003,多层|小高层,雪松中路710号,112.9557859,27.78817659,2.0,30.0,,574,公寓住宅,民用,7.7,12,0.0,4640.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773873,大汉紫敬龙城,湘潭,湘潭县,易俗河,2000,高层,"大鹏西路,近香樟路",112.9359259,27.77620569,2.0,30.0,,1974,公寓住宅,民用,7.5,12,1.01,6246.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773872,旺和山水宜城,湘潭,湘潭县,易俗河,2016,小高层|高层,海棠中路118号,112.9565158,27.78531605,2.0,30.0,,213,公寓住宅,民用,8.1,12,0.8,5758.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773878,翠景湾,湘潭,湘潭县,易俗河,2008,高层,玉兰路,112.9462504,27.76742088,2.0,30.0,,102,公寓住宅,民用,7.5,12,0.0,4243.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773883,锦绣湘江二期(公寓住宅),湘潭,湘潭县,易俗河,1998,低层|多层,飞羊东路180号,112.9523976,27.79535393,2.0,20.0,,754,公寓住宅,民用,7.3,12,0.0,5022.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773889,紫薇小区,湘潭,湘潭县,易俗河,2013,多层,紫薇南路27号,112.9509961,27.78354659,2.0,30.0,,191,公寓住宅,民用,7.8,12,0.0,4752.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773885,锴鑫恒郡,湘潭,湘潭县,易俗河,May-22,高层,杨柳北路,112.9659563,27.78983869,,35.68,44452.0,300,公寓住宅,民用,7.5,12,-2.11,6376.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
773886,富贵新城,湘潭,湘潭县,易俗河,1998,高层,"梧桐路,近鸿雁路",112.9706584,27.78193794,2.0,20.0,,1503,公寓住宅,民用,7.3,12,-4.35,6247.0,Hunan,Xiangtan,Xiangtan,Hunan-Xiangtan
