id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
832814,金山北路,益阳,赫山,万达广场,,小高层,金山北路,112.3377913,28.57025401,,,,0,公寓住宅,民用,7.7,12,0.0,4950.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832816,金山花园,益阳,赫山,万达广场,,小高层,金山南路,112.3382215,28.56208538,,,,0,公寓住宅,民用,7.4,12,0.0,5452.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
833002,玉锦小区,益阳,赫山,太古城,,多层,玉兰路,112.3388133,28.55402323,,,,0,公寓住宅,民用,7.0,12,0.0,4059.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
833001,财苑小区(赫山),益阳,赫山,太古城,,多层,益阳大道西182号,112.345508,28.57055396,,,,0,公寓住宅,民用,7.8,12,0.0,4328.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
833008,中苑风华,益阳,赫山,城市学院,,高层,迎宾东路498号,112.395442,28.53964143,,,,0,公寓住宅,民用,6.9,12,0.0,6050.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832826,再生资源总公司,益阳,赫山,万达广场,,小高层,滨江路292号,112.3522556,28.59104402,,,,0,公寓住宅,民用,7.6,12,0.0,5138.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832813,泓泰国际公寓,益阳,赫山,万达广场,,小高层,海棠西路421号,112.346835,28.56325146,,,50000.0,0,公寓住宅,民用,7.4,12,0.0,9722.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832825,益阳农村商业银行七里桥分行家属楼,益阳,赫山,万达广场,,多层,桃花仑东路893号,112.3838695,28.57155246,,,,0,公寓住宅,民用,7.3,12,0.0,5161.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832824,辉煌商住广场,益阳,赫山,万达广场,,小高层,赫山南路,112.3685506,28.57778941,,,,0,公寓住宅,民用,7.8,12,2.12,4840.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832823,鑫桃苑,益阳,赫山,万达广场,,小高层,大桃路,112.3529803,28.57391729,,,,0,公寓住宅,民用,7.8,12,0.0,4198.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832822,青松小区,益阳,赫山,万达广场,,多层,青年路248号,112.3746591,28.58165197,,,,0,公寓住宅,民用,7.6,12,0.0,4330.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832821,南站社区,益阳,赫山,万达广场,,多层,金山北路,112.333184,28.5836341,,,,0,公寓住宅,民用,7.6,12,0.0,4493.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832820,团圆馨家苑,益阳,赫山,万达广场,,多层,团圆北路10号,112.3794817,28.56787735,,,,0,公寓住宅,民用,7.4,12,0.0,4257.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832819,红旗小区,益阳,赫山,万达广场,,多层,秀峰东路39号,112.3607025,28.57531919,,,,0,公寓住宅,民用,7.8,12,0.0,3000.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832815,欣隆小区,益阳,赫山,万达广场,,小高层,文武路39号附18号,112.3614587,28.58144278,,,,0,公寓住宅,民用,8.1,12,-0.2,6271.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832812,鸿福小区,益阳,赫山,万达广场,,小高层,大桃北路182号,112.3534224,28.57492722,,,,0,公寓住宅,民用,7.7,12,0.0,4254.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832817,民政春晓小区,益阳,赫山,万达广场,,多层,鹿角园路159号,112.3363626,28.5495207,,,,0,公寓住宅,民用,7.0,12,0.0,5404.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832818,陆贾花园,益阳,赫山,万达广场,,小高层,桃花仑路,112.3544298,28.58316256,,,,0,公寓住宅,民用,8.1,12,0.0,4703.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832748,帝豪鑫城,益阳,赫山,万达广场,,高层,春晓路,112.3383891,28.54833329,,,47830.0,416,公寓住宅,民用,7.3,12,0.0,6650.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832774,金山润园,益阳,赫山,万达广场,,小高层,教育南路,112.3615154,28.57028274,,,,0,公寓住宅,民用,7.6,12,0.0,7303.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832886,秀峰御龙湾,益阳,赫山,万达广场,,多层,中兴路29号,112.3398319,28.58118205,,,100775.0,0,公寓住宅,民用,7.6,12,0.0,5942.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832888,都市中央广场,益阳,赫山,万达广场,,高层,康富北路232号,112.3476901,28.57710446,,,90000.0,571,公寓住宅,民用,7.7,12,0.0,6422.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832890,银城久福世家,益阳,赫山,万达广场,,小高层|高层,萝溪路625号,112.3810407,28.58614582,,30.0,,150,公寓住宅,民用,8.0,12,0.0,5128.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832891,盈嘉山庄,益阳,赫山,万达广场,,小高层,海棠路541号,112.3440716,28.56367457,,,,0,公寓住宅,民用,7.3,12,0.0,5041.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832893,湘运大厦,益阳,赫山,万达广场,,高层,迎宾西路435号,112.3412398,28.54307826,,,81006.0,648,商住楼,商用,7.4,12,0.0,5288.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832894,益阳电力安装修试公司小区,益阳,赫山,万达广场,,多层,益阳大道东,112.3835353,28.56744533,,,,0,公寓住宅,民用,7.5,12,0.0,5207.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832834,同心苑,益阳,赫山,万达广场,,小高层,秀峰东路223号,112.3598227,28.57194927,,,,0,公寓住宅,民用,7.7,12,0.0,4043.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832895,江家坪安置小区,益阳,赫山,万达广场,,多层,黄金路,112.3400847,28.56756077,,,,0,公寓住宅,民用,7.3,12,0.0,2551.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832896,鑫天国际,益阳,赫山,万达广场,,高层,益阳大道西4号,112.3545073,28.5692565,,,20000.0,0,商住楼,商用,8.3,12,0.0,6133.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832897,北辰阳光城,益阳,赫山,万达广场,,多层,龙洲北路379号,112.3587906,28.58110291,,,86888.0,488,公寓住宅,民用,8.0,12,0.0,5797.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832833,赫山农机公司,益阳,赫山,万达广场,,小高层,赫山步行街,112.3969423,28.55965132,,,,0,公寓住宅,民用,7.3,12,0.0,5279.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
832898,金源大厦小区,益阳,赫山,万达广场,,多层,民兴街55号,112.3517446,28.56847254,,,,0,公寓住宅,民用,7.5,12,0.0,6700.0,Hunan,Yiyang,Heshan,Hunan-Yiyang
