id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
818089,恒瑞壹号,永州,冷水滩,潇湘公园,,高层,"中兴路,近湘江东路",111.6090092,26.41968844,,,,0,公寓住宅,民用,7.5,12,0.0,6758.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818088,金都水岸,永州,冷水滩,潇湘公园,,高层,菜场南巷,111.6025245,26.43226279,,,,0,公寓住宅,民用,7.2,12,0.0,7647.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818092,瑞丰嘉园,永州,冷水滩,潇湘公园,,多层,梅湾路,111.6074713,26.43132297,,,,0,公寓住宅,民用,7.7,12,0.0,3992.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818091,滨江9号,永州,冷水滩,潇湘公园,,多层,平湖巷1号,111.605261,26.42629369,,,,0,公寓住宅,民用,7.1,12,0.0,6166.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818093,伍家巷,永州,冷水滩,潇湘公园,,多层,逸云路,111.6104972,26.424742,,,,0,公寓住宅,民用,7.5,12,0.0,3798.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818094,恒富花园,永州,冷水滩,潇湘公园,,多层,沿江路,111.6090451,26.41967084,,,,0,公寓住宅,民用,7.3,12,0.0,3600.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818090,人保财险住宅小区,永州,冷水滩,潇湘公园,,多层,梅湾路45号,111.6090404,26.42570419,,,,0,公寓住宅,民用,7.3,12,0.0,5663.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818087,紫金城,永州,冷水滩,潇湘公园,,小高层,逸云路242号,111.6155979,26.42518101,,,,0,公寓住宅,民用,7.3,12,0.0,6957.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818081,翠园商贸街小区,永州,冷水滩,潇湘公园,,多层,翠园商贸街,111.6043634,26.42949017,,,,0,公寓住宅,民用,7.2,12,0.0,3500.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818085,银监局宿舍,永州,冷水滩,潇湘公园,,多层,双洲路1号,111.6014979,26.43160636,,,,0,公寓住宅,民用,7.2,12,0.0,6910.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818084,冷水滩区人民检察院家属院,永州,冷水滩,潇湘公园,,多层,翠竹路169号,111.6108761,26.42821058,,,,0,公寓住宅,民用,7.7,12,0.0,3333.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818083,市场监督管理局家属楼,永州,冷水滩,潇湘公园,,多层,翠竹路10号,111.6056291,26.42823144,,,,0,公寓住宅,民用,7.2,12,0.0,6989.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818082,机冶局小区,永州,冷水滩,潇湘公园,,多层,湘江东路458号,111.6023803,26.42999615,,,,0,公寓住宅,民用,7.2,12,0.0,3500.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818095,铂金公馆,永州,冷水滩,潇湘公园,,多层,翠竹路,111.6188338,26.42868833,,,,0,公寓住宅,民用,7.3,12,0.0,5271.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818080,永州市计生委宿舍,永州,冷水滩,潇湘公园,,多层,双洲路92号,111.6089661,26.43019663,,,,0,公寓住宅,民用,7.4,12,0.0,3500.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818079,联通公司永州分公司大院,永州,冷水滩,潇湘公园,,多层,梅湾路59号,111.6088977,26.42636777,,,,0,公寓住宅,民用,7.3,12,0.0,3500.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
818078,鸿云大楼,永州,冷水滩,潇湘公园,,小高层,梅湾路485号,111.6021243,26.43487015,,,,0,公寓住宅,民用,6.0,12,0.0,4000.0,Hunan,Yongzhou,Lengshuitan,Hunan-Yongzhou
