id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
825060,西湖首府,岳阳,汨罗,汨罗城区,,高层,八托路,113.0583901,28.80199225,,30.0,,0,公寓住宅,民用,7.0,12,0.0,4711.0,Hunan,Yueyang,Miluo,Hunan-Yueyang
825170,金江学府,岳阳,汨罗,汨罗城区,,多层|高层,人民东路,113.0894941,28.80168349,,35.0,,684,公寓住宅,民用,7.7,12,0.0,4600.0,Hunan,Yueyang,Miluo,Hunan-Yueyang
825182,碧桂园天樾,岳阳,汨罗,汨罗城区,,高层,屈原大道,113.0634424,28.82720118,,36.6,192300.0,1197,公寓住宅,民用,7.3,12,0.0,4856.0,Hunan,Yueyang,Miluo,Hunan-Yueyang
825214,汨罗碧桂园,岳阳,汨罗,汨罗城区,,高层,汨罗江大道辅路,113.0671929,28.82203071,,35.0,,0,公寓住宅,民用,7.5,12,0.0,4562.0,Hunan,Yueyang,Miluo,Hunan-Yueyang
825218,中天一号,岳阳,汨罗,汨罗城区,,小高层,汨新大道,113.0954773,28.79327589,,40.0,,0,公寓住宅,民用,7.1,12,0.0,3797.0,Hunan,Yueyang,Miluo,Hunan-Yueyang
825219,九喜馨园,岳阳,汨罗,汨罗城区,,高层,前进路90号,113.0658322,28.81343186,1.0,28.0,,128,公寓住宅,民用,7.6,12,0.0,3809.0,Hunan,Yueyang,Miluo,Hunan-Yueyang
823505,亮辉大厦,岳阳,岳阳楼,商业步行街,2012,高层,"南辅街,近得胜南路",113.1031605,29.37432489,,12.0,,411,公寓住宅,民用,8.8,12,0.0,6134.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823504,三辉鑫厦,岳阳,岳阳楼,商业步行街,2011,高层,求索东路548号,113.1350522,29.35402722,2.0,18.0,,62,公寓住宅,民用,7.9,12,0.0,6625.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823518,金中环广场,岳阳,岳阳楼,商业步行街,2008,高层,站前西路75号,113.107702,29.37801971,2.0,35.0,,1113,公寓住宅,民用,8.6,12,1.81,7688.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823497,宏安大厦,岳阳,岳阳楼,商业步行街,2014,高层,巴陵中路256号,113.1129153,29.37486578,,15.0,,225,公寓住宅,民用,9.2,12,0.0,6678.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823542,龙峰学府新城,岳阳,岳阳楼,商业步行街,2015,高层,金桥巷73号,113.1493165,29.32443875,2.0,35.0,,0,公寓住宅,民用,7.9,12,0.0,5796.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823285,洞庭名邸,岳阳,岳阳楼,商业步行街,2017,高层,沿湖路510号,113.1145702,29.40460769,,35.0,,607,公寓住宅,民用,7.7,12,0.65,6045.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823291,岳阳新天地,岳阳,岳阳楼,商业步行街,2010,高层,冷水铺路487号,113.1434403,29.38466814,2.0,35.0,,2521,公寓住宅,民用,8.3,12,0.23,7284.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823293,天邦钻石山,岳阳,岳阳楼,商业步行街,2015,高层,白石岭北路166号,113.172534,29.37467608,2.0,35.22,,1516,公寓住宅,民用,8.1,12,-0.86,6743.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823307,中天维益家园,岳阳,岳阳楼,商业步行街,2016,高层,"白石岭北路,近营盘岭路",113.1714341,29.37779133,2.0,35.0,,1355,公寓住宅,民用,8.0,12,-3.37,6964.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823309,富兴鹏城(东区),岳阳,岳阳楼,商业步行街,2016,多层|高层,"青年东路,近旭园路",113.1590357,29.36899496,2.0,35.0,,896,公寓住宅,民用,8.3,12,-5.34,9108.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823251,美的梧桐庄园,岳阳,岳阳楼,商业步行街,2017,高层,巴陵东路518号,113.1906153,29.37091098,2.0,36.6,,6727,公寓住宅,民用,7.9,12,-0.1,7505.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823252,天伦国际,岳阳,岳阳楼,商业步行街,2019,高层,青年中路,113.1232779,29.36963663,2.0,30.2,,3729,公寓住宅,民用,9.0,12,0.35,10693.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823253,恒大南湖半岛,岳阳,岳阳楼,商业步行街,2014,高层|超高层,云梦路,113.0885092,29.35394248,2.0,35.0,,3692,公寓住宅,民用,7.8,12,-1.52,8895.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823254,北控岳州府,岳阳,岳阳楼,商业步行街,,高层|超高层,"青年中路,近建湘路",113.124561,29.36735369,2.0,40.0,,2601,公寓住宅,民用,8.8,12,-3.63,10458.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823259,星河国际,岳阳,岳阳楼,商业步行街,2015,小高层|高层,"白石岭南路,近民兴路",113.1709035,29.34808362,,40.0,,2039,公寓住宅,民用,8.0,12,0.4,8334.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823261,恒大绿洲,岳阳,岳阳楼,商业步行街,2014,小高层|高层,金凤桥路51号,113.1964771,29.36852935,2.0,38.0,,3294,公寓住宅,民用,7.7,12,-0.36,7228.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823269,英伦世家,岳阳,岳阳楼,商业步行街,2015,高层|超高层,"岳阳大道,近白石岭",113.169534,29.35475731,2.0,35.0,,1257,公寓住宅,民用,8.2,12,-0.18,8757.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823272,玉鑫巴陵星城,岳阳,岳阳楼,商业步行街,2015,高层|超高层,巴陵中路511号,113.1222871,29.37345866,2.0,35.0,,1608,公寓住宅,民用,9.3,12,0.06,8636.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823278,君临嘉龙公馆,岳阳,岳阳楼,商业步行街,2013,高层,花板桥路,113.1192714,29.36907528,2.0,35.0,,725,公寓住宅,民用,9.1,12,-1.77,8046.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823315,恒大御景湾,岳阳,岳阳楼,商业步行街,,高层,湖东路,113.1089029,29.38738732,2.0,35.0,,1972,公寓住宅,民用,7.9,12,0.0,8241.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823316,龙骧华城,岳阳,岳阳楼,商业步行街,2018,高层,青年中路,113.1193525,29.36679518,2.0,36.0,,616,公寓住宅,民用,9.2,12,-0.59,8708.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823579,芭蕉湖恒泰雅园,岳阳,岳阳楼,商业步行街,2011,高层,联港路,113.1680562,29.43136831,2.0,35.0,,1456,公寓住宅,民用,7.2,12,0.0,4958.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823561,长兴花园,岳阳,岳阳楼,商业步行街,1999,多层,建康路98号,113.1603584,29.36127503,,36.0,,240,公寓住宅,民用,8.1,12,0.0,4675.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823321,阳光美居,岳阳,岳阳楼,商业步行街,2014,高层,冷水铺路749号,113.1450057,29.3872221,2.0,31.5,,522,公寓住宅,民用,8.2,12,0.2,6424.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823323,公园大邸,岳阳,岳阳楼,商业步行街,2019,超高层,岳阳大道西,113.1087017,29.35979125,2.0,32.3,140000.0,2643,公寓住宅,民用,8.3,12,0.12,8435.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823327,首尔东成樽品,岳阳,岳阳楼,商业步行街,2016,高层,天伦路9号,113.1217441,29.36815931,,31.1,,720,公寓住宅,民用,9.1,12,-1.42,9344.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823333,万象瑞城,岳阳,岳阳楼,商业步行街,2016,高层,金鹗东路209号,113.1417968,29.35900892,2.0,35.0,,2203,公寓住宅,民用,8.5,12,2.4,8756.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
823601,星浩汇景城,岳阳,岳阳楼,商业步行街,,高层,屈原路32号,113.1644084,29.37482115,,35.0,,0,公寓住宅,民用,7.4,12,0.0,6839.0,Hunan,Yueyang,Yueyanglou,Hunan-Yueyang
