id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
875744,东部美的城(2期),株洲,荷塘,三一歌雅郡,,高层,新塘路,113.1706616,27.88001064,,,,0,公寓住宅,民用,6.8,12,-0.63,6553.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875737,沙坡大厦,株洲,荷塘,三一歌雅郡,2016,高层,新华东路916号,113.1748802,27.8681077,1.0,30.0,,32,公寓住宅,民用,7.6,12,0.0,4642.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875742,天隆御东上品,株洲,荷塘,三一歌雅郡,1998,高层,新华东路104号,113.1882611,27.8801235,2.0,20.0,,0,公寓住宅,民用,6.9,12,0.0,5471.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875738,国投水木阳光里,株洲,荷塘,三一歌雅郡,2020,高层,向阳路500号,113.1635668,27.87879387,,36.2,,0,公寓住宅,民用,7.2,12,0.0,5983.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875735,芙蓉花园,株洲,荷塘,三一歌雅郡,2010,高层,芙蓉路60号,113.1782545,27.87375737,,30.0,,0,公寓住宅,民用,7.6,12,0.0,5264.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875739,荣盛华府,株洲,荷塘,三一歌雅郡,2021,高层,向阳北路555号,113.1611495,27.87888374,,36.0,,0,公寓住宅,民用,7.5,12,0.0,6138.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875734,东方丽都(西区),株洲,荷塘,三一歌雅郡,2015,高层,新华东路,113.1806528,27.87462324,2.0,25.0,,192,公寓住宅,民用,7.4,12,0.0,5369.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875733,学府华庭,株洲,荷塘,三一歌雅郡,2014,小高层,云龙大道,113.1651894,27.89808038,2.0,35.19,,884,公寓住宅,民用,7.8,12,0.0,4438.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875732,中梁建宁檀府,株洲,荷塘,三一歌雅郡,2020,多层|小高层|高层,010乡道,113.1839559,27.85322124,2.0,35.0,,2156,公寓住宅,民用,7.7,12,0.0,6564.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875740,亿都澜庭,株洲,荷塘,三一歌雅郡,2006,多层|高层,盘龙路,113.1558528,27.8960031,2.0,30.0,,2312,公寓住宅,民用,7.5,12,0.0,6208.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875731,荷塘月色,株洲,荷塘,三一歌雅郡,2006,多层,红旗南路46号,113.1780982,27.84901449,2.0,30.0,,588,公寓住宅,民用,8.1,12,0.0,5183.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875741,天天向上小区,株洲,荷塘,三一歌雅郡,1993,高层,向阳路,113.1731979,27.87274787,,20.0,,164,公寓住宅,民用,7.2,12,0.0,5000.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875784,新荷家园,株洲,荷塘,新桂广场,1998,多层,新华东路3号,113.1673522,27.85816174,2.0,20.0,,84,公寓住宅,民用,8.0,12,0.0,5669.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
875730,阳光城新城樾府,株洲,荷塘,三一歌雅郡,2021,高层,向阳北路,113.1631289,27.87903655,2.0,35.9,,1535,公寓住宅,民用,7.8,12,0.34,5317.0,Hunan,Zhuzhou,Hetang,Hunan-Zhuzhou
