id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
301119,胯下南街139号小区,淮安,淮安区,淮安区,2002,多层,胯下南街139号,119.1363607,33.50217523,,30.0,,0,公寓住宅,民用,7.6,12,0.0,6000.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301116,华联商厦,淮安,淮安区,淮安区,2010,高层,东门大街,119.1390899,33.51034909,2.0,30.0,,0,公寓住宅,民用,8.3,12,0.0,6956.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301120,更楼东街68号平房,淮安,淮安区,淮安区,2005,低层,更楼东街68号,119.1396171,33.49838425,,30.0,,1,公寓住宅,民用,7.3,12,0.0,4400.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301126,海棠广场A区,淮安,淮安区,镇淮楼,2014,多层|高层,樱桃园路,119.1569388,33.51053392,2.0,30.0,,360,公寓住宅,民用,8.1,12,0.72,9572.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301123,东南花苑,淮安,淮安区,淮安区,2010,多层,商技校路,119.1511612,33.50719581,2.0,30.0,,0,公寓住宅,民用,8.1,12,0.0,8441.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301124,文锦城锦苑,淮安,淮安区,镇淮楼,2016,多层|高层,"府前路,近沈坤路",119.1604817,33.53403569,2.0,30.0,,1836,公寓住宅,民用,7.6,12,-0.49,11766.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301125,淮安新城市广场(东区),淮安,淮安区,镇淮楼,2012,多层|高层,"翔宇大道,近梁红玉路",119.1550318,33.52806185,2.0,30.0,,1530,公寓住宅,民用,7.6,12,0.25,11066.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301115,荷湖星城(南区),淮安,淮安区,淮安区,2012,小高层|高层,北门大街1号,119.1393038,33.52862655,2.0,30.0,,1699,公寓住宅,民用,7.8,12,-1.08,9790.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301121,淮安物资城,淮安,淮安区,淮安区,2010,多层,西门大街147号,119.1332656,33.51043641,,30.0,,0,公寓住宅,民用,7.4,12,0.0,6896.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301114,书香门第,淮安,淮安区,淮安区,2009,多层,楚州大道,119.1483684,33.53668266,2.0,30.0,,1376,公寓住宅,民用,7.6,12,0.08,9447.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301100,金陵宙辉国际花园,淮安,淮安区,翔宇大道,2013,小高层|高层,府前路11号,119.1503417,33.53119022,2.0,30.0,,1473,公寓住宅,民用,7.7,12,-1.61,10883.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301112,港龙东望府,淮安,淮安区,翔宇大道,2018,高层,"山阳大道,近铁云路",119.1642817,33.54580317,,35.0,165986.0,1131,公寓住宅,民用,7.0,12,0.0,10629.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301109,文锦苑,淮安,淮安区,翔宇大道,2020,高层,"广州路,近城东路",119.1652258,33.55897533,,30.0,,0,公寓住宅,民用,7.0,12,0.0,8220.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301108,罗桥新苑,淮安,淮安区,翔宇大道,2017,多层,翔宇大道,119.185882,33.53357152,2.0,30.0,,0,公寓住宅,民用,7.5,12,0.09,6919.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301107,珺悦,淮安,淮安区,翔宇大道,2019,高层,"山阳大道,近铁云路",119.1655503,33.54383811,,30.0,,1219,公寓住宅,民用,7.3,12,-0.33,10819.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301106,华谊星河,淮安,淮安区,翔宇大道,2012,小高层,府前路66号,119.1481883,33.5315013,2.0,30.0,,464,公寓住宅,民用,7.7,12,0.0,12061.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301105,恒润御东学府,淮安,淮安区,翔宇大道,2016,多层|高层,翔宇大道,119.1655223,33.53252865,2.0,30.0,,200,公寓住宅,民用,7.6,12,0.0,11270.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
301104,玖珑湾城果,淮安,淮安区,翔宇大道,2019,高层,翔宇大道803号,119.1251796,33.5406441,,30.0,,1876,公寓住宅,民用,7.8,12,-0.26,10979.0,Jiangsu,Huaian,Huaian,Jiangsu-Huaian
