id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
408320,环山路8号小区,连云港,连云,平山,2000,多层,环山路8号,119.4213471,34.73668714,2.0,30.0,,36,公寓住宅,民用,7.3,12,0.0,4464.0,Jiangsu,Lianyungang,Lianyun,Jiangsu-Lianyungang
408327,海城广场,连云港,连云,平山,2000,高层,海棠南路66号,119.3680381,34.73989021,,30.0,,72,公寓住宅,民用,7.3,12,0.0,5592.0,Jiangsu,Lianyungang,Lianyun,Jiangsu-Lianyungang
408326,东方医院宿舍楼,连云港,连云,平山,2000,多层,中华西路57号,119.3549788,34.74004607,,30.0,,30,公寓住宅,民用,7.7,12,0.0,10501.0,Jiangsu,Lianyungang,Lianyun,Jiangsu-Lianyungang
408325,月光蝴蝶花园,连云港,连云,平山,2018,多层,中华东路28号,119.3725066,34.74311607,,30.0,,0,公寓住宅,民用,7.2,12,0.0,5853.0,Jiangsu,Lianyungang,Lianyun,Jiangsu-Lianyungang
408324,栖霞水产综合楼,连云港,连云,平山,2000,多层,海棠中路39号,119.3646792,34.74486902,,30.0,,72,公寓住宅,民用,7.4,12,0.0,6175.0,Jiangsu,Lianyungang,Lianyun,Jiangsu-Lianyungang
408323,海景大厦,连云港,连云,平山,2002,高层,中华西路51号,119.3572185,34.7401916,,30.0,,96,公寓住宅,民用,7.8,12,0.0,6105.0,Jiangsu,Lianyungang,Lianyun,Jiangsu-Lianyungang
408322,港务局小区,连云港,连云,平山,2000,多层,新港路11号,119.3700576,34.73655076,,30.0,,330,公寓住宅,民用,7.2,12,0.0,4980.0,Jiangsu,Lianyungang,Lianyun,Jiangsu-Lianyungang
408321,中煤小区,连云港,连云,平山,2000,多层,中煤巷3号,119.384426,34.73941667,2.0,30.0,,36,公寓住宅,民用,7.4,12,0.0,5500.0,Jiangsu,Lianyungang,Lianyun,Jiangsu-Lianyungang
408328,田湾安置小区,连云港,连云,平山,2000,多层,连高路,119.4777438,34.70485343,,30.0,,54,公寓住宅,民用,6.6,12,0.0,3850.0,Jiangsu,Lianyungang,Lianyun,Jiangsu-Lianyungang
408317,水泉街22号小区,连云港,连云,平山,2000,多层,水泉街,119.3721483,34.73540983,2.0,30.0,,36,公寓住宅,民用,7.6,12,0.0,5400.0,Jiangsu,Lianyungang,Lianyun,Jiangsu-Lianyungang
