id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
449312,金鹰汉中新城,南京,建邺,南湖,1998,高层,汉中门大街1号,118.7587896,32.04246297,2.0,15.0,49000.0,234,公寓住宅,民用,7.8,12,0.0,37006.0,Jiangsu,Nanjing,Jianye,Jiangsu-Nanjing
449311,茶亭东街9巷5号小区,南京,建邺,南湖,1995,多层,茶亭东街9巷5号,118.7544445,32.03346492,2.0,20.0,,72,公寓住宅,民用,8.3,12,0.0,33943.0,Jiangsu,Nanjing,Jianye,Jiangsu-Nanjing
449313,莫愁大厦(商住楼),南京,建邺,南湖,2010,高层,水西门大街101号,118.7577933,32.03315144,2.0,30.0,,98,商住楼,商用,8.0,12,0.0,30985.0,Jiangsu,Nanjing,Jianye,Jiangsu-Nanjing
449363,胜科星洲府,南京,建邺,江心洲,2021,多层,文武街,118.7103101,32.04519205,2.0,30.0,,253,公寓住宅,民用,7.4,12,0.0,60000.0,Jiangsu,Nanjing,Jianye,Jiangsu-Nanjing
449308,茶东九巷五号小区,南京,建邺,南湖,1990,多层,水西门大街,118.75435,32.03352239,2.0,20.0,,96,公寓住宅,民用,7.9,12,0.0,28200.0,Jiangsu,Nanjing,Jianye,Jiangsu-Nanjing
449307,水西门大街109号小区,南京,建邺,南湖,1979,多层,水西门大街109号,118.7571125,32.03246187,,20.0,,30,公寓住宅,民用,7.6,12,0.0,32800.0,Jiangsu,Nanjing,Jianye,Jiangsu-Nanjing
449310,沿河一村49号小区,南京,建邺,南湖,1990,多层,沿河一村49号,118.7494194,32.02578059,2.0,20.0,,141,公寓住宅,民用,7.8,12,0.0,33842.0,Jiangsu,Nanjing,Jianye,Jiangsu-Nanjing
449314,裕华大厦(商住楼),南京,建邺,南湖,2010,高层,汉中门大街269号,118.7347447,32.0413575,2.0,30.0,,899,商住楼,商用,7.9,12,0.0,40239.0,Jiangsu,Nanjing,Jianye,Jiangsu-Nanjing
449365,升龙桃花园著,南京,建邺,江心洲,Mar-21,高层,"绿水街,近亚鹏路",118.7005335,32.04440396,,30.0,,0,公寓住宅,民用,7.3,12,2.79,54541.0,Jiangsu,Nanjing,Jianye,Jiangsu-Nanjing
449368,升龙公园道檀园(别墅),南京,建邺,江心洲,2017,低层,"葡园路,近星月街",118.7075607,32.04708514,,30.0,,0,别墅,民用,6.8,12,0.0,54093.0,Jiangsu,Nanjing,Jianye,Jiangsu-Nanjing
449315,天顺大厦(商住楼),南京,建邺,南湖,2003,高层,汉中门大街267号,118.7347149,32.04119552,2.0,30.0,,108,商住楼,商用,8.5,12,0.0,42546.0,Jiangsu,Nanjing,Jianye,Jiangsu-Nanjing
