id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
810659,文游府第,扬州,高邮,高邮周边,2008,多层,文游北路18号,119.4410001,32.79576016,2.0,32.0,,94,公寓住宅,民用,7.8,12,0.0,6422.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810660,文游雅苑,扬州,高邮,高邮周边,2009,多层,烟雨路109号,119.4443314,32.77966383,2.0,35.0,,72,公寓住宅,民用,7.9,12,0.0,6645.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810661,沁园春,扬州,高邮,高邮周边,2003,多层|高层,公园巷38号,119.4307969,32.78748901,2.0,30.0,,234,公寓住宅,民用,7.8,12,0.0,6500.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810665,烟雨园,扬州,高邮,高邮周边,2011,多层,烟雨路,119.4456639,32.77965643,2.0,30.0,,1071,公寓住宅,民用,8.1,12,0.0,6123.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810663,邮都花苑,扬州,高邮,高邮周边,2006,低层,琵琶路20号,119.4339853,32.77436392,,30.0,,0,别墅,民用,7.2,12,0.0,7672.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810664,邮都龙腾花苑,扬州,高邮,高邮周边,2006,低层,海潮东路,119.4630404,32.78254427,2.0,30.0,,554,公寓住宅,民用,7.8,12,0.0,7808.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810658,文鑫新加坡花园,扬州,高邮,高邮周边,2016,低层,金桥路,119.4504531,32.78913386,,30.0,,0,别墅,民用,7.8,12,0.0,12150.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810662,邮城花苑,扬州,高邮,高邮周边,2008,多层,文化宫路7号,119.434754,32.78804327,2.0,30.0,,36,公寓住宅,民用,8.0,12,0.0,8533.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810657,文鑫升达花园,扬州,高邮,高邮周边,2008,多层,通湖路144号,119.446969,32.78943579,2.0,30.0,,113,公寓住宅,民用,8.2,12,0.0,6203.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810648,翰林苑,扬州,高邮,高邮周边,2012,高层,佳醇路288号,119.4486729,32.77253216,2.0,36.0,,96,公寓住宅,民用,7.9,12,0.0,7210.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810655,玉祥苑小区,扬州,高邮,高邮周边,2005,多层,城河路,119.4311773,32.78218379,2.0,30.0,,44,公寓住宅,民用,7.5,12,0.0,6600.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810654,玉华园,扬州,高邮,高邮周边,2005,多层,府前街,119.4253532,32.78187985,2.0,30.0,,78,公寓住宅,民用,7.5,12,0.0,7431.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810653,怡水新城,扬州,高邮,高邮周边,2011,多层,闸北路21号,119.4384169,32.75958511,2.0,30.0,,402,公寓住宅,民用,7.3,12,0.0,6857.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810652,中山花苑,扬州,高邮,高邮周边,2001,多层,中山路386号,119.4288983,32.78752192,2.0,29.0,,50,公寓住宅,民用,7.6,12,0.0,5542.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810651,泓泰悦府,扬州,高邮,高邮周边,2007,多层,泰北路,119.4499253,32.79959786,2.0,30.0,,81,公寓住宅,民用,7.6,12,0.0,9720.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810650,利民花苑,扬州,高邮,高邮周边,2005,多层,国雄路,119.4299259,32.79845705,2.0,31.0,,172,公寓住宅,民用,7.3,12,0.0,5466.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810666,尚品华庭,扬州,高邮,高邮周边,2013,多层,文游北路111号,119.4331709,32.80830457,2.0,35.0,,279,公寓住宅,民用,7.4,12,0.0,4150.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810647,维扬小区,扬州,高邮,高邮周边,2004,多层,文游北路209号,119.4360243,32.80415917,2.0,32.0,,235,公寓住宅,民用,7.2,12,0.0,5695.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810656,御景园(高邮),扬州,高邮,高邮周边,2008,低层,通湖路,119.4450866,32.79033228,,42.0,,0,别墅,民用,8.1,12,0.0,10933.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810667,瑞和阳光城北1区,扬州,高邮,高邮周边,2006,多层,文游中路211号,119.4505284,32.77646099,2.0,37.0,,512,公寓住宅,民用,8.0,12,0.0,7475.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810687,帝景龙庭,扬州,高邮,高邮周边,2009,多层,屏淮路,119.4517753,32.80024021,2.0,37.0,,650,公寓住宅,民用,7.5,12,0.0,5940.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810669,奎楼花苑,扬州,高邮,高邮周边,2004,低层,盂城路85号,119.4397579,32.77769356,,26.0,,60,公寓住宅,民用,7.5,12,0.0,6133.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810674,金阳光家园,扬州,高邮,高邮周边,1991,多层,金桥路269号,119.4485813,32.79349526,2.0,20.0,,126,公寓住宅,民用,7.7,12,0.0,5609.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
810675,春之声花苑,扬州,高邮,高邮周边,2008,多层,文游北路,119.4351839,32.80761917,2.0,33.0,,418,公寓住宅,民用,7.6,12,0.0,5708.0,Jiangsu,Yangzhou,Gaoyou,Jiangsu-Yangzhou
