id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
350852,九江碧桂园,九江,柴桑,中华贤母园,,高层,九瑞大道,115.8570919,29.71044834,2.0,,,2889,公寓住宅,民用,7.4,12,0.0,4947.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350805,城西港安置小区(B区),九江,开发区,长虹西路,,多层,平安大道,115.8794092,29.70854457,2.0,,,3608,公寓住宅,民用,7.1,12,0.0,4600.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350846,嘉隆水韵风情,九江,开发区,滨江西路,,高层,九瑞大道,115.9126809,29.70642946,2.0,,,906,公寓住宅,民用,6.5,12,0.0,5542.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350848,首府(别墅),九江,开发区,沙阎北路,,低层,178县道,115.9109982,29.69340423,,,,0,别墅,民用,6.7,12,0.0,8236.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350849,民强金域蓝湾,九江,开发区,沙阎北路,,多层|高层,九瑞大道,115.9105008,29.70657331,2.0,,,924,公寓住宅,民用,6.4,12,0.0,4242.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350850,首府,九江,开发区,沙阎北路,,多层,178县道,115.9106039,29.69454413,,,,0,公寓住宅,民用,6.4,12,0.0,5657.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350890,九江印跨贸小镇,九江,柴桑,中华贤母园,,高层,通港东路9号,115.8962366,29.70454672,,,,1,公寓住宅,民用,7.3,12,0.0,5420.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350889,城西港安置小区(C区),九江,柴桑,中华贤母园,,多层,平安大道,115.87398,29.70873287,,,,2616,公寓住宅,民用,6.5,12,0.0,3850.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350910,城西港安置小区(A区),九江,柴桑,中华贤母园,,多层,平安大道,115.8854936,29.70805757,,,,2524,公寓住宅,民用,6.5,12,0.0,3900.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350865,九江碧桂园(别墅),九江,柴桑,中华贤母园,,低层,九瑞大道,115.8527509,29.70848868,,,,0,别墅,民用,6.6,12,0.0,7393.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350912,城西港安置小区(D3区),九江,柴桑,中华贤母园,,小高层|高层,平安大道,115.8620626,29.70946555,,,,0,公寓住宅,民用,6.4,12,0.0,3950.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350922,清水湾(柴桑区),九江,柴桑,中华贤母园,,多层,九瑞大道,115.9029736,29.71041692,2.0,,,234,公寓住宅,民用,6.9,12,0.0,4189.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350678,信华西溪悦府,九江,濂溪,九江职业技术学院,,多层|高层,九瑞大道,115.891846,29.70813132,2.0,,,1980,公寓住宅,民用,6.6,12,0.0,5024.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350670,西二路管委会宿舍,九江,濂溪,九江职业技术学院,,多层,平安大道,115.9176616,29.70656136,,,,0,公寓住宅,民用,6.1,12,0.0,6690.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350532,远洲九悦湾,九江,濂溪,九江职业技术学院,,高层,九瑞大道,115.9125166,29.70836109,,,,0,公寓住宅,民用,6.2,12,0.0,5555.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350472,信华紫悦都,九江,开发区,九瑞大道,,多层|小高层|高层|超高层,九瑞大道399号,115.8921162,29.70795578,2.0,,,1474,公寓住宅,民用,7.1,12,0.0,6824.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350961,广隆阳光城,九江,柴桑,中华贤母园,,多层|小高层|高层,港兴路,115.8644613,29.71485354,2.0,,,2786,公寓住宅,民用,7.2,12,0.0,5000.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350960,新西兰水果小镇,九江,柴桑,中华贤母园,,高层,平安大道,115.8605249,29.71138465,2.0,,,165,公寓住宅,民用,6.9,12,0.0,4728.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350911,城西港安置小区(D1-2区),九江,柴桑,中华贤母园,,多层|小高层,平安大道,115.8665917,29.7091746,,,,2932,公寓住宅,民用,6.5,12,0.0,3900.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350897,九瑞新城,九江,柴桑,中华贤母园,,多层|小高层|高层,九瑞大道,115.8600673,29.70887923,,,,0,公寓住宅,民用,6.6,12,0.0,4400.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
350914,安永小区,九江,柴桑,中华贤母园,,高层,港兴路,115.8415456,29.71774275,,,,0,公寓住宅,民用,6.9,12,0.0,3500.0,Jiangxi,Jiujiang,Chaisang,Jiangxi-Jiujiang
