id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
488936,新府佳苑,萍乡,安源,安源城区,,多层,怡弦路,113.889123,27.6653401,,,,0,公寓住宅,民用,6.6,12,0.0,5200.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488905,安源建材市场小区,萍乡,安源,安源城区,,多层,昭萍西路,113.8389872,27.63247282,,,,0,公寓住宅,民用,7.9,12,0.0,4200.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488904,后埠街桐子坡自建房,萍乡,安源,安源城区,,多层,永康路,113.8471132,27.63749144,,,,0,公寓住宅,民用,8.3,12,0.0,4600.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488903,光丰村富冲小区,萍乡,安源,安源城区,,多层,"富冲路,近武功山中大道",113.8701376,27.65480468,,,,0,,暂无,,12,,,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488902,幸福公寓,萍乡,安源,安源城区,,小高层,安源中大道,113.8805451,27.62862351,,,,0,公寓住宅,民用,6.7,12,0.0,4000.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488901,富强小区,萍乡,安源,安源城区,,多层,中环西路,113.8286256,27.63893097,,,,0,公寓住宅,民用,7.3,12,0.0,4000.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488900,洪山小区,萍乡,安源,安源城区,,多层,玉湖西路,113.8657582,27.6580722,,,,0,公寓住宅,民用,6.8,12,0.0,4300.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488899,富裕小区,萍乡,安源,安源城区,,多层,萍实北大道,113.8444567,27.66437393,,,,0,公寓住宅,民用,6.9,12,0.0,4300.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488898,新时代园,萍乡,安源,安源城区,,多层,朝阳南路,113.8434958,27.65149925,,,,0,公寓住宅,民用,7.6,12,0.0,3800.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488897,二二六家属住宅区,萍乡,安源,安源城区,,多层,滨河东路516号,113.8470328,27.65082534,,,,0,公寓住宅,民用,7.6,12,0.0,4100.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488896,长红小区,萍乡,安源,安源城区,,多层,长兴北路,113.8321462,27.63682426,,,,0,公寓住宅,民用,7.4,12,0.0,3500.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488895,朝阳滨河小区,萍乡,安源,安源城区,,多层,后埠街,113.8441204,27.65186634,,,,0,公寓住宅,民用,7.5,12,0.0,3750.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488894,山水居,萍乡,安源,安源城区,,多层,金陵西路,113.8533242,27.64747476,,,,0,公寓住宅,民用,7.8,12,0.0,4950.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488893,新华书店家属住宅,萍乡,安源,安源城区,,多层,建设东路,113.8530645,27.64898591,,,,0,公寓住宅,民用,7.7,12,0.0,4850.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488892,和谐武城,萍乡,安源,安源城区,,多层,凤形巷,113.850099,27.65156724,,,,0,公寓住宅,民用,7.5,12,0.0,4200.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488891,萍乡市畜牧研究所宿舍,萍乡,安源,安源城区,,多层,滨河东路414号,113.8525653,27.64737083,,,,0,公寓住宅,民用,7.7,12,0.0,4900.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488890,中鼎景泰园北区,萍乡,安源,安源城区,,高层,荷塘路,113.8722739,27.65547586,,,,0,公寓住宅,民用,7.3,12,0.0,5811.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488906,泰安学苑小区,萍乡,安源,安源城区,,多层,021乡道,113.8822827,27.62686315,,,,0,公寓住宅,民用,7.1,12,0.0,3900.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488908,青草冲安置小区,萍乡,安源,安源城区,,多层,栖霞路,113.8625518,27.63223526,,,,0,公寓住宅,民用,7.6,12,0.0,6600.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488909,凤形巷自建房,萍乡,安源,安源城区,,多层,凤形巷,113.8501433,27.65152754,,,,0,,暂无,,12,,,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488926,贺家冲小区,萍乡,安源,安源城区,,多层,安源中大道,113.8839303,27.64310168,,,,0,公寓住宅,民用,7.2,12,0.0,4000.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488925,中山路居委会北正街小区,萍乡,安源,安源城区,,小高层,正大街,113.8511212,27.62781734,,,,0,公寓住宅,民用,8.0,12,0.0,3500.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488924,江家湾上湾,萍乡,安源,安源城区,,多层,五丰河东街,113.8654896,27.64332924,,,,0,公寓住宅,民用,7.5,12,0.0,6600.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488923,锦绣园小区,萍乡,安源,安源城区,,小高层,安源中大道13号,113.8722853,27.65095557,,,,0,公寓住宅,民用,7.1,12,0.0,4300.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488922,常青小区,萍乡,安源,安源城区,,多层,木客路,113.8621594,27.63940961,,,,0,公寓住宅,民用,7.7,12,0.0,3517.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488921,府前小区,萍乡,安源,安源城区,,多层,府前路,113.8485038,27.62549908,,,,0,公寓住宅,民用,8.0,12,0.0,4160.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488920,泰华楼,萍乡,安源,安源城区,,多层,青萍路17号,113.8613763,27.63838823,,,,0,公寓住宅,民用,7.8,12,0.0,4200.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488888,和谐公寓,萍乡,安源,安源城区,,多层,登岸东路80号,113.8652048,27.63859456,,,,0,公寓住宅,民用,7.7,12,0.0,4500.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488919,原变压器厂家属小区,萍乡,安源,安源城区,,小高层,跃进北路,113.8419844,27.64048393,,,,0,公寓住宅,民用,7.8,12,0.0,4600.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488917,兴旺巷142号小区,萍乡,安源,安源城区,,低层,兴旺巷142号,113.8582796,27.63333237,,,,0,公寓住宅,民用,8.0,12,0.0,4000.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488916,永陂桥南巷自建房,萍乡,安源,安源城区,,多层,永陂桥南巷27-81号,113.8649709,27.64624665,,,,0,,暂无,,12,,,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488915,二南塘6号小区,萍乡,安源,安源城区,,多层,二南塘6号,113.8399362,27.65283179,,,,0,,暂无,,12,,,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
488914,广电传媒家属楼,萍乡,安源,安源城区,,多层,滨河西路105号,113.8517552,27.63712811,,,,0,公寓住宅,民用,8.1,12,0.0,4700.0,Jiangxi,Pingxiang,Anyuan,Jiangxi-Pingxiang
