id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
827443,金马时代公寓,宜春,丰城,新城区,,小高层,翠云大道56号,115.7654626,28.17412704,,,,0,公寓住宅,民用,7.2,12,0.0,5274.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827444,仕霖佳苑,宜春,丰城,新城区,,小高层,东郊路,115.7954815,28.20637957,,,,0,公寓住宅,民用,7.0,12,0.0,4766.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827445,新城小区,宜春,丰城,新城区,,小高层,梦祥路,115.7640886,28.15555576,,,,0,公寓住宅,民用,7.5,12,0.0,7615.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827442,三千套C区,宜春,丰城,新城区,,小高层,梦祥路,115.7576097,28.15512782,,,,0,公寓住宅,民用,7.2,12,0.0,8439.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827438,新城经典,宜春,丰城,新城区,,多层,雷焕路,115.7601931,28.15154869,,,,0,公寓住宅,民用,7.2,12,0.0,8372.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827440,洛城中央,宜春,丰城,新城区,,小高层,富水路18号,115.766467,28.16772612,,,,0,公寓住宅,民用,7.4,12,0.0,6200.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827439,三千套B区,宜春,丰城,新城区,,小高层,富州南路B60号,115.7613927,28.15422701,,,,0,公寓住宅,民用,7.7,12,0.0,6400.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827435,丰泽园贸易大市场,宜春,丰城,新城区,,多层,紫云南大道618号,115.7687949,28.1566311,,,,0,公寓住宅,民用,7.4,12,0.0,4615.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827436,东方颐和苑,宜春,丰城,新城区,,高层,府前路6号,115.7513994,28.16331433,,,,0,公寓住宅,民用,7.0,12,0.0,5300.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827437,河洲新村,宜春,丰城,新城区,,多层|小高层,剑邑大道729号,115.7668372,28.17530133,,,,0,公寓住宅,民用,7.2,12,0.0,4250.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827441,盛世都会,宜春,丰城,新城区,,小高层,凤凰路68号,115.7581721,28.16248741,,,,0,公寓住宅,民用,7.3,12,0.0,7169.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827446,麒麟苑,宜春,丰城,新城区,,小高层,太阿南路,115.7763612,28.15712128,,,,0,公寓住宅,民用,7.2,12,0.0,6985.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827461,名仕美庐,宜春,丰城,丰城城区,,小高层,府佑东路889号,115.7809152,28.16451399,,,,0,公寓住宅,民用,7.4,12,-1.26,8689.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827448,时代佳苑,宜春,丰城,新城区,,小高层,剑邑西大道,115.7600982,28.17373761,,,,0,公寓住宅,民用,7.0,12,0.0,6608.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827464,剑桥公馆,宜春,丰城,丰城城区,,小高层,剑桥路,115.7981501,28.20121342,,,,0,公寓住宅,民用,7.1,12,0.0,7758.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827463,锦绣江南(丰城),宜春,丰城,丰城城区,,高层,龙泉路36号,115.7802447,28.16169497,,,,0,公寓住宅,民用,7.2,12,-2.24,8287.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827462,东方馨园,宜春,丰城,丰城城区,,小高层,府佑东路55号,115.7854091,28.16218203,,,,0,公寓住宅,民用,7.2,12,0.15,8724.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827434,豪杰花苑,宜春,丰城,新城区,,高层,云峰路6号,115.7675824,28.16815702,,,,0,公寓住宅,民用,7.4,12,0.0,8064.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827460,新力帝泊湾,宜春,丰城,丰城城区,,小高层,龙泉路666号,115.7868611,28.16992732,,,,0,公寓住宅,民用,7.3,12,-0.48,9259.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827459,洪溪罗村新居,宜春,丰城,新城区,,小高层,梦祥路,115.7680692,28.15572914,,,,0,公寓住宅,民用,7.5,12,0.0,5504.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827447,邑桥佳苑,宜春,丰城,新城区,,小高层,紫云北大道,115.7673935,28.17434275,,,,0,公寓住宅,民用,7.2,12,0.0,7407.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827457,中泰盛景,宜春,丰城,新城区,,小高层,府前东路55号,115.7748155,28.16147642,,,,0,公寓住宅,民用,7.3,12,0.0,6400.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827455,万恒天骄华府,宜春,丰城,新城区,,小高层,骄子路1号,115.7709526,28.17440212,,,,0,公寓住宅,民用,7.2,12,0.0,7491.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827454,市妇幼保健院住宅楼,宜春,丰城,新城区,,小高层,洪州窑南路6号,115.7622296,28.15894387,,,,0,公寓住宅,民用,7.5,12,0.0,7362.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827453,阳坊花园,宜春,丰城,新城区,,小高层,雷焕路661号,115.7578554,28.15196587,,,,0,公寓住宅,民用,6.9,12,0.0,6333.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827452,邮电新村,宜春,丰城,新城区,,小高层,紫云北大道辅路,115.7666604,28.17379932,,,,0,公寓住宅,民用,7.2,12,0.0,7153.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827451,龙光商城,宜春,丰城,新城区,,小高层,新荣大道1号,115.7644903,28.15921774,,,,0,公寓住宅,民用,7.9,12,0.0,3850.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827450,紫云花园,宜春,丰城,新城区,,小高层,雷焕路175号,115.7678726,28.15140421,,,,0,公寓住宅,民用,7.7,12,0.0,8565.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827449,赢腾花园,宜春,丰城,新城区,,小高层,富州南路449号,115.7618322,28.15705424,,,,0,公寓住宅,民用,7.5,12,0.0,6855.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827456,东方公馆,宜春,丰城,新城区,,小高层,紫云北大道,115.7702866,28.16441397,,,,0,公寓住宅,民用,7.4,12,0.0,8857.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827433,左陈新村自建房,宜春,丰城,新城区,,低层,和合南路,115.7551653,28.14737425,,,,0,,暂无,6.8,12,0.0,3000.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
190477,名仕美庐,丰城,丰城城区,丰城市区,,小高层,府佑东路889号,115.7809152,28.16451399,,,,0,公寓住宅,民用,7.2,12,-0.99,8713.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
827431,丰城市人民医院宿舍,宜春,丰城,新城区,,多层,紫云南大道533号,115.7702934,28.15799946,,,,0,公寓住宅,民用,7.5,12,0.0,4700.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
190485,蔚蓝云镜,丰城,丰城城区,丰城市区,,多层,府佑东路,115.7763418,28.16683253,,,,0,公寓住宅,民用,7.0,12,0.0,9357.0,Jiangxi,Yichun,Fengcheng,Jiangxi-Yichun
