id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
116192,昊源高格蓝湾(一期商住楼),长春,二道,和顺,,高层,吉林大路,125.3549224,43.87894266,,,,0,公寓住宅,民用,7.3,12,0.0,10000.0,Jilin,Changchun,Erdao,Jilin-Changchun
116149,万科蓝山A区,长春,二道,东盛,1998,多层|小高层,怀仁路,125.3732648,43.89302903,,20.0,,704,公寓住宅,民用,7.7,12,0.71,12621.0,Jilin,Changchun,Erdao,Jilin-Changchun
116120,亚泰花园桃花苑,长春,二道,民丰街,2000,多层|小高层,吉林大路2454号,125.3724181,43.87920818,1.0,34.8,,7878,公寓住宅,民用,8.4,12,-0.92,7276.0,Jilin,Changchun,Erdao,Jilin-Changchun
116193,吉林路综合小区,长春,二道,和顺,,多层,和顺四条,125.3668404,43.88053017,,,,0,公寓住宅,民用,7.6,12,0.0,8000.0,Jilin,Changchun,Erdao,Jilin-Changchun
116119,亚泰杏花苑,长春,二道,民丰街,2003,多层|小高层,安乐路182号,125.3725427,43.87595945,,35.0,,4570,公寓住宅,民用,8.3,12,0.99,8175.0,Jilin,Changchun,Erdao,Jilin-Changchun
116151,临河小筑,长春,二道,东盛,2002,小高层,临河街2584号,125.3582523,43.86474291,,60.0,,100,公寓住宅,民用,8.5,12,0.0,7608.0,Jilin,Changchun,Erdao,Jilin-Changchun
116150,96792部队宿舍,长春,二道,东盛,1998,多层,"乐群街,近公平路",125.3825203,43.86972452,,20.0,,70,公寓住宅,民用,7.8,12,0.0,9481.0,Jilin,Changchun,Erdao,Jilin-Changchun
116194,管道宿舍,长春,二道,和顺,1998,多层,远达大街733号,125.3686809,43.90378451,1.0,20.0,,142,公寓住宅,民用,7.1,12,0.0,8191.0,Jilin,Changchun,Erdao,Jilin-Changchun
116191,蓝色港湾(二期商住楼),长春,二道,和顺,2007,高层,惠工路799号,125.364395,43.89725583,,30.0,,870,商住楼,商用,7.9,12,0.0,8423.0,Jilin,Changchun,Erdao,Jilin-Changchun
116195,东城名郡(西区),长春,二道,和顺,2004,高层,荣光路550号,125.3586315,43.88402648,1.0,30.0,,438,公寓住宅,民用,8.0,12,0.0,6629.0,Jilin,Changchun,Erdao,Jilin-Changchun
116148,万科蓝山C区,长春,二道,东盛,2002,多层|小高层,东新路,125.371925,43.89163392,,30.0,,0,公寓住宅,民用,7.7,12,0.9,13206.0,Jilin,Changchun,Erdao,Jilin-Changchun
116543,钨钼宿舍,长春,经开,中东大市场,1998,多层,东环路242号,125.3903826,43.85811481,1.0,20.0,,80,公寓住宅,民用,7.3,12,0.0,7300.0,Jilin,Changchun,Erdao,Jilin-Changchun
116544,东方彩郡,长春,经开,中东大市场,2009,多层,东环城路,125.3896567,43.85780829,1.0,30.0,,342,公寓住宅,民用,7.8,12,0.0,7600.0,Jilin,Changchun,Erdao,Jilin-Changchun
116872,像素公馆,长春,经开,世纪广场,2016,高层,"世纪大街,近珠海路",125.404807,43.84231171,1.0,28.0,,2287,商住楼,商用,7.6,12,-1.02,6583.0,Jilin,Changchun,Erdao,Jilin-Changchun
