id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
421335,永晟园,辽源,龙山,龙山城区,,多层,福镇大路253号,125.1455315,42.88906368,,,,0,公寓住宅,民用,7.5,12,-1.15,4788.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421334,隆基宝典,辽源,龙山,龙山城区,,多层,西宁大路,125.1278673,42.90368585,,,,0,公寓住宅,民用,7.3,12,0.78,5245.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421333,金鼎水岸,辽源,龙山,龙山城区,,多层,滨河南路,125.1347601,42.8881086,,,,0,公寓住宅,民用,7.3,12,-0.03,5354.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421332,银河花园二期,辽源,龙山,龙山城区,,小高层,丰寿路,125.1537431,42.91047356,,,,0,公寓住宅,民用,7.5,12,0.95,3630.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421331,站北新苑,辽源,龙山,龙山城区,,多层,二环路北段,125.125445,42.9079862,,,,0,公寓住宅,民用,7.5,12,2.24,3805.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421330,东瑞春城,辽源,龙山,龙山城区,,多层,东吉大路598号,125.1686194,42.9053763,,,,0,公寓住宅,民用,7.2,12,2.59,6052.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421325,御景豪宅,辽源,龙山,龙山城区,,多层,向阳大路,125.149103,42.87750592,,,,0,公寓住宅,民用,6.4,12,3.25,3208.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421328,桂枫园,辽源,龙山,龙山城区,,多层,向阳大路2800号,125.1191446,42.88939998,,,,0,别墅,民用,7.0,12,0.01,5690.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421327,隆府嘉园,辽源,龙山,龙山城区,,小高层,新兴路981号,125.1593818,42.90463827,,,,0,公寓住宅,民用,7.4,12,0.5,5100.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421324,晨风上东名苑,辽源,龙山,龙山城区,,小高层,辽河大路3451号,125.1661235,42.89758675,,,,0,公寓住宅,民用,7.1,12,-1.8,5386.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421336,星河万源财富园,辽源,龙山,龙山城区,,多层,向阳大路,125.1171476,42.8957353,,,,0,公寓住宅,民用,7.2,12,-2.81,2669.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421323,金都花园,辽源,龙山,龙山城区,,多层,友谊大路2491号,125.104824,42.89141947,,,,0,公寓住宅,民用,6.8,12,0.0,4268.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421329,吉盛花园,辽源,龙山,龙山城区,,小高层,东吉大路1410号(旧:新兴街),125.1618504,42.89840799,,,,0,公寓住宅,民用,7.2,12,0.0,5742.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421337,兴源小区,辽源,龙山,龙山城区,,小高层,连阳路,125.1152003,42.89151862,,,,0,公寓住宅,民用,7.2,12,0.52,4739.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421461,平安小区,辽源,龙山,龙山城区,,小高层,福镇大路724号,125.1522859,42.88779165,,,,0,公寓住宅,民用,7.3,12,0.0,3133.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421340,银基花园,辽源,龙山,龙山城区,,小高层,东吉大路,125.1720449,42.90597307,,,,0,公寓住宅,民用,7.0,12,-0.23,3492.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421341,吉明小区,辽源,龙山,龙山城区,,多层,辽河大路,125.1414024,42.8919349,,,,0,公寓住宅,民用,7.6,12,0.0,6250.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421342,利源小区,辽源,龙山,龙山城区,,小高层,辽河大路,125.1431431,42.8940096,,,,0,公寓住宅,民用,7.9,12,0.0,5000.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421343,镇东花园,辽源,龙山,龙山城区,,高层,福镇大道,125.1606322,42.88134237,,,,0,公寓住宅,民用,6.9,12,-1.57,3712.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421344,汇丰苑,辽源,龙山,龙山城区,,多层,福镇大路806号,125.1533434,42.88769654,,,,0,公寓住宅,民用,7.2,12,-0.3,5319.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421345,银河花园E区,辽源,龙山,龙山城区,2015,高层,益寿路,125.1493897,42.91086353,,,,0,公寓住宅,民用,8.0,12,-0.33,4714.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421346,九洲外滩国际,辽源,龙山,龙山城区,,多层,人民大街,125.1392312,42.89099773,,,,0,公寓住宅,民用,7.6,12,-1.23,5401.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421347,辽河人家,辽源,龙山,龙山城区,,多层,兴华街39号(旧:新兴街),125.1602928,42.89710669,,,,0,公寓住宅,民用,7.8,12,0.0,3991.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421348,南岸明珠,辽源,龙山,龙山城区,,多层,一环路,125.1485756,42.88896956,,,,0,公寓住宅,民用,7.4,12,-2.93,4409.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421349,鸿绅公馆,辽源,龙山,龙山城区,,多层,辽河大路,125.1701612,42.89676758,,,,0,公寓住宅,民用,7.3,12,0.0,7558.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421350,东吉小区,辽源,龙山,龙山城区,,小高层,龙山大街,125.1442082,42.89932394,,,,0,公寓住宅,民用,8.0,12,0.04,4328.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421351,东方新城,辽源,龙山,龙山城区,,小高层,康宁大街,125.1346652,42.89906997,,,,0,公寓住宅,民用,8.3,12,0.0,5369.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421322,检查新村,辽源,龙山,龙山城区,,多层,辽河大路,125.1701176,42.89822682,,,,0,公寓住宅,民用,7.3,12,0.2,4463.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421339,颐和上书园,辽源,龙山,龙山城区,,小高层,东吉大路45号,125.1537082,42.89759393,,,,0,公寓住宅,民用,7.6,12,0.0,6560.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421321,盛世花园,辽源,龙山,龙山城区,,小高层,西宁大路,125.1146589,42.90996246,,,,0,公寓住宅,民用,6.9,12,-0.74,3371.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421297,紫堤东郡,辽源,龙山,龙山城区,,多层,福山街?,125.1541979,42.88057169,,,,0,公寓住宅,民用,7.2,12,-1.82,5168.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421319,隆基新城,辽源,龙山,龙山城区,,多层,中康街(旧:西宁街),125.1321605,42.90544085,,,,0,公寓住宅,民用,7.7,12,-0.11,4640.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421288,玉圭园,辽源,龙山,龙山城区,,多层,"兴明街,近一环路",125.1705044,42.89098052,,,,0,公寓住宅,民用,7.0,12,0.0,5853.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
421289,龙山新城,辽源,龙山,龙山城区,,小高层,连阳路57号,125.1306326,42.88487824,,,,0,公寓住宅,民用,7.1,12,0.05,4285.0,Jilin,Liaoyuan,Longshan,Jilin-Liaoyuan
