id,名称,城市,区县,乡镇,建筑年份,类型,地址,lng84,lat84,供热,容积率,面积,总户数,类型.1,供水,得分,月份,环比,价格,province,city,county,prov_city
52205,世福佳苑二期,本溪,明山,樱桃,,多层,育龙路,123.8186781,41.30304868,,,,0,公寓住宅,民用,7.3,12,0.0,6181.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52206,红星谷花园,本溪,明山,樱桃,,多层,樱花街,123.8229752,41.29935981,,,,0,公寓住宅,民用,6.5,12,-1.07,2617.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52207,花旗大厦,本溪,明山,樱桃,,小高层,解放北路91号,123.7571951,41.30449359,1.0,,,0,公寓住宅,民用,7.3,12,1.02,5702.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52208,永平街89号小区,本溪,明山,樱桃,,多层,永平街89号,123.8138078,41.30088126,,,,0,公寓住宅,民用,6.9,12,0.0,6590.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52221,解放北二路116号小区,本溪,明山,二院,,多层,解放北二路116号,123.7586146,41.3012484,,,,0,公寓住宅,民用,7.7,12,0.0,2200.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52210,仁和佳苑,本溪,明山,二院,,小高层,华厦街25号,123.8113322,41.30235084,1.0,,,0,公寓住宅,民用,6.9,12,0.0,6176.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52230,富祥家园,本溪,明山,明山,2012,小高层,峪明路258号,123.7982075,41.30273369,1.0,,,0,公寓住宅,民用,7.3,12,0.0,5764.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52229,水木兰亭,本溪,明山,明山,,多层|高层,峪明路,123.8020883,41.30250632,,,,0,公寓住宅,民用,7.1,12,0.0,6410.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52227,鹏程小区,本溪,明山,明山,,多层,"屿安巷,近滨河南路",123.8099384,41.30970359,,,,0,公寓住宅,民用,7.2,12,-0.13,4679.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52226,富民小区,本溪,明山,明山,,小高层,水塔路东沟巷,123.7694984,41.30982316,1.0,,,0,公寓住宅,民用,7.7,12,-0.78,4224.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52225,如意家园,本溪,明山,明山,,小高层,合成路,123.8013063,41.2971233,1.0,30.0,,0,公寓住宅,民用,7.4,12,-0.23,5139.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52224,北光街小区,本溪,明山,二院,,多层,北光街4号,123.7684558,41.30003797,,,,0,公寓住宅,民用,7.9,12,0.0,6035.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52223,友谊家园,本溪,明山,二院,,多层,友谊街,123.758884,41.29865937,,,,0,公寓住宅,民用,8.1,12,0.0,6754.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52222,新丰街小区,本溪,明山,二院,,多层,新丰街3号,123.7601761,41.30637661,,,,0,公寓住宅,民用,7.4,12,0.0,5440.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52220,永平小区,本溪,明山,二院,,多层,永平街1087号,123.758269,41.29929186,,,,0,公寓住宅,民用,7.6,12,0.0,2200.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52219,联丰街109号小区,本溪,明山,二院,,多层,联丰街109号,123.755021,41.29815233,,,,0,公寓住宅,民用,7.7,12,0.0,6666.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52218,联胜巷9号小区,本溪,明山,二院,,多层,联胜巷,123.7540925,41.29675569,,,,0,公寓住宅,民用,7.4,12,0.0,3000.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52217,立矿街小区,本溪,明山,二院,,多层,"立矿街35,胜利路42-1号",123.7667845,41.29953734,,,,0,公寓住宅,民用,8.0,12,0.0,5121.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52216,丰华大厦,本溪,明山,二院,,多层,人民路4号,123.7587009,41.3000526,,,,0,公寓住宅,民用,7.8,12,0.0,5208.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
52215,西芬路16号小区,本溪,明山,二院,,多层,西芬路16号,123.7621934,41.30450661,,,,0,公寓住宅,民用,7.7,12,-0.09,5787.0,Liaoning,Benxi,Mingshan,Liaoning-Benxi
